Comp.	Score	UserID	Pseudo	#golf,count=234,time=2022-03-29 00:30:46
100	59	1483723	d-s-x	
100	60	4341304	Remi.	
100	64	2928146	LolCat	
100	68	1675034	francois	
100	79	2315158	luigi_gelato	
100	86	3514975	Phurinat	
100	91	3354337	Westicles	
100	93	1654818	tarapitha	
100	98	3918583	mikmak	
100	100	1399382	Regulus136	
100	105	3304110	MathieuSoysal	
100	111	155774	dwarfie	
100	111	2923506	darkhorse64	
100	111	2874091	5DN1L	
100	112	1740037	ereiam	
100	112	937221	vrampal	
100	113	903179	maksmas	
100	114	1436776	BrainSolver	
100	115	1045485	Jessie	
100	117	4124688	Murat_Eroglu	
100	120	372468	MadBot4577	
100	120	1441239	Dyd	
100	121	1019883	Pedromdrp	
100	122	2371389	Franta	
100	123	3808031	_proton	
100	123	3672271	Namysh	
100	124	1485690	Kikoo	
100	125	1865824	ExoMemphiz	
100	125	4095128	Voltmachine	
100	125	2320995	Photon_	
100	126	420043	maxim_mazurok	
100	127	1726600	Patate	
100	127	1114834	k4ng0u	
100	127	893541	wala	
100	128	389786	menu	
100	129	4090007	Pepsite	
100	129	311035	leojean890	
100	131	2622559	Gripnil	
100	131	3847872	Gaspar-Cdv	
100	132	1861852	Cramer	
100	132	2998967	Gilde	
100	132	3792309	schachmatt	
100	133	4156154	issogood	
100	133	1664043	svadim644	
100	135	3660819	BloodyTurtles	
100	135	4180659	abrman	
100	137	3869618	tsds	
100	137	4166845	HugeMissedSteak	
100	137	829018	alchemsti	
100	138	3998990	bgotink	
100	140	3801079	jokovitch	
100	140	1845617	Shingy	
100	141	3651809	NicknameRequired	
100	141	4045062	ChaosCat	
100	141	481564	mihei	
100	141	1306429	Neckers	
100	141	4537924	ArtesScytale	
100	143	2387233	SinOfWrath	
100	144	1802967	Meruem	
100	145	3533314	skotz	
100	146	862919	Astrobytes	
100	146	1228784	Coding_4_Fun	
100	146	3516345	Jp82	
100	147	3430773	tax16	
100	147	2769452	TheBjB	
100	147	4009347	JaworWr	
100	147	3717379	bobbieX	
100	147	1205108	jval	
100	149	4500165	Snigafurt	
100	150	4559916	Karne	
100	151	4212608	fheerdegen	
100	152	4072753	mdstoy	
100	154	3306721	webpac	
100	154	153965	[CG]Keelhaul	
100	154	3863256	Deuzwood	
100	155	762642	Wonyoung	
100	156	1179950	Patorikkuyatta	
100	156	4334077	Paul_Demanze	
100	157	3011154	d34db33f	
100	157	924425	poney	
100	157	4541862	fstadt	
100	158	4124401	emrah_akc	
100	159	2078184	jz4o	
100	159	165671	cyppan	
100	159	1845235	N2R	
100	160	510258	Zard	
100	160	3598723	Tee-Resa	
100	160	4598485	Drystan	
100	161	1693448	KoenduBuf	
100	161	4280272	GaborStefan	
100	161	2641712	Scarlatine	
100	161	1475413	AlucardDH	
100	163	3835659	Nimatt	
100	163	1466631	Akrib	
100	163	1726873	Raviowitch	
100	163	2589340	Zource	
100	163	4510576	__Malina	
100	164	3958314	NicoDeug	
100	164	4233955	Hujing	
100	164	3756445	GUiToU	
100	166	4578599	De1ain	
100	171	3366686	FAngelo94	
100	174	1861258	Nazdhun	
100	175	2786666	TetraktysPhi	
100	175	1034690	J.N	
100	176	1393802	amzh	
100	176	3351749	PasdID	
100	179	4562004	Doritanh	
100	179	1050421	geppoz	
100	179	3233014	Andomain	
100	182	1278100	Schneu	
100	183	3236864	adrien2p	
100	183	1530360	Capucin	
100	184	2538615	eyev	
100	185	1518504	bohuss	
100	185	4447703	J[]HN_WICK	
100	186	1445312	Nohory	
100	187	2419811	Valbou	
100	188	3515657	Piwapo	
100	189	4079196	binary-bot	
100	191	3504573	ChrisOz	
100	191	1035630	Vestiaz	
100	192	3603097	lanathlor	
100	193	3966434	FredericP	
100	194	4083405	jzen	
100	196	3902628	Kinhira	
100	196	4587458	kgbr	
100	197	3305510	TBali	
100	199	3997947		
100	202	936472	Cheecken	
100	202	3184844	Jojordinateur	
100	203	4471038	nguyen.lam	
100	204	3531488	Dryadim	
100	205	1467771	Telokis	
100	209	3411563	myStick	
100	209	2290633	field3	
100	209	3922731	Dartisan	
100	216	1902767	Kenny92	
100	217	3931026	AURELIEN-CONTE	
100	219	907766	woodlander87	
100	220	2453651	mybk	
100	226	1334111	MadLord	
100	232	3500877	Magictruks	
100	234	962222	b3nja	
100	234	1543333	ishibashijun	
100	238	3216070	TaoJonesIndex	
100	240	4300969	thomasgonda3	
100	245	4057146	P.L.S.	
100	245	4139241		
100	247	817627	geot	
100	279	4186431	K1000x2	
100	285	3784224	themashster	
100	288	3640842	fwoelffel	
100	292	3382553	RenegadeCoder	
100	293	1990452	Benoit_L	
100	294	3813428	Milutinac	
100	306	602886	teuteuf	
100	308	1301155	Kurt190	
100	341	4208606	RGon	
100	347	4058846	Phamelin42	
100	356	3397508	MaelFr	
100	356	3777151	simonme	
100	363	4312897	naeramarth7	
100	367	3648050	CocoCouq	
100	451	2103025	Rovhell	
100	484	2411213	Toto34070	
100	489	1435395	octab	
100	489	3575624	mpoo	
100	501	314753	Kalavero	
100	502	1772789	shal	
100	519	4169220	Dzonzla	
100	536	3912152	2joocy	
100	546	4529049	sassasasa	
100	549	1077559	PhOeNyX	
100	554	1723591	Pudi	
100	576	2921599	Rinoweb	
100	750	1910916	VivienBillot	
100	758	3925531	SickNerd	
100	814	4034497	Sorikairo	
100	853	4518392	Marmi	
100	890	1500515	eulerscheZahl	
100	921	1323814	Wildcat-SC	
100	958	1496025	czearing	
100	961	4015921	vuzonp	
100	993	4011483	VLIN	
100	1003	3861534	Caychu	
100	1023	4263196	gilufin	
100	1063	788361	Bob	
100	1074	4051808	Wong_Dev	
100	1093	3967220	ArturSkrobisz	
100	1098	820000	ValGrowth	
100	1148	3875668	waspn	
100	1172	4602655	NPJ	
100	1182	2299222	DavidPortner	
100	1251	484004	aCat	
100	1261	2871850	katenokp	
100	1264	826372	skyyker	
100	1281	4008994	Kami-_-kaze	
100	1309	3702726	ninjanoir	
100	1316	3595270	rubykhanhas	
100	1329	3045714	David.Moreaux	
100	1330	3520876	inertiamoe	
100	1336	2691099	IrinaTg	
100	1344	3363186	Molokoy	
100	1352	4527616	ADBRedwood	
100	1412	3437924	mfrederic	
100	1423	3953416	MarkoVk	
100	1428	2190181	DSF	
100	1493	1502399	yaya1543	
100	1499	4033337	scmx	
100	1526	1077382	EsePeasoDeGabi	
100	1613	2022707	okq	
100	1710	4143761	importCoffeeFromCup	
100	1970	548401	ArifBudiman	
75	81	2288263	dbdr	
75	99	3700629	serialgg	
75	114	3774500	zakariamouhid	
75	114	940791	Kris117	
75	117	3380514	DFrese	
75	121	4100825	ablin42	
75	122	4052722	ClockSort	
75	126	2025868	sumoru	
75	161	1244685	dorion	
75	163	1902002	minhhuyle	
75	173	3517779	flo5589	
50	79	371603	martin	
50	97	1931039	MooMooN	
50	110	1629259	Marchete	
50	224	3483773	HelifeWasTaken	
25	72	3845610	pardouin	
0	215	1848459	Velcoro	
0	919	4134597		
0	919	1559680	MartinIsaksson	
0	919	4374028	Tien6346	
