Score	UserID	Pseudo	#golf,count=182,time=2019-12-31 00:30:32
131	1483723	d-s-x	
136	1160936	JakDrako	
137	553938	MagAlex	
141	371603	martin	
143	481564	mihei	
153	1188212	superredlark	
155	545951	AntonT	
161	760921	Skleroz	
167	893177	Rebelwillow	
167	1506280	TwoLate	
169	1629259	Marchete	
175	155774	dwarfie	
177	704875	XaY	
180	1052271	Bleash	
190	218189	[CG]Maxime	
193	2069141	tomeko	
198	886483	R4N4R4M4	
200	805067	Magus	
203	162669	Gangrene	
211	819906	scrauler	
214	464971	PsyGuy66	
217	1355842	slaghn	
219	1016114	Insanctus	
221	833910	luisarita	
223	1695697		
229	557990	Wazemo	
233	155881	Hevey	
238	886081	CyberSapiens	
242	1564593	kjasghlisuagerhdfn	
248	2490008	ebicochineal	
254	864071	Basecrosser	
256	1740037	ereiam	
262	2290633	field3	
264	1072662	Abdelaziz	
266	924982	Sergef	
267	1348523	Numb_	
267	2704692	InvisibleImpOfWisdom	
268	827329	Sweetie	
274	3207649	ares72	
275	1592544	zoom_one	
276	3028864	lorcQc	
288	3489223	KarloHubai	
293	878168	Czaporka	
298	1491995	Tyir	
302	1707377	Colgate-Blancheur	
307	1464932	Tiramon	
309	1416734	TheGraybush	
314	1670035	vorbeiei	
317	1387212	mc0re	
321	826372	skyyker	
328	1230024	Tideo	
329	1002539	Dilbert1	
330	1231532	Arnaud_63	
334	1908091	RedAustin	
336	2043908	AntiSquid	
337	2786666	TetraktysPhi	
342	1219826	goran.mahovlic	
342	1881981	ARCHVADER1	
344	1054037	Extreze	
344	1323814	SatineChatounette	
352	960296	Kosos	
353	1581198	zeli	
354	1792532	Zanbez	
361	1830993	jpcheck	
361	3542506	qux	
362	1331319		
363	1003995	shellboy	
364	1536799	Tevroc	
365	1036029	Afrojoan	
366	1546047		
367	1206598	Moradal	
375	464006	Ryugate	
378	1160363	ChrisHughes	
388	1500515	eulerscheZahl	
389	1906726	RomanVarga	
402	903174	Tikounet	
407	230794	alpha_one_x86	
412	673973	_Chacal__	
414	952350	Wabbit	
418	1152008	GrigoreDiviza	
421	569478	Guish29	
428	1442197	DemonPC	
429	1538706	Andrew837	
439	1536801	Blood	
467	1536797	Frey~	
470	1536796	Mr.Krabs	
485	1536802	Turtle1239	
491	1831112	Skaris	
493	1127302	NikkiBear	
496	1536792	Mr_Flabs	
505	1020267	Calistus	
505	1536798	IsaacDabDawson	
507	945184		
511	990770	Snorts	
512	1739052	natygontri	
526	880044	Dalmali	
530	1536738	Oracle359	
566	1184357		
575	1176169	prin6	
599	735910	Agade	
599	1112073	Pouf	
599	1536791	WilliamBrooks	
603	1015114	Jelovac	
616	921149	c0deOrDie	
628	1654818	tarapitha	
633	1740073	MarceloZGranja	
634	622089	ArkH	
634	1486212	Brainy	
654	871465	Joern	
657	1322765	Wibbles	
660	1067496	HappyMark	
666	1477080	waffleston	
673	1537843	KrustyKrab	
675	1036170	DoubleSwitch	
677	918890	TP	
682	1373587	RicoBuz	
709	1253656	UNES	
717	865920	GoldSpy98	
737	588783	adwiii	
771	830819	johnnyhibiki	
786	1719062	SirTon	
831	656081	2skill3d4u	
893	815345	kugan49	
898	1077559	PhOeNyX	
937	898741	JLG	
1004	333444	Davidl.mkh	
1071	878530	Pops	
1079	199979	VonRickroll	
1103	420035	bvs23bkv33	
1130	1113426	Kuruts	
1146	2003869	PS54A	
1225	319694	elivys	
1274	1381862	Nefariis	
1337	2045027	Kola	
1400	3374589	KellyGaertner	
1425	1345039	MynSzx	
1439	1176976	OriginLegend	
1462	2596504	Kiborg	
1468	1493242	CodeMonkey123456	
1505	1433338	Elykia	
1505	1507416	ikki	
1506	3240292	Traumination	
1548	827332	Metalshoot	
1568	1059935	StefanoLoda	
1577	1215408	tle-meur	
1590	1331770	PrankurJoshi	
1594	1718188	Peter1910	
1597	154984	_Royale	
1607	1087305	void	
1641	875453	Chapel	
1644	788361	Bob	
1663	869020	M.M.	
1666	1809030	JakobS1n	
1688	1521280	Arunsiddu	
1731	828213	anst	
1731	1065845	Oli8	
1731	1066028	JrmC	
1731	1068877	[CPC]Tamno	
1731	1758828	SetsunaChwan	
1731	2892171		
1741	1437857	Dralym	
1743	1122100	AndreiCA	
1837	787719		
1853	881161	Ciomegu	
1868	1862274	JasonFleury	
1871	827226	Kimpossible	
1949	1970110		
2004	802171	Merome	
2011	1403774	Mikeu	
2059	1635270	AttilaAntal	
2086	1020472	DaniloMikovic	
2147	1362303	Zozi0406	
2177	1124527	user213	
2263	3587269	Aurel2578	
2453	991854	Extra-Titanian	
2518	1034183	Kragaroth	
2694	1728463	SWAT24s	
2834	1176268	Gunder	
3675	2526726	FrederickDuranleau	
