Comp.	Score	UserID	Pseudo	#golf,count=357,time=2022-02-01 00:30:42
100	31	334009	abouvier	
100	35	1537792	AsaiYusuke	
100	35	1483723	d-s-x	
100	37	155774	dwarfie	
100	37	925695	Boulet	
100	37	512097	Stilgart	
100	40	1654818	tarapitha	
100	40	4156154	issogood	
100	42	2288263	dbdr	
100	42	3845610	pardouin	
100	42	4341304	Remi.	
100	44	1620803	Lyapunov	
100	44	2928146	LolCat	
100	46	1857171	AdamB	
100	47	3354337	Mrs.GloriaZindlebocker	
100	48	1093968	milosMATRIXrepic	
100	48	973040	papyjo	
100	48	4095128	Voltmachine	
100	51	1201783	qsantos	
100	51	1001096	MyIIone	
100	51	1968855	ThePurificator	
100	53	911777	MasakiKyosuke	
100	54	1848459	Velcoro	
100	54	2416641	Zenoscave	
100	55	1487168	FatIvan	
100	55	530441	Prime541	
100	56	838037	sas4eka	
100	56	404560	Uquu	
100	56	1898847	faga	
100	56	2458197	Stack_of_Pancakes	
100	56	1307473	Evgenykz	
100	56	1607522	RoboStac	
100	56	3509975	bneumann	
100	57	709490	Sinlepuissant	
100	57	1193679	Icebox	
100	57	225875	leff	
100	57	2923506	darkhorse64	
100	57	1068877	[CPC]Tamno	
100	57	1436776	BrainSolver	
100	57	3514975	Phurinat	
100	57	2874091	5DN1L	
100	57	2924895	trictrac	
100	58	3532237	Bubaptik	
100	58	3647844	rc95401	
100	58	1179950	Patorikkuyatta	
100	58	3143948	Divinement_Astucieux	
100	61	1654458	thirstycrow	
100	62	2669104	KBurov	
100	62	820840	LazyShpee	
100	62	1905733	artOfHack	
100	63	1188063	kelevra	
100	63	4034494	GTaf	
100	64	271034	6pi	
100	65	588426	Jeff06	
100	66	1663292	nemolovich	
100	66	1348523	Numb_	
100	66	940791	Kris117	
100	67	806416	awnion	
100	68	862919	Astrobytes	
100	68	4395513	IndecisionTree	
100	69	2176877	pasymows	
100	69	154388	PonyPonyCodeCode	
100	69	3740142	Bedstorm	
100	69	1081827	[CG]MathisHammel	
100	71	2221648	Slayer-X	
100	71	1838549	orangesnowfox	
100	71	918352	CoYoTe99	
100	71	1684030	Mator	
100	71	2853578	Colombo	
100	71	992329	BeeGee	
100	72	1527403	Di_Masta	
100	72	154806	piwai	
100	72	154504	Harenome	
100	72	3812486	gitKad	
100	72	2436448	FrancoisMeme	
100	72	311035	leojean890	
100	72	3516345	Jp82	
100	73	256955	cup_of_tea	
100	73	1588583	dANNs	
100	73	3532429	Skyf0l	
100	74	1457162	JFB	
100	74	2096336	SAINT_LAURENT	
100	74	3919068	14598366	
100	75	4116084	grahamcracker1234	
100	76	2007852	Zorg1	
100	77	1186273	knacky	
100	77	1072200	alze	
100	78	1691246	L.	
100	78	280898	Syllo	
100	79	1552137	MycChiu	
100	79	3540338	CAV	
100	79	828239	[SG]Bisou	
100	79	4136747	alopikon	
100	80	1023075	Naro	
100	80	1436814	Nosveo	
100	80	2351282	TrebledJ	
100	81	1443075	Wolfy82	
100	81	1535449	Kisioj	
100	82	1408492	Ptit-g	
100	82	999637	dinobogan	
100	83	1579653	zweedeend	
100	83	3869618	tsds	
100	83	1641537	ari33	
100	83	860404	Vitruvius	
100	83	4604719	B4shM4n_TF	
100	85	599629	robwaw	
100	86	536400	Atmel	
100	86	3917749	l3l	
100	87	1333232	ntj	
100	87	1500515	eulerscheZahl	
100	88	1631057	Pask	
100	89	1411649	Levatol	
100	89	2980709	ninnghazad	
100	90	425114	gluk47	
100	91	155920	t2_cyborg	
100	91	1962352	DPAmar	
100	93	1380873	vks	
100	93	1452097	MikeMack	
100	93	4620106	lonequantum	
100	94	1415495	fenrir	
100	94	1178569	Azerrr	
100	95	1337680	Discoordination	
100	96	2165068	caerbannog	
100	96	1445931	albantor30	
100	97	2897325	CAEZAR	
100	99	3260136	Fredvol	
100	101	788361	Bob	
100	101	2691709	Kamilcuk	
100	103	490588	Uljahn	
100	104	1419589	forty	
100	105	631323	herve056	
100	105	4390014	yfe42	
100	108	3216070	TaoJonesIndex	
100	108	2554628	ckibibi	
100	111	1111915	Giloulaloutre	
100	114	1163546	Pyou	
100	114	958227	LantarSidonis	
100	116	1610847	Eldon	
100	117	155907	vicred	
100	117	335954	nmahoude	
100	117	3913376	LaurentValade	
100	118	1812650	LuxDincht	
100	118	1865617	StepanSmirnov	
100	118	3594074	jopo	
100	120	2779579	AlekanLunex	
100	120	2069141	tomeko	
100	121	1748899	sometime-sniff	
100	121	3638738	Winux_Ifrikya	
100	122	3797016	hauke	
100	123	1105518	LordDrew	
100	124	1752947	maxkan	
100	124	931195	PRA	
100	125	1525923	Milihhard	
100	126	3071738	ClashLuke	
100	127	4010555	MiniKochi	
100	127	4120837	philipplenk	
100	129	598313	Farknay	
100	130	3881824	aprasath	
100	132	1584426	InseiRobin	
100	133	1487535	SvartRiddare	
100	133	1740037	ereiam	
100	134	4667633	Lukiwuki	
100	136	1409471	Roadkiller	
100	142	1463400	rad4day	
100	143	1296449	loveCoding	
100	145	1194069	Redstrike	
100	145	1498189	Pyoroalb	
100	145	3537383	Chihab_eddine	
100	145	3808031	_proton	
100	145	4334077	Paul_Demanze	
100	145	1470927	ClementAvenel	
100	145	1579042	Hulous	
100	149	3372523	HendrikSCC	
100	150	1048816	Capello	
100	156	1438835	smohn	
100	157	155008	Majavar	
100	157	1178276	Jerome_95	
100	162	2294067	jyn514	
100	163	3094514	ThoPey	
100	173	3737271	berlioz	
100	175	389632	ma	
100	177	690420	Babajajuk	
100	179	3305510	TBali	
100	191	1540282	trexplex	
100	192	3500859	Fjio	
100	196	1792747	Eliot92	
100	200	1944904	etherealy	
100	203	2382054	jsimoes	
100	205	3185260	DEV_PEBKAC	
100	206	1449433	Rolf	
100	208	2290633	field3	
100	211	4564633	l0p3c	
100	216	1783604	Vry	
100	220	736328	roughy	
100	222	1209562	Jiway	
100	222	1855354	KiwiTae	
100	226	891648	boechiel	
100	234	2341954	BetaCorn	
100	234	3466914	jules00	
100	241	2374560	KrawlerK	
100	242	4003601	Mathieu1988	
100	245	2655682	CoderFromOuterSpace	
100	248	3338771	jaan3	
100	257	1479137	lorenzods	
100	258	2605374	Fraifrai	
100	261	1029602	Potemkine	
100	272	4199011	MarTiaNe	
100	275	3438298	GodPod	
100	291	869020	M.M.	
100	299	3214641	Neicul	
100	335	2515515	Bobliu	
100	357	2078184	jz4o	
100	357	3921345	JFP81	
100	393	1169499	naab	
