Comp.	Score	UserID	Pseudo	#golf,count=2175,time=2022-03-01 00:30:52
100	56	334009	abouvier	
100	61	3845610	pardouin	
100	61	4341304	Remi.	
100	63	2288263	dbdr	
100	65	3354337	StraumliPerversion	
100	71	1537792	AsaiYusuke	
100	73	1654818	tarapitha	
100	82	2928146	LolCat	
100	83	1620803	Lyapunov	
100	84	1399382	Regulus136	
100	85	1093968	milosMATRIXrepic	
100	87	1284747	mr-push	
100	87	404774	bingsoo	
100	87	155774	dwarfie	
100	88	1176500	Minwene	
100	88	1631432	freecode	
100	88	1677511		
100	88	1903031	hard-coded	
100	88	925695	Boulet	
100	88	3918583	mikmak	
100	88	3337790	gitbeginer	
100	89	512097	Stilgart	
100	89	1903920	SATI_OTI	
100	89	1540394	LVdA	
100	89	1436776	BrainSolver	
100	89	1845617	Shingy	
100	89	1045485	Jessie	
100	90	1001096	MyIIone	
100	90	854169	Silmaen	
100	90	2371389	Franta	
100	91	1140677	Crog	
100	91	4095128	Voltmachine	
100	91	2242201	Maryan	
100	91	3514975	Phurinat	
100	92	705890	mynameismyname	
100	92	829018	alchemsti	
100	92	2874091	5DN1L	
100	94	1029251	Simon5	
100	95	816116	tone	
100	95	267139	god	
100	95	1495491	[Random]-J3ff3z	
100	95	1848459	Velcoro	
100	96	1759335	metahom	
100	96	351062	Neumann	
100	96	2552218	Jakque	
100	96	2315158	luigi_gelato	
100	97	1140297	Kalkos	
100	97	600941	mrv	
100	97	668954	Fluxor	
100	98	1485690	Kikoo	
100	98	1740037	ereiam	
100	98	1757109	Makamitsu	
100	98	3939443	Lafihalas	
100	98	734401	b0n5a1	
100	99	1158405	KolbasniyVeter	
100	100	545951	AntonT	
100	100	1070566	Kodnot	
100	100	1075549	Testspam	
100	100	2211985	Kieffen	
100	100	530441	Prime541	
100	100	820000	ValGrowth	
100	101	2077458	Ragi	
100	101	2158902	Snowbart	
100	101	4290907	janm31415	
100	102	1188063	kelevra	
100	102	2923506	darkhorse64	
100	102	992329	BeeGee	
100	103	457538	ManuManu	
100	103	908494	wsmind	
100	103	1193408	DoubleZeroSteph	
100	103	1129602	RHFaktor	
100	103	1234259	digit_ro	
100	103	481564	mihei	
100	103	1193679	Icebox	
100	103	3422694	HK42	
100	103	831195	samgiz	
100	103	4110073	souta_1326	
100	104	3611465	FooBat	
100	104	3373291	BHW	
100	104	3675563	QuentinSauvage	
100	104	893541	wala	
100	105	447006	Mokona	
100	105	780361	BrutalCommiterInSpace	
100	105	154504	Harenome	
100	105	1390607	Ivan_Derzhylo	
100	105	1833680	jvivenot	
100	105	1773607	elana	
100	105	1429360	comp0zr	
100	105	4039884	mzbear	
100	105	411945	Ripoder	
100	106	1411649	Levatol	
100	106	1592855	HansMaulwurf11	
100	106	280898	Syllo	
100	106	1971805	Drezzill	
100	106	1838549	orangesnowfox	
100	106	3726978	VirtualAtom	
100	106	2325449	otpv	
100	107	1195031	Nekto	
100	107	1578626	Narnaug	
100	107	2037464	Shirobom	
100	107	1407696	ciberjm	
100	107	1575342	T7ung	
100	107	861178	siggisv	
100	107	1243354	RSBat	
100	107	953094	Witman	
100	107	1490383	arkwaw	
100	107	3408865	redimer	
100	108	1194054	Bidembois	
100	108	1443614	Gaswigue	
100	108	951724	Ka-L	
100	108	1644100	arcSRL	
100	108	4154326	montplusa	
100	108	334434	Rajh	
100	109	1536431	GeoffreyY	
100	109	404560	Uquu	
100	109	1878543	VicColt	
100	109	3559869	GabyZero	
100	109	3797725	matcl	
100	109	1309948	Runner87	
100	109	3490454	PAug	
100	110	1461300	TopTyp	
100	110	1922244	Andrew_WCY	
100	110	2713608	LostSymphony	
100	110	3789487	LelouchVC2	
100	111	1273065	TheRadical	
100	111	1535449	Kisioj	
100	111	2149927	funkyJb	
100	111	2716390	ADIBBATOUS	
100	111	1925452	Cyriax	
100	111	4275953	fff1015	
100	112	218189	[CG]Maxime	
100	112	1062808	jquilez	
100	112	1366778	BlueIce	
100	112	1480886	V4nDr4v3n	
100	112	1300176	CPP_Dave	
100	112	1339675	SR4	
100	112	1071372	Andrey92	
100	112	1485015	Murky	
100	112	2093490	paul.cabanes	
100	112	1500515	eulerscheZahl	
100	112	2252914	Malleek	
100	112	2858320	Loule	
100	112	1567943	LazyMammal	
100	113	846817	KENGURU	
100	113	1961440	simon_v	
100	113	2096266	southzz	
100	113	866947	N0H08	
100	113	1756952	Petras	
100	113	1288490	aka.lzero	
100	113	1958337	LightNinja	
100	113	2786666	TetraktysPhi	
100	113	3947806	Kr4unos	
100	113	3335896	_martynas	
100	113	3532429	Skyf0l	
100	114	821084	Cristy94	
100	114	2252598	TheMerciless	
100	114	717196	NWDD	
100	114	2142961	masterpoo	
100	114	2924895	trictrac	
100	114	1421071	Saturne	
100	114	2980709	ninnghazad	
100	114	3594074	jopo	
100	114	4270882	[ron]	
100	115	1889170	mvujas	
100	115	2096064	xiao.sha	
100	115	2167941	Barseik	
100	115	996606	Indy	
100	115	154806	piwai	
100	115	2438514	davi_bart	
100	115	1506280	TwoLate	
100	115	3393535	LuckyJ.	
100	115	3770928	ku-haku	
100	115	2490008	ebicochineal	
100	115	1073247	_NikJ	
100	116	1879432	slymas	
100	116	1528055	YannBeuc	
100	116	3925832	Maxim251	
100	116	3647844	rc95401	
100	116	828239	[SG]Bisou	
100	117	416894	MeDev	
100	117	1367739	VIK	
100	117	1114698	xiaohouzi	
100	117	2466496	Alucard2	
100	117	1116282	Caduchon	
100	117	2320995	Photon_	
100	117	4072753	mdstoy	
100	117	3516345	Jp82	
100	118	1257796	Oygron	
100	118	1481479	gomunkulus	
100	118	518108	Elijan9	
100	118	2599667	DashBrownies	
100	118	301236	Migermain	
100	118	3002086	Mercy38	
100	118	1530051	UlYoP	
100	118	1179950	Patorikkuyatta	
100	119	1399852	Thaell	
100	119	1766830	Vani2777	
100	119	1980144	MY_BABY	
100	119	956529	Moduus	
100	119	225875	leff	
100	119	1759839	matleg	
100	119	4120837	philipplenk	
100	120	1122412	TheNinja	
100	120	1409471	Roadkiller	
100	120	1487535	SvartRiddare	
100	120	2128920	BishBash	
100	120	1229845	Jipe	
100	120	2067176	0bug	
100	120	3042083	codalf	
100	120	3580879	LudovicGrosse	
100	120	3625500	Leon_The_Professional	
100	120	4512635	nick552	
100	121	889789	Alain-Delpuch	
100	121	1534881	XiuLiu	
100	121	1654458	thirstycrow	
100	121	1487392	Razielwar	
100	121	2069141	tomeko	
100	121	2139722	AHD267	
100	121	975057	LeoTigers	
100	121	3962423	Shagar	
100	122	1807558	conio.h	
100	122	1445931	albantor30	
100	122	3657691	D3structor	
100	122	3283415	Bon[]Crayon	
100	123	911226	Ekaitz	
100	123	1443075	Wolfy82	
100	123	754792	Ramdeath	
100	123	1653863	GreenRahl	
100	123	1751832	buikikaesu	
100	123	825780	Spokas	
100	123	1098380	Khardan	
100	123	4437799	supakorn_mhee	
100	123	4060624	System.out.println_Hello	
100	124	1520980	z_	
100	124	3614357	Thiassou	
100	124	3638738	Winux_Ifrikya	
100	124	4526264	cly	
100	124	4536057	JuliusSakata	
100	125	1493416	mockfrog	
100	125	1706721	Taddel	
100	125	1003549	cpthappy1	
100	125	3308199	ChadThundercode	
100	125	958227	LantarSidonis	
100	125	3808031	_proton	
100	125	4276546	bojgus	
100	125	4615176	guperman	
100	126	1032745	selenae	
100	126	1720537	Vergil888823	
100	126	1193459	izanbf	
100	126	1984491	Guri	
100	126	371603	martin	
100	126	2978776	ChrisDerPlayer	
100	126	3585931	Kumaneko	
100	126	861050	GaetanB	
100	126	3235897	Zylo	
100	126	4303095	Yahia_Emara	
100	126	4393608	galloj	
100	126	4280014	HannoB	
100	126	2962968	Pukunya	
100	126	972894	resty-daze	
100	126	4037601	Jelafo	
100	127	1358627	Aleix	
100	127	1699494	do_not_be_hasty	
100	127	2168370	DzuongThai	
100	127	2989967	Rom098	
100	127	2115491	Haashi	
100	127	3611257	Apodus	
100	127	311035	leojean890	
100	128	1390495	GeoCon	
100	128	1598669	aforbis83091	
100	128	1447295	Roszondas	
100	128	1740898	Entscholl	
100	128	1822346	Arcaseus	
100	128	3214641	Neicul	
100	128	1061663	Pivis	
100	128	3960770	AndorM	
100	128	4434899	Bmol	
100	128	271945	aangairbender	
100	129	1736765	VitalyJaravov	
100	129	1774776	joliveras	
100	129	1707377	Colgate-Blancheur	
100	129	905191	Vince31	
100	129	1106450	RiSuS	
100	129	2111393	_junjun	
100	129	2223980	dr_nim	
100	129	2719826	Itnain	
100	129	3783962	Mohsen1365ir	
100	129	199887	Sanpas	
100	129	1035241	Aleman	
100	129	2241968	Deved	
100	129	962495	eboot	
100	129	4014644	SergioFx	
100	129	3997565	DanieliuS	
100	129	2066683	padobranac	
100	129	4334077	Paul_Demanze	
100	129	4055392	totori	
100	130	1813452	ben_t	
100	130	991101	Totocap	
100	130	1434515	scor-A	
100	130	2793014	PsychoTux	
100	130	1920644	Skygge	
100	130	1654640	Mayreel	
100	131	1812194	CheeAhGo	
100	131	212028	GHenry	
100	131	1569926	Smish314	
100	131	1631057	Pask	
100	131	3584673	dyatss	
100	131	3614937		
100	131	153092	Aurep	
100	131	1826849	Geplik	
100	131	3143948	Divinement_Astucieux	
100	131	3838128	atodo	
100	132	949302	paweu	
