Comp.	Score	UserID	Pseudo	#golf,count=1186,time=2022-02-20 00:35:43
100	36	334009	abouvier	
100	38	1483723	d-s-x	
100	39	155774	dwarfie	
100	41	3845610	pardouin	
100	41	4341304	Remi.	
100	43	2288263	dbdr	
100	45	3354337	Mrs.GloriaZindlebocker	
100	54	1537792	AsaiYusuke	
100	60	1654818	tarapitha	
100	63	2096336	SAINT_LAURENT	
100	63	2928146	LolCat	
100	65	1620803	Lyapunov	
100	70	1156554	Tuna	
100	70	4380134	Blatnik	
100	71	1399382	Regulus136	
100	71	1093968	milosMATRIXrepic	
100	71	1968855	ThePurificator	
100	71	3918583	mikmak	
100	71	3337790	gitbeginer	
100	71	4631638	DethHarmonik	
100	72	240311	Myrthem	
100	72	1903031	hard-coded	
100	72	4095128	Voltmachine	
100	72	4340615	cvetkovem	
100	73	2074055	Prince_Polka	
100	73	1903920	SATI_OTI	
100	73	2371389	Franta	
100	73	1759335	metahom	
100	73	1183122	ath	
100	73	1436776	BrainSolver	
100	73	3478926	Alexis.D	
100	73	2242201	Maryan	
100	74	512097	Stilgart	
100	74	404774	bingsoo	
100	75	949302	paweu	
100	75	973040	papyjo	
100	75	829018	alchemsti	
100	75	3514975	Phurinat	
100	76	1176500	Minwene	
100	76	295729	webalorn	
100	76	1845617	Shingy	
100	76	1045485	Jessie	
100	76	1848459	Velcoro	
100	77	1140677	Crog	
100	77	351062	Neumann	
100	77	854169	Silmaen	
100	77	925695	Boulet	
100	78	1193408	DoubleZeroSteph	
100	78	1773607	elana	
100	78	2315158	luigi_gelato	
100	79	600941	mrv	
100	79	1348621	sephi	
100	79	1874716	RolfQ	
100	79	1766582	smugiss	
100	79	3611465	FooBat	
100	79	2156856	Architektor	
100	80	1307069	fdpierson	
100	80	1296449	loveCoding	
100	80	1188063	kelevra	
100	80	1720537	Vergil888823	
100	80	3726978	VirtualAtom	
100	80	3516345	Jp82	
100	80	3647844	rc95401	
100	80	4668182	Hazel5r	
100	81	1070566	Kodnot	
100	81	1375991	emacsil	
100	81	2466496	Alucard2	
100	81	3373291	BHW	
100	81	2923506	darkhorse64	
100	82	1485690	Kikoo	
100	82	1997415	LordCatello	
100	82	1390607	Ivan_Derzhylo	
100	82	2786666	TetraktysPhi	
100	82	1467559	Guillaumelale	
100	82	820000	ValGrowth	
100	82	2325449	otpv	
100	82	2230279	TheXeos	
100	82	1050421	geppoz	
100	82	1179950	Patorikkuyatta	
100	82	1072200	alze	
100	82	2874091	5DN1L	
100	83	2311105	kovi	
100	83	4154326	montplusa	
100	84	1613345	Unelec	
100	84	1487168	FatIvan	
100	84	668954	Fluxor	
100	84	3422694	HK42	
100	84	334434	Rajh	
100	84	3594074	jopo	
100	85	1078678	Pentracchiano	
100	85	481564	mihei	
100	85	953094	Witman	
100	85	2407189	Teuchteu	
100	85	734401	b0n5a1	
100	86	1105518	LordDrew	
100	86	1158405	KolbasniyVeter	
100	86	154504	Harenome	
100	86	2077458	Ragi	
100	86	1922244	Andrew_WCY	
100	86	2641712	Scarlatine	
100	86	3230824	blenderfan	
100	86	962495	eboot	
100	87	1187904	jcontri	
100	87	545951	AntonT	
100	87	2037464	Shirobom	
100	87	1509092	Corbofo	
100	87	828239	[SG]Bisou	
100	87	2554628	ckibibi	
100	89	1671658	Kirbiby	
100	89	951724	Ka-L	
100	89	1443614	Gaswigue	
100	89	1341520	egaetan	
100	89	4476085	WalkingMoulinette	
100	89	4491643	Ophen	
100	90	218189	[CG]Maxime	
100	90	1257796	Oygron	
100	90	1411649	Levatol	
100	90	1619211	Tolomei	
100	90	1913602	Aziraal	
100	90	1961911	Irthene	
100	90	1915856	bochsdbg	
100	90	2096266	southzz	
100	90	2252598	TheMerciless	
100	90	518108	Elijan9	
100	90	2865154	idungoofed	
100	90	3655894	TheHammerBro	
100	90	2508635	hemhel	
100	90	1506280	TwoLate	
100	90	154806	piwai	
100	91	280898	Syllo	
100	91	2176877	pasymows	
100	91	1928963	So-.	
100	91	3226448	tobk	
100	91	2436448	FrancoisMeme	
100	91	1193679	Icebox	
100	91	1530051	UlYoP	
100	91	3770928	ku-haku	
100	91	1073247	_NikJ	
100	91	4685008	DialFrost	
100	92	999637	dinobogan	
100	92	861178	siggisv	
100	92	1838549	orangesnowfox	
100	92	2151440	reminot	
100	92	3207204	RomanceDawn	
100	92	4290907	janm31415	
100	92	3283415	Bon[]Crayon	
100	93	889789	Alain-Delpuch	
100	93	829472	andris	
100	93	1309296	MicheleCeccanti	
100	93	1889170	mvujas	
100	93	1740037	ereiam	
100	94	1167805	JustinasR.	
100	94	1930183	Bureau132	
100	94	1288779	TB88	
100	94	2049979	130N35	
100	94	4068925	MrAleborg	
100	94	1567943	LazyMammal	
100	94	3532429	Skyf0l	
100	95	1373301	FurryMyad	
100	95	1599292	shinesoul	
100	95	1666878	Zizwar	
100	95	1854731	Solringen	
100	95	1535449	Kisioj	
100	95	1522923	Tear	
100	95	2096064	xiao.sha	
100	95	254889	data	
100	95	2093490	paul.cabanes	
100	95	2253931	Flow_Grisu	
100	95	2162492	BluSomething	
100	95	155928	pk	
100	95	2043908	AntiSquid	
100	95	1759839	matleg	
100	95	2109780	ChaudCoLaTeen	
100	95	2252914	Malleek	
100	95	3308199	ChadThundercode	
100	95	1199024	makieu	
100	95	3977266	batkonapazike	
100	95	3989873	JirkaS	
100	95	3947806	Kr4unos	
100	95	2192486	Zyk0	
100	95	2924895	trictrac	
100	95	4252924	mike82	
100	95	3085420	MJZ	
100	95	2515448	ChuOkupai	
100	96	1132011	pci	
100	96	1480886	V4nDr4v3n	
100	96	706692	alexhap	
100	96	843141	Gurgel100	
100	96	2315823	DingBeep	
100	96	717196	NWDD	
100	96	3741524	princess_of_zeal	
100	96	4450116		
100	96	972894	resty-daze	
100	97	2122738	MinorLegato	
100	97	2713608	LostSymphony	
100	97	4095799	circular17	
100	97	2742653	0xPacman	
100	97	4496623	npkt	
100	98	1630178	ulrikdem	
100	98	1229845	Jipe	
100	98	3808031	_proton	
100	98	4620106	lonequantum	
100	99	153774	cocoche007	
100	99	1958337	LightNinja	
100	99	3785657	rknoll	
100	99	2536538	Pduhard-	
100	100	2449144	Squiki	
100	100	2139722	AHD267	
