Comp.	Score	UserID	Pseudo	#golf,count=70,time=2022-10-29 00:30:56
100	71	334009	abouvier	
100	73	1537792	AsaiYusuke	
100	77	3354337	Westicles	
100	83	2288263	dbdr	
100	83	155774	dwarfie	
100	83	1654818	tarapitha	
100	85	1436776	BrainSolver	
100	88	2874091	5DN1L	
100	89	3845610	pardouin	
100	93	3808031	_proton	
100	97	4496623	npkt	
100	99	2928146	LolCat	
100	101	4120837	philipplenk	
100	102	884874	Zauberer	
100	105	717196	NWDD	
100	107	3381294	dkorpel	
100	108	3283415	Bon[]Crayon	
100	113	709490	Sinlepuissant	
100	115	1788623	knarfw	
100	117	975057	LeoTigers	
100	120	1629259	Marchete	
100	120	3511427	dan323	
100	127	1179950	PattoWaGuruDesu	
100	127	3514975	PhuRiNaT	
100	130	2069141	tomeko	
100	132	371603	martin	
100	136	1939310	MasterOf_	
100	137	1740037	ereiam	
100	138	1848459	Velcoro	
100	138	4341304	Remi.	
100	142	2718975	mykeich	
100	145	4685008	DialFrost	
100	145	3308199	ChadThundercode	
100	150	4277867	About	
100	152	2786666	TetraktysPhi	
100	152	4587710	Smetalka	
100	153	3305510	TBali	
100	160	4390014	yfe42	
100	162	4718620	Hieronymus	
100	166	996606	Indy	
100	167	3516345	Jp82	
100	168	4083405	jzen	
100	170	4334077	Paul_Demanze	
100	174	2515515	Bobliu	
100	175	4213251	FrancisTafe	
100	180	2230279	TheXeos	
100	182	154806	piwai	
100	183	2290633	field3	
100	187	1781541	Schwase	
100	190	304126	kami	
100	191	5054746	Tristan_Ba	
100	195	4184379	romain.wg	
100	197	1458157	chocolatecharlie	
100	203	4830685	PierrotBllds	
100	209	4390912	Benoit_Belasco	
100	210	3450145	eXodiquas	
100	212	817627	geot	
100	240	1466631	Akrib	
100	298	2063592	Gbaud	
100	316	4717726	[Nexure]	
100	422	1077559	PhOeNyX	
100	611	154906	JBM	
100	644	820000	ValGrowth	
100	644	4692587	Kokaia	
100	670	805067	Magus	
100	679	4652107	JonnyWhite	
100	732	484004	aCat	
100	733	2923506	darkhorse64	
0	0	3968399	dormeur2009	
0	115	992329	BeeGee	
