Comp.	Score	UserID	Pseudo	#golf,count=74,time=2021-07-26 00:47:43
100	73	1483723	d-s-x	
100	75	334009	abouvier	
100	82	2418256	Pobrodilin	
100	84	2928146	LolCat	
100	84	1654818	tarapitha	
100	94	1629225	gsomix	
100	95	2228811	MichalKovac	
100	96	942857	Slupka	
100	111	1760921	[Leonardone]-[-_-]-[NEETSDKASU]	
100	112	1558666	Craxy	
100	113	3354337	Westicles	
100	115	2661589	LePelicanFushia	
100	117	2288263	dbdr	
100	118	1740037	ereiam	
100	118	1848459	Velcoro	
100	121	155774	dwarfie	
100	128	1283576		
100	130	3622757	anid	
100	130	3808031	_proton	
100	130	2672932	Lanfeust	
100	130	1179950	Patorikkuyatta	
100	132	935759	Jason_Down	
100	132	1566166	OB1	
100	133	2043908	AntiSquid	
100	133	4334077	Paul_Demanze	
100	136	1087021	Gluck	
100	140	3673160	f0ggyNights	
100	141	717196	NWDD	
100	143	2448339	Dersei	
100	145	1630890	Wld	
100	149	807709	Michaelmore	
100	160	4145194	charnel_mouse	
100	168	3360445	undeclared_identifier	
100	173	3974681	bitchef	
100	174	2000540	rombolshak	
100	180	1677705	hirni	
100	182	1411649	Levatol	
100	183	1816865	MaximilianAzendorf	
100	186	1377143	Seyuki	
100	189	1463763	Alcated	
100	190	1228784	Coding_4_Fun	
100	191	935161	CoderFarmer	
100	192	389786	menu	
100	195	2069141	tomeko	
100	197	1544005	GrzegorzBlok	
100	224	3305510	TBali	
100	224	1718937	UjeenDanko	
100	233	869020	M.M.	
100	234	891648	boechiel	
100	244	1074858	MietekBrzytwa	
100	244	1707076	Kallekro	
100	254	1096717	TeXteR	
100	255	3931199	NAOYA118	
100	258	4372000	JimAlexBerger	
100	259	4120837	philipplenk	
100	277	371603	martin	
100	292	765200	FrancoisB	
100	318	1077559	PhOeNyX	
100	342	1500515	eulerscheZahl	
100	452	4178118	Ig_Sok	
100	559	1283820	sqdk	
100	643	484004	aCat	
100	645	788361	Bob	
100	655	805067	Magus	
100	883	1271096	Trolg	
93	335	3809690	tr3yf1x	
86	705	3978513	featuresnap	
0	0	996606	Indy	
0	73	1537792	AsaiYusuke	
0	90	1399382	Regulus136	
0	95	1001096	MyIIone	
0	99	973040	papyjo	
0	165	1629259	Marchete	
0	1268	154984	_Royale	
