Comp.	Score	UserID	Pseudo	#golf,count=93,time=2022-01-06 02:12:43
100	54	1483723	d-s-x	
100	61	3380184	chouch	
100	65	1178276	Jerome_95	
100	67	2288263	dbdr	
100	71	1399382	Regulus136	
100	88	3516345	Jp82	
100	89	2874091	5DN1L	
100	91	155774	dwarfie	
100	97	4450116		
100	98	3514975	Phurinat	
100	99	1567943	LazyMammal	
100	104	4663659	DialFrost	
100	116	4439644	PythonLoverZ	
100	126	3354337	Mrs.GloriaZindlebocker	
100	140	3800561	Aholief	
100	187	4471038	nguyen.lam	
100	515	4631638	ImperiumTardigraduum	
100	860	484004	aCat	
93	259	3772187	GeRRy02	
66	137	1001266	Chamel	
53	91	1515891	ndc	
46	118	1848459	Velcoro	
40	122	4120837	philipplenk	
26	181	1269806	LUnver	
20	90	1487392	Razielwar	
20	92	2178794	Unihedron	
20	326	1468516	smartdiscover17	
13	139	891648	boechiel	
13	539	983008	zorak1103	
6	107	2713608	LostSymphony	
6	131	1767134	AntonYuriev	
6	148	3305510	TBali	
6	223	1733196	atzy	
6	382	342431	bdkosher	
6	480	869020	M.M.	
0	0	996606	Indy	
0	69	1654818	tarapitha	
0	79	1740037	ereiam	
0	79	169033	Yasser	
0	88	1864367	Heino	
0	91	1765419	Drac	
0	91	1464681	Bit48	
0	91	1629259	Marchete	
0	97	1396228	samMcCandless	
0	97	1869262	Dr.Strangelove	
0	98	1122412	TheNinja	
0	107	1076912	Ruyan	
0	110	1753925	Wildcat	
0	113	2069141	tomeko	
0	118	2169176	Tanth1	
0	119	1120620	Cybermaxke	
0	119	818780	bbodin01	
0	120	1516975	TheBo	
0	122	2786666	TetraktysPhi	
0	123	525795	Badvision	
0	124	3721214	jrke	
0	125	2536487	Sumo-Naony	
0	126	2270527	VltTnl	
0	126	2230279	TheXeos	
0	133	1864483	Mistblinde	
0	133	2165068	caerbannog	
0	133	2064637	java_coffee_cup	
0	134	1334577	ForTeaToo	
0	136	154806	piwai	
0	136	1891220	GustavMessany-Oberwandling	
0	136	2290633	field3	
0	137	3681143	WillRBX	
0	140	1036222	Aarnoo	
0	141	1043290	Minsky	
0	147	2176607	madmaxx	
0	147	152907	FrMe	
0	148	4048107	SimonPrins	
0	155	1487462	JBuchi	
0	157	1376628	aritdan	
0	160	943907	iga	
0	161	735910	Agade	
0	166	903179	maksmas	
0	178	1516321	Alex_Dub	
0	192	393447	Eff82	
0	210	1782814	Trilusion	
0	220	2057464	toex	
0	229	1035754	Bassel	
0	231	2043908	AntiSquid	
0	254	1854639	iDxMeG	
0	271	1077559	PhOeNyX	
0	338	2159035	SamDocker	
0	407	386072	mpm33	
0	423	154984	_Royale	
0	432	1642387	Blockbuster	
0	529	1046623	the_pins	
0	545	805067	Magus	
0	593	788361	Bob	
0	775	2166108		
