Comp.	Score	UserID	Pseudo	#golf,count=145,time=2022-09-07 00:34:36
100	45	334009	abouvier	
100	47	1537792	AsaiYusuke	
100	55	1654818	tarapitha	
100	56	2928146	LolCat	
100	59	3845610	pardouin	
100	65	3354337	Westicles	
100	67	1399382	Regulus136	
100	67	4396510	PopcornPlant	
100	71	1001096	MyIIone	
100	72	1073247	_NikJ	
100	73	1848459	Velcoro	
100	76	1915654	ZarsBranchkin	
100	78	2874091	5DN1L	
100	79	3564009	Waffle3z	
100	80	1487168	FatIvan	
100	80	2196209	Actium	
100	81	1286254	ute	
100	87	2202771	Kaplone	
100	87	2377210	mrBen	
100	89	3532429	Skyf0l	
100	92	1740037	ereiam	
100	93	3516345	Jp82	
100	96	4496623	npkt	
100	98	1418821	input.txt	
100	100	1853604	nocipher	
100	101	4620106	lonequantum	
100	102	3724738	BoatBuilder	
100	105	507538	Krzybe	
100	111	4166787	polill00	
100	116	1122801	Orcus	
100	116	3514975	PhuRiNaT	
100	117	2107786	Conczin	
100	119	2786666	TetraktysPhi	
100	121	2230279	TheXeos	
100	121	1179950	Patorikkuyatta	
100	122	3879667	Lysenti	
100	123	3410351	Deltaspace	
100	124	717196	NWDD	
100	125	1939310	MasterOf_	
100	127	3954201	etymology	
100	128	155774	dwarfie	
100	128	1077506	gs2	
100	129	1274026	Sethius	
100	132	3571964	GoateSo2	
100	134	1495642	AtomCrafty	
100	134	2043502	Acodon	
100	134	4420742	Mortis_666	
100	140	4159245	Karhuttaja	
100	141	418633	Ygrex	
100	142	4008812	Michael_48	
100	142	911974	Manzazuu	
100	145	2490008	ebicochineal	
100	146	2178794	Unihedron	
100	146	1751832	buikikaesu	
100	147	820000	ValGrowth	
100	149	1334479	apintor	
100	149	2927759	EF159-PDT	
100	151	4587710	Smetalka	
100	154	1678988	PixzleOne	
100	154	3681143	WillRBX	
100	155	1631037	ShunLee	
100	156	1653785	blue42u	
100	158	1707377	Colgate-Blancheur	
100	163	1445241	Trial-by-fire	
100	164	4120837	philipplenk	
100	166	3051141	Snaker1	
100	167	1607971	notcake	
100	168	3177971	EveryOS	
100	168	154806	piwai	
100	170	2069141	tomeko	
100	170	2031454	MrFaul	
100	170	1788623	knarfw	
100	172	792507	stephan2342	
100	173	2290633	field3	
100	174	2976441	Altlock	
100	178	2815558	EvilDuck	
100	180	3305510	TBali	
100	184	558770	lD	
100	184	4175764	Kasylia	
100	185	1678051	v1993	
100	187	4213251	FrancisTafe	
100	191	1609893	FzFeather	
100	200	891648	boechiel	
100	202	4718620	Hieronymus	
100	204	4181866	capesl	
100	204	4390912	Benoit_Belasco	
100	211	3561472	dmoa	
100	225	2591974	BlackCC	
100	236	735910	Agade	
100	241	2140455	Lord_Binary	
100	243	1878116	Muchtrix	
100	243	3919384	ApexFossa	
100	244	1500515	eulerscheZahl	
100	249	1741067	KaracharovAlexander	
100	251	2063592	Gbaud	
100	262	1394184	MatteoDelfavero	
100	281	1181685	dzik	
100	299	1993267	Vecna_Shadow	
100	308	1077559	PhOeNyX	
100	309	3996970	OGF	
100	309	4717726	[Nexure]	
100	311	304126	kami	
100	321	1904154	HinaKaze	
100	321	3204495	CactusHubus	
100	376	4441443	Vntex	
100	391	869020	M.M.	
100	480	3920655		
100	518	805067	Magus	
100	542	484004	aCat	
100	568	1912024	CCyan	
100	613	4692587	Kokaia	
100	615	788361	Bob	
100	646	4167414	MobylityMawn3011	
100	659	4494340	sbot50	
100	678	1597369	thered28	
100	818	875453	Chapel	
100	869	3570097	memorycode	
100	982	4587887	HappyPig	
93.33333333333331	151	4128080	EliasG2	
93.33333333333331	263	3856311	theShafted	
86.66666666666667	272	3837375	ceg	
80	121	2621619	Longue_vie_a_Birt	
80	676	3316322	KecapSosro	
66.66666666666667	1329	2183903	joshuachris	
60	42	271034	6pi	
60	50	1858764	vdevid	
60	50	223893	r0ots	
60	51	1629259	Marchete	
60	52	1100752	ValNykol	
53.333333333333336	558	3927452	Claude2	
6.666666666666667	115	2403047	Jiramide	
6.666666666666667	126	1616191	PotcFdk	
6.666666666666667	441	2578543	AgentSky	
6.666666666666667	442	3950051	terradragon3030	
0	57	2052071	cantkillerme	
0	79	1342741	ltDan	
0	85	2007852	Zorg1	
0	97	2889053	anderium	
0	113	1631414	JanGabrielsson	
0	118	2605855	logiqub	
0	154	1464932	Tiramon	
0	202	4124083	u_know_not	
0	449	4524361	Coco35000	
0	449	1838967	anto10	
0	455	3961262	evoo	
