Comp.	Score	UserID	Pseudo	#golf,count=57,time=2022-12-01 00:35:46
100	45	334009	abouvier	
100	48	1537792	AsaiYusuke	
100	48	1483723	d-s-x	
100	55	3845610	pardouin	
100	57	2928146	LolCat	
100	59	4438505	Eric_[EGU]	
100	63	1654818	tarapitha	
100	64	1968855	ThePurificator	
100	64	3354337	Westicles	
100	71	1436776	BrainSolver	
100	72	1001096	MyIIone	
100	73	1848459	Velcoro	
100	108	1065222	GuillaumeAub	
100	108	2874091	5DN1L	
100	149	3913376	LaurentValade	
100	150	2622559	Gripnil	
100	154	3516345	Jp82	
100	185	2595251	Veterini	
100	186	3770485	zakki	
100	186	4341304	Remi.	
100	193	3305510	TBali	
100	196	2233179	Samsa	
100	196	2923506	darkhorse64	
100	199	155774	dwarfie	
100	199	3719098	Adriennnn	
100	205	1740037	ereiam	
100	206	1485304	lgd	
100	226	4987990	KirrimK	
100	233	2388408	gimlis_goldfisch	
100	237	869020	M.M.	
100	239	1054367	Craimefraych	
100	246	1788623	knarfw	
100	247	5062387	Tenclea	
100	249	1363105	aldrik.net	
100	256	2074534	Remi380	
100	263	4952348	albzn	
100	281	4136008	jerry_laevis	
100	285	154806	piwai	
100	287	2290633	field3	
100	292	4785778	Pharallaxe	
100	307	4208158	Tiouz	
100	323	4717726	[Nexure]	
100	362	1050421	geppoz	
100	497	304126	kami	
100	617	1500515	eulerscheZahl	
100	798	484004	aCat	
100	1009	154984	_Royale	
100	1234	2456363	dLain	
60	41	154372	Plopx	
60	50	2288263	dbdr	
60	63	805067	Magus	
6.666666666666667	156	891648	boechiel	
6.666666666666667	335	3723101	Lilac_Tsuki	
0	70	1629259	Marchete	
0	107	925695	Boulet	
0	211	1348523	Numb_	
0	338	1818596	wec	
