Comp.	Score	UserID	Pseudo	#golf,count=97,time=2021-08-18 00:52:04
100	36	334009	abouvier	
100	39	155774	dwarfie	
100	42	3845610	pardouin	
100	43	2288263	dbdr	
100	45	3354337	Westicles	
100	54	1537792	AsaiYusuke	
100	57	1483723	d-s-x	
100	60	1654818	tarapitha	
100	63	2928146	LolCat	
100	71	1093968	milosMATRIXrepic	
100	72	1001096	MyIIone	
100	73	1759335	metahom	
100	74	2242201	Maryan	
100	75	3514975	Phurinat	
100	76	1436776	BrainSolver	
100	77	512097	Stilgart	
100	77	1140677	Crog	
100	78	1845617	Shingy	
100	78	1848459	Velcoro	
100	79	600941	mrv	
100	80	925695	Boulet	
100	81	2923506	darkhorse64	
100	82	1740037	ereiam	
100	82	1390607	Ivan_Derzhylo	
100	82	2786666	TetraktysPhi	
100	82	820000	ValGrowth	
100	82	3721214	jrke	
100	82	3283415	Bon[]Crayon	
100	82	2325449	otpv	
100	82	2230279	TheXeos	
100	82	1179950	Patorikkuyatta	
100	84	1487168	FatIvan	
100	85	481564	mihei	
100	86	1425410	AgentJam	
100	86	2641712	Scarlatine	
100	90	2096266	southzz	
100	90	1506280	TwoLate	
100	92	218189	[CG]Maxime	
100	92	257832	BlaiseEbuth	
100	93	829472	andris	
100	93	1411649	Levatol	
100	93	4341304	Remi_avec_un_i	
100	95	2096064	xiao.sha	
100	95	3308199	ChadThundercode	
100	95	1759839	matleg	
100	96	706692	alexhap	
100	100	3611465	FooBat	
100	103	2713608	LostSymphony	
100	103	734401	b0n5a1	
100	109	893598	tjandra	
100	109	2490008	ebicochineal	
100	109	3750700	VulpesCorsac	
100	112	2924895	trictrac	
100	113	1774776	joliveras	
100	114	996606	Indy	
100	115	788361	Bob	
100	115	2554628	ckibibi	
100	118	2420013	Zoli007	
100	118	4334077	Paul_Demanze	
100	119	4120837	philipplenk	
100	126	2140343	nick_m	
100	127	2387233	SinOfWrath	
100	133	2408893	jul_dmz	
100	140	4083405	jzen	
100	143	3305510	TBali	
100	150	891648	boechiel	
100	150	1588583	dANNs	
100	152	3035749	lackern	
100	174	3071738	ClashLuke	
100	193	2515515	Bobliu	
100	211	1500515	eulerscheZahl	
100	255	425462	Azt-yur	
100	293	4115833	Mohamed_Kharrat	
100	342	1714446	hari1	
100	411	1077559	PhOeNyX	
100	543	1783604	Vry	
100	563	154984	_Royale	
100	575	1803811	TabascoEye	
100	669	869020	M.M.	
100	821	484004	aCat	
100	951	1506950	WhiteSquall	
100	995	875453	Chapel	
93	246	817627	geot	
93	1169	1458157	chocolatecharlie	
80	114	2320995	Photon_	
60	58	1100752	ValNykol	
60	58	1629259	Marchete	
60	68	2178794	Unihedron	
60	70	990110	Rogerup	
60	71	805067	Magus	
60	72	735910	Agade	
60	81	482543	seshoumara	
0	0	3968399	dormeur2009	
0	49	2416641	Zenoscave	
0	76	1211531	ciaojian	
0	76	1201796	P.Greze	
0	134	3325162	Krakenus00	
