Comp.	Score	UserID	Pseudo	#golf,count=826,time=2022-04-07 00:32:45
100	32	1537792	AsaiYusuke	
100	32	334009	abouvier	
100	33	1483723	d-s-x	
100	38	155774	dwarfie	
100	39	1654818	tarapitha	
100	51	2928146	LolCat	
100	53	3845610	pardouin	
100	54	4095128	Voltmachine	
100	55	2288263	dbdr	
100	58	3354337	Westicles	
100	63	1093968	milosMATRIXrepic	
100	65	1848459	Velcoro	
100	66	1399382	Regulus136	
100	66	1968855	ThePurificator	
100	74	1392942	Kloopy	
100	74	1001096	MyIIone	
100	76	1066028	JrmC	
100	81	1039319	pneus84	
100	82	709490	Sinlepuissant	
100	82	155928	pk	
100	82	2874091	5DN1L	
100	83	2316796	Psio	
100	83	3586725	obrozer	
100	84	1915856	bochsdbg	
100	85	3516345	Jp82	
100	86	975057	LeoTigers	
100	87	331880	Monstruo	
100	88	1540343	chernovig	
100	88	3532429	Skyf0l	
100	89	521034	Thomas88220	
100	89	156188	DorianWilde	
100	90	914105	T6nn	
100	90	1542430	MattR	
100	90	1272578	Astrea	
100	90	2552218	Jakque	
100	92	328782	lorky	
100	92	820541	Johnstyle	
100	94	1774776	joliveras	
100	94	3855753	tuan91	
100	95	1758318	micho88	
100	96	1296449	loveCoding	
100	96	4511629	choval	
100	97	155881	Hevey	
100	98	3921133	Tetelle	
100	99	1193078	Tasiot	
100	100	802171	Merome	
100	100	4324957	SpaceInvaders	
100	101	1263638	BelAnt	
100	101	1740037	ereiam	
100	101	3555371	Rudyweb	
100	101	2923506	darkhorse64	
100	101	3679709	_GiggZ_	
100	101	2325449	otpv	
100	101	1719856	YOANN	
100	102	1854246	Counterbalance	
100	102	2669104	KBurov	
100	102	820000	ValGrowth	
100	103	2220824	Aerodactylus	
100	103	2371389	Franta	
100	103	1757041	Bytenex	
100	103	1060181	Dabou	
100	103	1179950	Patorikkuyatta	
100	104	932973	Pimentero	
100	104	1673971	Lanken	
100	104	3947806	Kr4unos	
100	104	3958314	NicoDeug	
100	105	704875	XaY	
100	105	1533481	MattM	
100	105	1485690	Kikoo	
100	105	2142879	Salador	
100	105	320053	Zbug	
100	105	1445418	mgonzalez	
100	105	1479137	lorenzods	
100	105	849999	Moez	
100	105	4420742	Mortis_666	
100	106	1120584	Tomaass	
100	106	1193679	Icebox	
100	106	1505715	Yiin	
100	107	484031	LeSSeR	
100	107	1363439	ilmir	
100	107	2762653	RAAAT	
100	107	3445362	demacus	
100	107	854169	Silmaen	
100	108	3585269	Colios13	
100	108	4308802	Ascodran	
100	108	4496623	npkt	
100	109	1126605	w0nd3r	
100	109	1443075	Wolfy82	
100	109	1544883	s77	
100	109	1681743	Lowjack	
100	109	3313645	tcr	
100	109	792813	VilBoub	
100	110	1475507	Rigg7	
100	110	1305374	Frankich	
100	110	1123010	kerro	
100	110	1534309	Buszmen	
100	110	153620	[CPC]Karedas	
100	110	1121157	rliukshyn	
100	110	1660602	SemChumboPT	
100	110	1736046	SmolyarO	
100	110	1772022	DetaX	
100	110	1726884	r0wa1n	
100	110	1726873	Raviowitch	
100	110	2014007	Louise-Francoise	
100	110	1064903	Ghirtor	
100	110	2156033	ffb	
100	110	2162492	BluSomething	
100	110	1065687	Xawirses	
100	110	2786666	TetraktysPhi	
100	110	2317026	SomLuckyBoi	
100	110	2983004	tazorax	
100	110	3105214	Asg91	
100	110	3647844	rc95401	
100	110	4106688	LovePou	
100	110	1035630	Vestiaz	
100	110	638784	Yqnn	
100	110	2286441	Omiganox	
100	111	1388076	Siruker	
100	111	558770	lD	
100	111	1690120	tino299	
100	111	3305510	TBali	
100	111	4136747	alopikon	
100	112	865548	Kktus	
100	112	1443614	Gaswigue	
100	112	1482482	gmolnar	
100	112	1292226	Hanibator	
100	112	1926119	Retiixx	
100	112	2511772	ChristopheFerreboeuf	
100	112	1348635	ferbos	
100	113	399861	Srekcud	
100	113	2250452	Isac	
100	113	3806986	jjdb210	
100	113	4798287	Pietsen	
100	114	1709078	LeMojo	
100	114	1414522	masterboda	
100	114	1996118	ovuden2	
100	114	1539532	Echyzen	
100	114	1202933	NullOps	
100	114	2897325	CAEZAR	
100	114	3088965	divveee	
100	114	153823	Captainseb	
100	114	3309767	DualisT	
100	115	1486995	g.paton	
100	115	1461300	TopTyp	
100	115	2230279	TheXeos	
100	116	826372	skyyker	
100	116	1918036	Fagnon	
100	116	3721214	jrke	
100	116	3430773	tax16	
100	116	194152	progin	
100	116	4283515	FrancoisBaveye	
100	117	1760921	[Leonardone]-[-_-]-[NEETSDKASU]	
100	118	1655250	Bibo	
100	118	2713608	LostSymphony	
100	118	351062	Neumann	
100	118	3427358	Cc3a9dric	
100	119	1205112	renukan	
100	119	317861	lordgun	
100	120	4016018	Olexy	
100	120	2902075	Cyriel	
100	121	886483	R4N4R4M4	
100	121	155896	gamoul	
100	121	2056649	J3r3m067	
100	121	735487	amurushkin	
100	121	3567416	PluckyPenguin	
100	122	1339790	Kyran	
100	122	495198	Maskimeee	
100	122	1378173	skillfulzombie	
100	122	1348523	Numb_	
100	122	1863849	Peglo	
100	122	1664044	BUG	
100	122	2073179	Biwere	
100	122	666934	93	
100	122	1221729	RevBooyah	
100	122	188522	iolcos	
100	123	1112163	JaredReimer	
100	123	4112275	szagabesz	
100	123	1050421	geppoz	
100	124	204179	resistcorp	
100	124	1163546	Pyou	
100	124	4003601	Mathieu1988	
100	125	1478244	Dyno64100	
100	125	225069	Gizmo_091	
100	125	2407700	adoxography	
100	125	3849087	Nawael	
100	125	4159245	Karhuttaja	
100	126	1672765	yashkir	
100	127	2648751	JstKing	
100	127	2640120	antoinbo	
100	127	3918679	CeBe	
100	128	2348615	CedricT	
100	128	1017817	Becha	
100	129	987041	particleflux	
100	129	1525816	Flodnes	
100	129	4015957	Thomas_Lobjoie-Inviqa	
100	129	3983017	TLbuis	
100	130	2564086	takashi_yoshimatsu	
100	130	2552276	William_T.	
100	130	2566623	VincentBab	
100	130	3989875	TomasV	
100	131	1161211	Greaby	
100	131	3514975	Phurinat	
100	132	1707377	Colgate-Blancheur	
100	132	1077559	PhOeNyX	
100	132	377432	Popy	
100	132	1671791	spongeben	
100	132	1221160	gendos_ua	
100	132	2094979	Mike_One	
100	133	1232851	docl	
100	133	1117812	Arcanod	
100	133	553938	MagAlex	
100	133	206582	kpeatubho	
100	133	1816696	flammehawk	
100	133	2763472	Nick-the-Name	
100	133	869440	pjonckiere	
100	134	1583720	RaymondS	
100	134	1408492	Ptit-g	
100	134	1218543	Hesna	
100	134	1731005	4X_Pro	
100	134	1744223	Bissel	
100	135	1599292	shinesoul	
100	135	2165068	caerbannog	
100	135	1750815	Deamon	
100	135	2123423	splanard	
100	135	3655904	Sharkjoe	
100	135	1802967	Meruem	
100	136	1536052	Iwaniszyn	
100	136	1792319	Pakos	
100	136	2237474	winw	
100	136	1411238	Stoi	
100	136	2575019	gabriel2combe	
100	137	1477749	Shadeke	
100	137	2069141	tomeko	
100	137	198268	newrare	
100	137	3740580	CML	
100	137	3808031	_proton	
100	137	4111937	Hardik-inviqa	
100	137	304126	kami	
100	138	329599	ookio	
100	138	2263449	Slandais	
100	139	3882165	FredCirius	
100	139	1723138	Frank_Sinatra	
100	140	861601	rafi	
100	140	1778780	Showstorm	
100	141	3897618	Mostuf	
100	141	3896228	Boruwaka	
100	141	4017386	Fua	
100	141	4033902	SzabolcsSzullo	
100	142	1238934	accorp	
100	142	2867477	MichaelKommandant	
100	143	293839	Psary	
100	143	3338892	Erikou	
100	144	2647740	K5Julien	
100	144	295708	snaken	
100	144	2765093	PeteWard-Inviqa	
100	145	1518504	bohuss	
100	145	1782005	AlexW	
100	146	1021457	Loicos	
100	147	866808	Tommlbomml	
100	147	2102429	hellocoding	
100	147	2285024	hochrluc	
100	147	3536668	npluis	
100	148	1486776	nrdxn	
100	148	3373803	Fanfoi125	
100	149	1687534	Drizzt_Drone38	
100	149	1788613	Gritche07	
100	149	153640	velkuns	
100	149	3480498	BenPix	
100	149	4456194	Kershoc	
100	151	1528929	Blackfich	
100	151	2599938	RomainHarache	
100	151	3214641	Neicul	
100	151	4262394	Arkux	
100	151	2887878	Brodalee	
100	152	2416920	Amandeus	
100	152	1700131	Klarann	
100	152	154014	eisenh	
100	153	1359497	AlexeyDubinchak	
100	153	629452	H423	
100	153	380641	Mercadis	
100	153	1676320	WikeyB	
100	154	1152307	JON	
100	154	1462880	Roxis	
100	154	1505267	gjimene1	
100	154	631323	herve056	
100	154	3489223	KarloHubai	
100	155	1339322	riehli-r	
100	155	409221	JohnGresham	
100	156	1769355	JagerMaster	
100	156	2452272	Lequim	
100	156	959402	gmessier	
100	156	4430070	SamuelCDA6	
100	158	1655524	Pmimo	
100	158	720871	Radamanf	
100	159	4120837	philipplenk	
100	159	3643870	Rakwes	
100	160	999759	khez	
100	160	2338367	imq	
100	161	186225	bob1	
100	161	1434793	ntsrt	
100	161	2711018	Fabs	
100	161	3307730	takotak	
100	161	4514305	Lauri.Kase	
100	162	1522034	Deadlock	
100	163	1304583	eltharin	
100	163	1177795	Slash-Dev	
100	163	3804273	ethnerom	
100	163	2856198	port0201	
100	163	3864938	dbut2	
100	164	497401	aw.khan	
100	164	1701503	DamienBeauseigneur	
100	165	153374	issam	
100	165	527749	Pds	
100	165	1466631	Akrib	
100	165	4238542	tooy	
100	166	1335230	jft63	
100	166	282361	charlycoste	
100	166	4415076	Kasija	
100	167	1715794	Firano	
100	167	3432489	Rhayader	
100	168	936609	dja	
100	168	891648	boechiel	
100	168	4334077	Paul_Demanze	
100	169	1385626	Wabash9000	
100	169	2004643	frederic34	
100	169	811353	Tolito	
100	171	2408893	jul_dmz	
100	171	1612296	dimspawn	
100	171	3096303	Nicolit	
100	172	935744	Alcalyn	
100	172	2255187	rom_02	
100	172	1590835	ThePiProgrammer	
100	173	1293165	oxnxo	
100	173	3872108	TD1334	
100	174	1461983	clagiordano	
100	174	4821458	FabienMinel	
100	175	874507	SebastienXD	
100	175	238747	defkrie	
100	175	2373393	WolfChen	
100	176	1526939	BeardedDude	
100	176	1183510	ixvil	
100	176	3077492	psyclops	
100	177	1014924	TommyP	
100	177	1501280	KeganV	
100	177	4107216	fripas	
100	178	3387410	Paolo_Rzf	
100	179	995984	Tonio_	
100	179	2456494	NikRal	
100	180	1445555	Jerame	
100	180	2614380	noelma	
