Comp.	Score	UserID	Pseudo	#golf,count=77,time=2021-11-06 00:39:52
100	69	1537792	AsaiYusuke	
100	69	334009	abouvier	
100	71	1483723	d-s-x	
100	83	3845610	pardouin	
100	84	3354337	Westicles	
100	94	1128225	AxleShaft	
100	95	2928146	LolCat	
100	96	2201471	seihoukei	
100	104	3509975	bneumann	
100	106	1399382	Regulus136	
100	109	3516345	Jp82	
100	110	1740037	ereiam	
100	112	1848459	Velcoro	
100	114	1411649	Levatol	
100	131	828239	[SG]Bisou	
100	134	2874091	5DN1L	
100	138	4095799	circular17	
100	141	734401	b0n5a1	
100	146	2353603	MrSok	
100	148	2178794	Unihedron	
100	151	1202744	KILLogic	
100	153	1889170	mvujas	
100	158	1676558	dimon_kazakov	
100	162	371603	martin	
100	170	3305510	TBali	
100	177	3921904	siro0230	
100	183	886483	R4N4R4M4	
100	186	2290633	field3	
100	195	154806	piwai	
100	207	2177896	NTL51	
100	215	2786666	TetraktysPhi	
100	225	4461635	Tibirius	
100	252	2069141	tomeko	
100	278	2371389	Franta	
100	315	1759335	metahom	
100	334	3514975	Phurinat	
100	346	996606	Indy	
100	363	891648	boechiel	
100	365	4120837	philipplenk	
100	378	2043908	AntiSquid	
100	383	1754912	EndraKlausBaudelaire	
100	420	4083390	jarrygu	
100	458	1235841	andreasp	
100	493	2302078	PiMat	
100	503	1449433	Rolf	
100	503	304126	kami	
100	576	2713608	LostSymphony	
100	595	4030025	ZoltanSimon	
100	683	4534872	BlaiseEbuth	
100	773	875453	Chapel	
100	850	4115833	Mohamed_Kharrat	
100	873	1783604	Vry	
100	997	2901581	KHR	
100	1005	1764618	ave99	
100	1021	1077559	PhOeNyX	
100	1028	1643783	Catapa	
100	1046	869020	M.M.	
100	1095	154984	_Royale	
100	1107	484004	aCat	
100	1142	1322537	gp3	
100	1180	3309767	DualisT	
100	1261	788361	Bob	
100	1263	2570510		
100	1293	4273943	MVV90	
100	1515	1396678	Haryanto	
100	1746	805067	Magus	
100	2306	4404163	Dioskure	
93	1305	831250	gabisan	
80	600	1036952	CortexDeveloper	
80	1576	2319464	Philippe_78700	
6	134	1654818	tarapitha	
6	873	1535449	Kisioj	
6	917	4219572	hcm121212	
0	67	1100752	ValNykol	
0	80	990110	Rogerup	
0	87	1001096	MyIIone	
0	91	1629259	Marchete	
