Comp.	Score	UserID	Pseudo	#golf,count=333,time=2022-05-22 02:10:35
100	29	1537792	AsaiYusuke	
100	29	334009	abouvier	
100	31	1483723	d-s-x	
100	36	1626273	markasoftware	
100	39	1654818	tarapitha	
100	40	1848459	Velcoro	
100	41	1620803	Lyapunov	
100	42	1529760	contagious	
100	42	1399382	Regulus136	
100	42	3730057	Maxtreme	
100	42	4487490	cnk_gr	
100	42	3845610	pardouin	
100	42	4341304	Remi.	
100	43	1854246	Counterbalance	
100	43	1991984	MicheL	
100	44	629655	Wolden-Dans	
100	44	1968855	ThePurificator	
100	44	2928146	LolCat	
100	44	4095128	Voltmachine	
100	44	806416	awnion	
100	45	240311	Myrthem	
100	45	1336464	magaiti	
100	45	1001096	MyIIone	
100	45	2584779	quirck	
100	45	4538788	AlecMan	
100	46	545951	AntonT	
100	46	1498755	Nyvis	
100	46	1489068	Subby_	
100	46	1339675	SR4	
100	46	1342745	Catiminie	
100	46	1857171	AdamB	
100	46	1390607	Ivan_Derzhylo	
100	46	230015	Kolo9	
100	46	586565	Dedoo	
100	46	973040	papyjo	
100	46	925695	Boulet	
100	46	155774	dwarfie	
100	46	1178276	Jerome_95	
100	46	1607522	RoboStac	
100	46	4216789	Saur2000	
100	46	2371389	Franta	
100	47	1296449	loveCoding	
100	47	1193408	DoubleZeroSteph	
100	47	838037	sas4eka	
100	47	2451652	code_of_the_dead	
100	47	1307473	Evgenykz	
100	47	953094	Witman	
100	47	3022507	AstroFest-2018_Bohdan-Rutylo	
100	47	2325449	otpv	
100	47	1540478	struct	
100	47	154388	PonyPonyCodeCode	
100	47	3913376	LaurentValade	
100	47	1896273	Coyin	
100	47	4111058	Perlorodka	
100	47	3740142	Bedstorm	
100	47	3516345	Jp82	
100	47	2874091	5DN1L	
100	47	3514975	PhuRiNaT	
100	47	1349430	tardigrada	
100	47	2377220	arstneio	
100	48	1201783	qsantos	
100	48	938374	UnmanagedCode	
100	48	1306289	Jasperr	
100	48	1629259	Marchete	
100	48	2669104	KBurov	
100	48	225875	Leff	
100	48	2786666	TetraktysPhi	
100	48	3002969	Porsuk	
100	48	351062	Neumann	
100	48	854169	Silmaen	
