Score	UserID	Pseudo	#golf,count=22,time=2020-10-06 02:40:10
90	1537792	AsaiYusuke	
92	1483723	d-s-x	
112	1654818	tarapitha	
118	1629259	Marchete	
118	331880	Monstruo	
120	1178276	Jerome_95	
122	1733593	Wei-1	
123	2288263	dbdr	
124	1001096	MyIIone	
128	1419589	forty	
129	3808031	_proton	
140	3354337	Westicles	
159	3622757	anid	
163	903443	adriens	
177	1174144	Evilnef	
177	384269	eax0x01	
205	3797016	hauke	
211	1891913	fal_rnd	
228	1066745	DepartmentOfRedundancy	
282	2515515	Bobliu	
332	3961004	citarf	
