Comp.	Score	UserID	Pseudo	#golf,count=120,time=2022-02-19 00:38:52
100	74	3354337	Mrs.GloriaZindlebocker	
100	75	1399382	Regulus136	
100	81	240311	Myrthem	
100	91	3845610	pardouin	
100	94	3516345	Jp82	
100	98	2874091	5DN1L	
100	100	3073020	_francois_	
100	101	2333316	Ionax	
100	109	4496623	npkt	
100	115	2713608	LostSymphony	
100	115	1105871	PolonaisCripestro	
100	115	2288263	dbdr	
100	120	3514975	Phurinat	
100	121	1436776	BrainSolver	
100	127	334009	abouvier	
100	127	1566990	Elsu	
100	135	1848459	Velcoro	
100	138	3848487	JonasPeeters	
100	146	1086669	FreeKent	
100	147	1021061	divbyzero	
100	148	2069141	tomeko	
100	149	256955	cup_of_tea	
100	149	4343702	dillon-mce1	
100	149	4745452	CoolandonRS	
100	155	3214641	Neicul	
100	157	2425803	Lancelotbronner	
100	166	2851851	Rahex	
100	180	3305510	TBali	
100	183	2230279	TheXeos	
100	193	4083405	jzen	
100	196	3665464	TheFalk	
100	199	3376962	Kous92	
100	210	1668138	Poisson	
100	223	4402812	NicolasAlmerge	
100	227	3222348	notTheFinal	
100	245	3435845	Sombre-Osmoze	
100	259	3526447	arm12345	
100	262	4073019	caillotantoine	
100	407	4471038	nguyen.lam	
100	479	382661	RobertoCaldas	
100	505	1077559	PhOeNyX	
100	524	4060632	jocago	
100	539	1910916	VivienBillot	
100	548	491066	DimaJP	
100	563	3961157	LayQ	
100	640	820000	ValGrowth	
100	642	3971104	ThibaudLambert	
100	688	4006078	Khail	
100	713	4334077	Paul_Demanze	
100	750	4154030	Steph1377	
100	757	4484372	jorelosorio	
100	762	4570497	Hafeed06	
100	768	3953448	KAROU	
100	785	4652107	JonnyWhite	
100	795	4064451	alex010x	
100	815	3296783	penat	
100	822	484004	aCat	
100	835	1288019	Jarret	
100	903	4263719	iGansu	
100	938	3825824	AlexanderPuchta	
100	973	4717737	Sarfaris	
100	1006	4036066	Lucena	
93.33333333333331	120	304126	kami	
93.33333333333331	170	1677918	CA	
93.33333333333331	885	3943036	FrostedSentry	
93.33333333333331	900	4678087	Russskof	
80	1098	1119286	Applelien	
0	0	996606	Indy	
0	80	1629259	Marchete	
0	83	1179950	Patorikkuyatta	
0	83	1654818	tarapitha	
0	87	709490	Sinlepuissant	
0	100	365796	CvxFous	
0	100	3833014	0b1010	
0	103	155774	dwarfie	
0	107	925695	Boulet	
0	107	3443015	Wozniak	
0	107	2924895	trictrac	
0	123	1740037	ereiam	
0	128	2997884	Zollerboy1	
0	130	1728610	grimabe	
0	138	1337680	Discoordination	
0	139	681607	Gyabire	
0	140	154806	piwai	
0	156	1727220	Hyne	
0	156	1060181	Dabou	
0	165	218189	[CG]Maxime	
0	168	3342007	asdfghjkllkjhgfdsa	
0	181	2786666	TetraktysPhi	
0	186	2251735	margnick	
0	187	1458157	chocolatecharlie	
0	189	1130204	BillyS	
0	190	833519	5k4	
0	193	891648	boechiel	
0	199	1549485	Softyy	
0	201	1648963	MarkRassamni	
0	219	1618965	medrupaloscil	
0	220	1576972	aislasq	
0	226	1729856	NDest	
0	232	1625427	DaniBoy	
0	264	1500515	eulerscheZahl	
0	270	2823179	Im_Popi	
0	271	2890130	Zucc	
0	299	1438835	smohn	
0	340	2817558	PMak	
0	467	875453	Chapel	
0	522	2120846	Vikas_Choudhary	
0	618	2636671	balu_	
0	656	1486593	albyok	
0	742	788361	Bob	
0	779	2442914	jullianm	
0	792	805067	Magus	
0	799	3335508	BeneBode	
0	825	2120847	Gaurav_Thorat	
0	886	1698635	elostiragne	
0	924	3158281	Mampita	
0	1038	869020	M.M.	
0	1080	154984	_Royale	
0	1197	2043908	AntiSquid	
0	1251	3384597	TaratornDeachboon	
