Comp.	Score	UserID	Pseudo	#golf,count=99,time=2022-04-10 00:37:42
100	92	1483723	d-s-x	
100	93	334009	abouvier	
100	96	4341304	Remi.	
100	100	3845610	pardouin	
100	102	1654818	tarapitha	
100	117	2928146	LolCat	
100	125	1848459	Velcoro	
100	133	3354337	Westicles	
100	147	481564	mihei	
100	149	4095799	circular17	
100	151	2874091	5DN1L	
100	153	734401	b0n5a1	
100	163	2288263	dbdr	
100	163	155774	dwarfie	
100	168	3776530	Insufficient	
100	171	1399382	Regulus136	
100	172	704875	XaY	
100	172	1540394	LVdA	
100	178	3489223	KarloHubai	
100	178	3516345	Jp82	
100	192	893177	Rebelwillow	
100	193	1179950	Patorikkuyatta	
100	197	828239	[SG]Bisou	
100	201	1760921	[Leonardone]-[-_-]-[NEETSDKASU]	
100	202	1855354	KiwiTae	
100	202	3855258	Starfighter	
100	205	709490	Sinlepuissant	
100	205	3514975	Phurinat	
100	210	2069141	tomeko	
100	211	2786666	TetraktysPhi	
100	211	154806	piwai	
100	216	1740037	ereiam	
100	218	2713608	LostSymphony	
100	219	1678796	Gundim	
100	224	1802967	Meruem	
100	234	2290633	field3	
100	241	4003601	Mathieu1988	
100	249	1759335	metahom	
100	266	1592544	zoom_one	
100	270	1002539	Dilbert1	
100	275	1506280	TwoLate	
100	277	4233955	Hujing	
100	285	3305510	TBali	
100	289	1784002	NopNop	
100	309	1258129	Pink	
100	322	1458157	chocolatecharlie	
100	325	1497603	_neo.	
100	329	891648	boechiel	
100	330	4390912	Benoit_Belasco	
100	331	304126	kami	
100	338	1670035	vorbeiei	
100	349	1500515	eulerscheZahl	
100	362	3123327	Cordy	
100	394	1453140	believerboy	
100	465	2230279	TheXeos	
100	520	1740073	MarceloZGranja	
100	557	4717726	[Nexure]	
100	583	4471038	nguyen.lam	
100	595	599629	robwaw	
100	607	875453	Chapel	
100	610	1077559	PhOeNyX	
100	644	1408214	tushkan4o	
100	652	3573278	amiine90	
100	692	2003869	PS54A	
100	738	805067	Magus	
100	769	1521280	Arunsiddu	
100	774	1809030	JakobST1n	
100	789	154984	_Royale	
100	872	2596504	Kiborg	
100	934	484004	aCat	
100	1001	4166320	xrust	
100	1019	788361	Bob	
100	1131	656081	2skill3d4u	
100	1155	1515308	Wired_1	
100	1198	774318	Whistlebenetdyslexique	
100	1213	869020	M.M.	
100	1273	2154536	mokeQ	
100	1291	2799637	MritunjayPandey	
100	1491	1507416	ikki	
100	1521	2991687	Enguacco	
100	1586	1493242	CodeMonkey123456	
100	1637	1392181	LaLa	
100	1794	3164278	MuhammadDumairyPriyanto	
100	2156	2045323	ACR	
100	2532	1602758	RhOtD	
86.66666666666667	482	4456367	AndyWasHere	
80	571	1127302	NikkiBear	
60	1691	2991559	KDRAN	
26.666666666666668	1745	2850045	AlessandroLerici	
0	130	1629259	Marchete	
0	150	1001096	MyIIone	
0	211	1564593	kjasghlisuagerhdfn	
0	236	1792532	Zanbez	
0	239	1355842	slaghn	
0	250	1016114	Insanctus	
0	282	1707377	Colgate-Blancheur	
0	324	1029602	Potemkine	
0	328	3028864	lorcQc	
0	357	1542460	[CPC]totoleharicotvert	
