League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=33,time=2022-11-05 00:30:04
0	39.94	2906497	4472393	C++	daaskare	
0	39.6	2923506	4504667	C++	darkhorse64	
0	36.23	2290633	4441522	Python3	field3	
0	34.84	1792532	4496320	C#	Zanbez	
0	34.67	1489865	4499825	Python3	EricSMSO	
0	34.13	1479930	4512728	C++	LeRenard	
0	34.09	4584723	4512203	C++	babaaurhum	
0	33.72	4924031	4507347	Python3	Robertinhop	
0	33.35	2924895	4471376	C	trictrac	
0	33.02	1440111	4484440	C++	nicZ	
0	32.89	3847976	4445422	Python3	[SG]Mob-Programming	
0	32.58	5074786	4452109	Python3	Urfe	
0	32.27	311035	4494989	Python3	leojean890	
0	29.94	894599	4487530	Python3	DidierC	
0	29.71	973040	4486038	Rust	papyjo	
0	27.5	4074654	4484943	C++	Flesh	
0	27.21	3953185	4445776	Python3	FoxyLady	
0	25.99	1802967	4441780	Python3	Meruem	
0	24.8	3141948	4438581	Python3	philRG	
0	24.13	3647844	4440740	Python3	rc95401	
0	23.88	2744277	4450558	Python3	IC	
0	23.76	2532837	4447994	Ruby	fauresebast	
0	23.17	2110342	4506859	Javascript	lchenay	
0	21.32	3354337	4437560	C++	Westicles	
0	21.25	3136787	4437699	Python3	jacek	
0	21.02	4158692	4516137	Python3	All2u	
0	20.57	154806	4446583	Python3	piwai	
0	20.54	1412263	4438775	PHP	PatrickMcGinnisII	
0	20.38	4277867	4475935	D	About	
0	20.31	5067187	4485016	Python3	Jolinar	
0	19.89	2612889	4488437	C#	Symphonia	
0	6.84	1713174	4449420	Python3	BigUP	
0	6.02	4626700	4499714	PHP	JohnyDarecek	
