League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=777,time=2022-10-21 00:30:06
6	34.39	3193653	2433021	C++	karliso	
6	32.07	1400179	2431247	C++	reCurse	
6	28.19	3243532	2431241	Java	teccles	
6	27.64	3903473	3783898	Python3	Konstant	
6	26.53	1049935	2880818	C++	Azkellas	
6	25.7	1372349	2431246	Java	NinjaDoggy	
6	24.77	1500515	2431253	C#	eulerscheZahl	
6	23.79	1186250	4488822	C#	Gabbek	
6	23.76	580424	3020932	C++	siman	
6	23.27	3235897	2431255	Java	Zylo	
6	23.25	3341766	2465498	C#	AlesRamsa	
6	23.09	820000	2585661	C++	ValGrowth	
6	22.94	154984	2431238	C++	_Royale	
6	21.23	2311105	2431245	C++	kovi	
6	20.84	351062	2431249	C++	Neumann	
6	19.97	2522090	2431244	C#	MSmits	
6	19.86	893541	3147413	Java	wala	
6	19.63	3756199	3152645	C++	KnightMoves	
6	19.53	805067	2599438	C++	Magus	
6	19.08	1537951	3857006	Java	Nerchio	
6	18.61	1114834	2432786	Python3	k4ng0u	
6	18.25	1818159	2431254	C++	JRFerguson	
6	17.6	1947771	4323930	Python3	__Alex__	
6	17.58	837350	2431250	Python3	BorisZ	
6	16.66	1629259	2626074	C++	Marchete	
6	16.58	3319855	2442301	C#	Drobor	
6	16.54	3918583	4008329	Rust	mikmak	
6	16.4	2970414	2431239	Python3	Fangel	
6	16.21	463873	2595851	Python3	tanakat01	
6	15.89	154312	2828437	C#	ThomasNicoullaud	
6	15.89	1335230	2615580	C++	jft63	
6	15.63	1756952	2431237	C++	Petras	
6	15.54	1333869	2431251	Python3	kiwijam	
6	15.1	1307473	2583805	C#	Evgenykz	
6	14.95	2510531	2609638	Python3	Jamproject	
6	14.86	416762	2522263	Javascript	Khao	
6	14.74	1480501	2433546	C++	DaFish	
6	14.67	1399619	4463062	C++	yurp	
6	14.67	1167615	2595787	C#	TylerDurden	
6	14.42	3533119	3845133	Python3	wlesavo	
6	14.35	5052454	4463066	C#	chris.steele	
6	14.24	754792	2433172	C++	Ramdeath	
6	14.21	2386035	4464932	C#	Samsonov	
6	14.15	2906497	2614239	C++	daaskare	
6	14.07	1675487	2432917	C	PED	
6	13.61	3354668	2460223	Python3	DimSumSaying	
6	13.48	2006324	2664147	C#	Oussama_SIharde	
6	13.33	1861852	2891994	Javascript	Cramer	
6	12.49	1479930	4464955	C++	LeRenard	
6	12.46	3230794	4464928	C++	tutubalin	
6	11.55	4882037	4488568	C#	CrystalRushLearning	
6	10.41	1787026	3845078	Java	xurei	
6	7.09	4334077	4036091	C#	Paul_Demanze	
6	4.81	2288263	2634892	Rust	dbdr	
6	-3.22	403748	2679831	C#	[CG]SaiksyApo	
5	32.85	1341520	2425850	C	egaetan	
5	31.34	3270023	2769765	Javascript	burningdaylight	
5	30.9	1932868	2425862	Python3	Tehelka	
5	30.88	1194069	2425845	Java	Redstrike	
5	30.49	232528	3128587	C++	cegprakash	
5	30.38	3721214	4282332	C++	jrke	
5	30.07	854952	2425800	C++	dolmen1234	
5	30.01	1314316	2439918	C++	jolindien	
5	29.97	3235896	2425853	Java	Fenz	
5	29.82	3245819	2571086	Python3	TomA	
