League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=17,time=2021-09-12 00:30:04
1	35.57	2924895	3777749	C	trictrac	
1	28.13	2290633	3777637	Python3	field3	
1	23.26	1479930	3777941	C++	LeRenard	
1	20.16	2968035	3777481	C++	DomiKo	
1	19.11	2184856	3779680	Python3	MichalOp	
1	15.86	311035	3787225	Python3	leojean890	
1	15.46	1412263	3779878	PHP	PatrickMcGinnisII	
1	13.34	862919	3798478	C++	Astrobytes	
1	8.5	973040	3816484	F#	papyjo	
0	8.03	3136787	3778437	Python3	jacek	
0	6.7	2043908	3788361	VB.NET	AntiSquid	
0	6.67	3657937	3780833	Python3	elderlybeginner	
0	6.55	3721214	3779479	Python3	jrke	
0	6.3	1713174	3782188	Python3	BigUP	
0	5.87	3569066	3780270	Python3	derjack	
0	-6.61	2325449	3796651	Perl	otpv	
0	-9.02	3999693	3811610	C++	ln-dev05	
