League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=1662,time=2022-01-27 00:36:44
6	42.9	1400179	1501706	C++	reCurse	
6	40.26	351062	2139699	C++	Neumann	
6	37.53	3457031	3916653	C++	YurkovAS	
6	37.2	1607522	1581365	C++	RoboStac	
6	36.75	1452472	1469628	C++	Daporan	
6	36.44	524638	1618734	C++	miklla	
6	36.28	854952	1779503	C++	dolmen1234	
6	35.19	1802419	1441625	C++	shummie	
6	34.14	1629259	2229921	C++	Marchete	
6	32.63	1673971	1416605	C++	Lanken	
6	31.47	735910	1772475	C++	Agade	
6	30.66	1314316	2125624	C++	jolindien	
6	27.21	1203167	2084111	C++	r3versi	
6	27.13	154984	2048705	C++	_Royale	
6	26.12	1061242	1616350	C++	martinpapa69	
6	25.19	832306	1414591	C++	pb4	
6	25.13	1479930	1740157	C++	LeRenard	
6	25.12	1549145	1421958	C++	Mealc	
6	25.01	1489865	2464859	C	EricSMSO	
6	24.64	805067	1414596	C++	Magus	
6	24.13	1944090	1734245	C#	spaceorc	
6	23.61	1082988	1666579	C	Saelyos	
6	22.73	186179	3563797	C++	Nagrarok	
6	22.42	2474201	1764650	C#	melanholy	
6	22.39	3918583	3920320	Rust	mikmak	
6	22.19	2924895	3366182	C	trictrac	
6	22.19	1877348	1428898	C++	harshch000	
6	21.98	2968035	3165699	C++	DomiKo	
6	21.36	735487	2110425	C++	amurushkin	
6	21.35	1183615	1734738	C++	Phil9l	
6	21.19	1671658	1607042	C++	Kirbiby	
6	20.43	972894	1853798	C++	resty-daze	
6	19.76	1152991	1737910	C#	xoposhiy	
6	19.73	593523	1426774	C++	supermassive	
6	18.66	893541	3018993	Java	wala	
6	17.86	2473585	1844154	C#	Leoltron	
6	17.56	1415495	1488431	C	fenrir	
6	17.27	1860953	1763052	C++	Miarem	
6	17.21	153774	2839478	C++	cocoche007	
6	17.16	1022925	1436220	C++	Adrien.	
6	17	1378958	3062098	C#	Illedan	
6	16.56	3669985	3018824	C++	Gafagarion	
6	16.02	1518732	2319731	Java	Apfeloxid	
6	15.03	2043908	2234505	Java	AntiSquid	
6	14.94	403748	1414590	C#	[CG]SaiksyApo	
6	13.9	1106450	1609643	C++	RiSuS	
6	13.75	2480831	1770654	C#	mopozko	
6	13.5	335954	1628659	Java	nmahoude	
6	13.44	1323814	1440681	C	Wildcat-SC	
6	13.04	1716299	2322202	C++	micky924	
6	12.94	1898847	1416352	C	faga	
6	12.61	2473662	1849668	C#	Ollisteka	
6	12.39	902324	1814449	C#	Tinsane	
6	12.25	1718945	1627892	Java	ilovebugs	
6	12.24	2090459	1465490	C	aleeraser	
6	10.69	2051334	1416606	C++	Dwarth	
6	9.91	1050159	1647645	C	speedloop	
6	9.76	1994076	1463107	C	Maldus	
6	8.4	2046648	1470885	C	Stom	
6	7.19	1857831	1427446	C#	pbunny	
6	5.75	1606588	1508562	C++	inoryy	
6	5.15	1481544	1830134	C++	ZarthaxX	
6	4.68	1500515	3379419	C#	eulerscheZahl	
5	33.75	2998967	3533969	TypeScript	Gilde	
5	33.46	2474205	1873134	C#	zugzwang	
5	33.45	1206537	1512750	C++	MadKnight	
5	31.97	226528	1450546	C++	Manwe	
5	31.85	1417361	1866696	C#	Griboedoff	
5	31.1	2473610	2226275	C#	Martyanovst	
5	30.56	2473192	1765979	C#	game-ai-course	
5	29.98	528262	1408480	C	Niii	
5	29.47	2473980	1866727	C#	corteso	
5	28.91	886483	1498601	ObjectiveC	R4N4R4M4	
5	28.88	841085	1408493	C#	Risen	
5	28.77	1258533	1418344	Python3	MathJason	
5	28.32	1818159	1732004	C#	JRFerguson	
5	25.83	1647133	1507332	Java	ilt	
5	25.52	1816783	1676264	C#	NightLuna	
5	25.13	1034635	1408492	C++	SlyB	
5	25.12	1889981	1408505	C#	rekcahd	
5	24.79	1341520	1408521	C	egaetan	
5	24.56	1903031	1768950	C++	hard-coded	
5	24.47	1410353	2359690	Rust	SwagColoredKitteh	
5	24.04	1194069	2144184	Java	Redstrike	
5	23.57	1974975	1408529	Python3	Aimfall	
5	23.33	1645870	1428690	Python	ppo1	
5	23.12	1071140	1409532	C#	BeberLeNewbie	
5	22.95	196606	1438425	Java	EasyCoder	
5	22.93	1824376	1408482	Python	Kodle	
5	22.76	1566335	2597090	Java	BeardedWhale	
5	22.69	1114834	3344061	C++	k4ng0u	
5	22.6	425462	1408549	Java	Azt-yur	
5	22.34	1273065	1408478	C++	TheRadical	
5	22.28	1426685	3759327	C++	glebc	
5	22.07	1616900	1408856	Python3	Spy7	
5	22.02	1057238	1701554	C++	Daenyas	
5	21.99	2436448	3982149	C++	FrancoisMeme	
5	21.78	2100538	1599241	C++	Fedia	
5	20.96	2477668	1921413	C#	Munakoiso	
5	20.7	1814258	1672359	C#	AtrA	
5	20.52	1384701	1427665	Ruby	lllukom	
5	19.97	1229845	1408559	Java	Jipe	
5	19.95	414278	1408547	Java	oobException	
5	19.8	1457162	1408543	C++	JFB	
5	19.76	2786666	2607886	C++	TetraktysPhi	
5	19.72	1064903	1408514	C++	Ghirtor	
5	19.69	1223140	1408574	Java	kgautron	
5	19.63	1676711	3921909	Scala	Eeeval	
5	19.6	1899222	1408526	Java	joPer	
5	19.53	155091	2802917	Java	smeagol	
5	19.52	1869024	2238004	Java	Xa2017	
5	19.51	1314796	1408575	C++	JBence	
5	19.47	2007852	1413268	Go	Zorg1	
5	19.44	1307473	2486784	C#	Evgenykz	
5	19.44	1788945	1408495	Python3	FabienDaniel	
5	19.43	1416725	1408577	C	BayashiPascal	
5	19.43	1644437	1408517	C++	SurfDog	
5	19.35	828239	1415301	C#	[SG]Bisou	
5	19.34	599629	1577199	C#	robwaw	
5	19.32	1727572	1819869	C#	Literman	
5	19.32	1335230	1497025	Java	jft63	
5	19.26	2093395	1758850	C#	VadimKuznetsov	
5	19.21	2906497	2146408	C++	daaskare	
5	19.18	2908526	3039189	C++	Pankin	
5	19.14	1796070	2632903	Java	MinorScale	
5	19.12	1109979	3864885	C++	Gloopy	
5	19.12	1629402	1646413	C#	asvyazin	
5	19.12	1944142	2603568	C++	yakalir	
5	19.11	1774677	1408536	C++	foufou120	
5	19.02	3167968	2338893	C#	Master_Zain	
5	19	1779483	1411791	C#	h.otto	
5	19	381613	2191378	C++	Hadou_	
5	18.97	3657937	3751441	Python3	elderlybeginner	
5	18.95	1831684	1871670	Java	dbf	
5	18.91	1556613	1421536	C++	Malpha	
5	18.89	552776	2047111	C#	player_one	
5	18.88	802171	1409526	PHP	Merome	
5	18.83	1201796	1729166	C#	P.Greze	
5	18.77	2378983	3164289	C++	jonip	
5	18.64	1616071	1408533	Java	Cyberpunk	
5	18.6	2006324	2078324	C#	Djangonaut	
5	18.59	2505809	1728706	C#	Ratcreve	
5	18.57	2073179	1419090	C#	Biwere	
5	18.56	1637253	1865942	Python	Klonky	
5	18.47	754792	2079625	C++	Ramdeath	
5	18.47	3973359	3518640	Javascript	KAbel	
5	18.44	1294909	1408567	Java	Priscus	
5	18.44	2066751	1842659	C#	AndresPerez	
5	18.4	648751	1408540	Haskell	dabino	
5	18.34	1734105	1513700	Python3	Bibou	
5	18.31	154906	2069724	Haskell	JBM	
5	18.28	1865475	1416537	C++	Tichy	
5	18.26	2473739	1761094	C#	ashibaev	
5	18.2	1629241	1408534	Java	DeVan	
5	18.04	463873	1408511	C++	tanakat01	
5	17.97	224325	1408522	C++	TidyMaze	
5	17.88	912633	1408509	C#	Poviliukas	
5	17.8	2923506	2150974	C++	darkhorse64	
5	17.75	1352413	1479512	Java	Bikibi	
5	17.71	1033258	1408491	Java	tbarthel	
5	17.69	1528274	1408969	Ruby	BlanCap	
5	17.65	2473622	1729242	C#	godjan	
5	17.64	1070566	1408750	C#	Kodnot	
5	17.63	1714338	1571187	C#	cobase2010	
5	17.59	4334077	3754375	Javascript	Paul_Demanze	
5	17.55	1630013	1409527	Java	omarsahl	
5	17.52	1140677	1408487	C++	Crog	
5	17.45	1756952	1411683	C++	Petras	
5	17.3	820000	1408757	C++	ValGrowth	
5	17.22	1114698	3164215	C++	xiaohouzi	
5	17.17	2002555	1408542	Python3	MAXN	
5	17.15	862919	2839346	C++	Astrobytes	
5	17.11	3839774	3494922	Rust	gurvan_lullien	
5	17.02	1712706	1408546	C	O.M.	
5	16.98	1855741	1417312	Java	MrKIP	
5	16.9	2762653	2266391	Javascript	RAAAT	
5	16.76	834202	1408515	C#	Racso	
5	16.71	527749	1417021	Go	Pds	
5	16.61	1889170	1409291	C++	mvujas	
5	16.51	1854731	1408512	C#	Solringen	
5	16.4	1073247	3851196	C++	_NikJ	
5	16.38	3533314	3962839	C#	skotz	
5	16.33	2515515	3088719	Javascript	Bobliu	
5	16.33	1988531	1408761	Ruby	MarcL	
5	16.25	1965790	1514763	C++	Fablu	
5	16.02	1657255	2135668	Python3	Hack-inator	
5	15.87	1958192	1412840	Java	bosure	
5	15.82	1853956	1574846	PHP	yoannk	
5	15.74	512097	1409879	Haskell	Stilgart	
5	15.73	2099249	1451753	Javascript	RayChen	
5	15.72	1455753	1408580	Go	Lysk	
5	15.7	1876212	1615143	C++	PFischbeck	
5	15.68	1728217	1459665	C#	_spoon_	
5	15.66	2242201	2435644	C++	Maryan	
5	15.52	1485015	1409653	C++	Murky	
5	15.49	1664044	1607735	Javascript	BUG	
5	15.38	1481384	1408759	Java	Ethaniael	
5	15.36	1931039	1637492	Pascal	MooMooN	
5	15.36	931195	1573944	Java	PRA	
5	15.3	1407621	1408753	C++	Taohbi	
5	15.26	1167615	1427666	C#	TylerDurden	
5	15.26	1853578	1408857	C#	Code.ama	
5	15.12	925695	2120567	OCaml	Boulet	
5	15.09	2288263	3089761	Rust	dbdr	
5	15.06	1987751	1408573	C++	ruu	
5	15.06	1643849	1408762	C	anton_sh	
5	15.05	1343111	1573943	Javascript	Thal	
5	14.99	1306541	1462491	C++	Steuh	
5	14.87	1013785	1408508	Go	Benz	
5	14.82	1480384	1408855	C++	RockyMullet	
5	14.79	844380	1408751	C#	NDrew	
5	14.72	1075260	1410212	Java	metwesse	
5	14.71	2463909	1770836	Java	ckobayashi	
5	14.67	2290633	2320272	Python3	field3	
5	14.63	2473730	1929503	C#	peng	
5	14.52	1706883	1409654	C#	CommanderCero	
5	14.52	1600779	1475144	C#	AustinSpafford	
5	14.49	1524771	1414488	Java	Pyroxn	
5	14.46	953094	2322606	Python3	Witman	
5	14.45	1001096	1408560	C#	MyIIone	
5	14.43	1333869	1408970	Python3	kiwijam	
5	14.42	893027	1410322	Python	R.Janvier	
5	14.4	1238934	1557246	C++	accorp	
5	14.39	1733593	2657802	Scala	Wei-1	
5	14.37	942208	1410998	Rust	Dex08	
5	14.37	1722484	1410326	Python3	Kazatchok	
5	14.36	2005105	1424205	PHP	Fred51	
5	14.32	311035	3530068	Python3	leojean890	
5	14.32	2450542	3118986	C++	MindController	
5	14.31	256955	1409652	C++	cup_of_tea	
5	14.27	1193679	1409878	Python3	Icebox	
5	14.27	1879802	1651906	Java	John86	
5	14.26	1477622	1632094	C#	zrdon	
5	14.2	1631057	1409560	Python3	Pask	
5	14.18	1304841	1941699	Java	NitMpez	
5	14.17	1327028	1409881	C++	FredericBautista	
5	14.17	198916	1414604	Java	WhatTrickeryIsThis	
5	14.16	1418821	1451401	C++	input.txt	
5	14.13	1054304	2992880	C#	Pelu	
5	14.12	1803811	1573412	C	TabascoEye	
5	14.12	1171469	1964579	Java	Reblochon	
5	14.06	240454	1411794	C#	Mikkanu	
5	14.01	1050490	1850519	C++	Snark_Chaser	
5	14.01	1698172	1409650	Ruby	glop	
5	14.01	1661333	1689920	C++	linjoehan	
5	13.97	1818356	1412539	C#	cgourdon	
5	13.95	1491995	1409613	C#	Tyir	
5	13.88	976712	1415419	C++	Ridakz	
5	13.86	3305510	3111252	PHP	TBali	
