League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=18,time=2020-12-20 00:30:10
3	29.29	2924895	3071317	C	trictrac	
3	23.44	2290633	3070810	Python3	field3	
3	22.78	2288263	3070985	Rust	dbdr	
3	18.5	2043908	3150428	Java	AntiSquid	
3	16.94	1443538	3157935	Java	Gevater_Tod4711	
2	17.69	3599907	3340152	Python3	aski	
1	21.66	311035	3071897	Python3	leojean890	
1	20.83	3721214	3073528	C++	jrke	
0	11.57	3127864	3147102	C++	TeamT	
0	10.92	3691491	3219039	Javascript	icecream17	
0	8.43	1412263	3133630	PHP	PatrickMcGinnisII	
0	8.22	155774	3082680	PHP	dwarfie	
0	7.92	3774500	3073862	Javascript	zakariamouhid	
0	5.98	3922731	3357192	Dart	Dartisan	
0	0.51	2069141	3170731	C#	tomeko	
0	-4.25	1713174	3083524	Python3	BigUP	
0	-5.09	2325449	3314563	Perl	otpv	
0	-11.19	1609946	3145573	Python3	ESILV-Marc	
