League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=11,time=2020-07-31 00:30:02
3	29.49	2290633	3047802	Python3	field3	
3	22.2	1443538	3046575	Java	Gevater_Tod4711	
3	17.55	2924895	3047795	C	trictrac	
1	26.08	862919	3047818	C++	Astrobytes	
1	22.43	2288263	3047445	Rust	dbdr	
0	25.03	3721214	3047335	C++	jrke	
0	22.28	1512611	3046695	Python3	Essigautomat	
0	15.23	3136787	3047654	Python3	jacek	
0	12.39	3274956	3047207	C++	LeProfesseur	
0	6.3	2069141	3047271	C#	tomeko	
0	5.92	2043908	3047256	D	AntiSquid	
