League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=270,time=2021-12-12 00:38:01
0	39.62	2522090	3342784	C++	MSmits	
0	38.99	2311105	3929739	C++	kovi	
0	38.92	154984	3926561	C++	_Royale	
0	38.86	1607522	3402743	C++	RoboStac	
0	38.28	186179	2455798	C++	Nagrarok	
0	38.1	3193653	3003001	C++	karliso	
0	37.15	3136787	3775413	C++	jacek	
0	36.79	2924895	3897404	C	trictrac	
0	36.73	524638	2577827	C++	miklla	
0	36.45	2923506	3480564	C++	darkhorse64	
0	35.78	2288263	2359830	Rust	dbdr	
0	35.06	3046779	2729566	C++	Kathrin	
0	35	3457031	3851741	C++	YurkovAS	
0	33.37	893541	3843360	Java	wala	
0	33.11	2968035	3535058	C++	DomiKo	
0	32.77	1436776	3664374	C++	BrainSolver	
0	32.71	1566335	2633654	Java	BeardedWhale	
0	32.59	1500515	3789187	C++	eulerscheZahl	
0	32.56	1489865	2591765	C++	EricSMSO	
0	32.48	155774	3789758	C++	dwarfie	
0	32.47	1673335	2847448	C++	LoGos	
0	32.17	4039884	3366576	C++	mzbear	
0	31.81	1314316	3518658	C++	jolindien	
0	31.68	1109979	3864882	C++	Gloopy	
0	31.51	1673512	3053968	C++	Ryoken	
0	31.11	3165536	2846833	C++	barbora	
0	31.05	1944142	3426835	C++	yakalir	
0	31.01	811622	2844478	C++	Scarfield	
0	30.96	2115491	3173004	Go	Haashi	
0	30.8	3918583	3930174	Rust	mikmak	
0	30.43	1307473	3009474	C++	Evgenykz	
0	30.1	2007852	3157547	Go	Zorg1	
0	29.35	1661333	2358657	C++	linjoehan	
0	29.01	839879	3041047	C#	Washier	
0	27.27	2480113	3892451	C++	d_OwO_b	
0	27.16	1455753	3785471	C++	Lysk	
0	27.12	2590149	2473803	C++	GoofyGas	
0	27.03	3569066	3928413	C++	derjack	
0	26.7	1389861	3004188	C++	Evgenykz3	
0	26.47	1341520	3415268	Java	egaetan	
0	26.3	1140677	3830773	C++	Crog	
0	26.07	3235897	3834928	Java	Zylo	
0	25.92	889789	3391194	C	Alain-Delpuch	
0	25.73	4072094	3862495	C++	howard0027	
0	25.21	331880	3861379	Kotlin	Monstruo	
0	25.14	311035	3930240	Python3	leojean890	
0	25.13	3640270	2656638	Python3	s34vv1nd	
0	24.99	953094	2359648	Python3	Witman	
0	24.58	1740037	2690231	Scala	ereiam	
0	24.5	2786666	2495805	C++	TetraktysPhi	
0	23.97	1169499	2355418	C++	naab	
0	23.58	3721214	3791417	C++	jrke	
0	23.48	153965	2411877	Python3	Keelhaul	
0	23.45	154388	2603675	Rust	PonyPonyCodeCode	
0	23.45	1288527	3014297	C++	Snef	
0	23.42	338469	2426186	Rust	__mcts__	
0	23.42	3792309	3473700	C++	schachmatt	
0	23.41	1802967	3357421	Python3	Meruem	
0	23.37	1771970	2436189	Python3	Entei	
0	23.31	3903473	3170990	Python3	Konstant	
0	23.26	224325	2418160	C++	TidyMaze	
0	23.19	2290633	2350182	Python3	field3	
0	23.06	3774500	3817368	Javascript	zakariamouhid	
0	23.01	1314796	3160608	C#	JBence	
0	23	3534354	2649691	Java	Rog1	
0	22.98	631323	2483994	Python3	herve056	
0	22.94	792813	3163632	Python3	VilBoub	
0	22.93	1412263	3329255	PHP	PatrickMcGinnisII	
0	22.44	3334658	3524383	Java	Aquaphobe	
0	22.44	3354337	3090889	C++	Westicles	
0	21.92	2202771	3921887	Java	Kaplone	
0	21.59	4571846	3871768	C++	ck_platypus_2	
0	21.38	1833849	2416950	C++	Akromha	
0	21.28	1953786	3337188	Python3	ludowsky	
0	21	1834129	3749046	Javascript	oPOCCOMAXAo	
0	21	3534217	3057752	Python3	lampshades	
0	20.98	4628107	3918511	C++	balibump	
0	20.96	3935226	3871709	C++	platypus_No1	
0	20.6	1378958	2602200	C#	Illedan	
0	20.44	4271132	3714744	Python3	PetitsPoisCarottes	
0	20.36	4618370	3927210	C++	sebsca	
0	20.31	2516972	2347123	Python3	Lyxx	
0	20.26	4427323	3756363	Java	DrSzuriad	
0	20.2	1838289	2375123	C++	Dagal	
0	20.05	1635357	3005512	Python3	GiB	
0	19.99	973040	2836629	C	papyjo	
0	19.98	1484839	3324985	Go	sparky	
0	19.95	1537951	2837251	Java	Nerchio	
0	19.89	425462	2629079	Python3	Azt-yur	
0	19.85	1713931	2655413	C	j3r3m	
0	19.82	2572485	2427707	Ruby	DGynn	
0	19.72	4571840	3871743	C++	DanDanWik	
0	19.72	2043908	2828252	C++	AntiSquid	
0	19.7	157377	2354473	Python3	McKelian	
0	19.63	734401	2359653	C++	b0n5a1	
0	19.6	4134943	3502239	Python3	vinc-r	
0	19.59	4571791	3871729	C++	FelixGo	
0	19.45	825049	2687879	Java	Scheronimus	
0	19.45	3563934	3825726	C#	ChuckTheNinja	
0	19.34	3396528	2460346	C++	surffer3d	
0	19.25	3285580	2409695	Python3	mr.x	
0	19.25	3770501	3082111	C++	luke-guyton	
0	19.2	1525392	2448654	Haskell	migorec	
0	19.15	1065845	2347407	Ruby	Oli8	
0	19.11	2006225	2583601	Python3	AggaR	
0	19.05	3647844	3912639	Python3	rc95401	
0	19.04	4571769	3871716	C++	alphabe	
0	19.02	4605393	3897452	C#	Emanuele.Fasano	
0	19	1453140	3825583	VB.NET	believerboy	
0	18.8	3055468	2437679	Java	binx33	
0	18.75	3250221	2350937	Javascript	reimu	
0	18.74	4571812	3871751	C++	Nickname0.0	
0	18.73	1418821	2416887	C++	input.txt	
0	18.71	1464932	2444174	Java	Tiramon	
0	18.7	371603	2348649	Ruby	martin	
0	18.69	2353046	3425176	C++	335221	
0	18.68	4198028	3698132	Python3	ElSombristo	
0	18.64	1029602	2634974	C	Potemkine	
0	18.64	2696431	3853937	Python3	NB-Bratva-224	
0	18.62	1854246	2407725	C++	Counterbalance	
0	18.62	3670631	3528271	Rust	merlleu	
0	18.53	1227148	2452341	Java	Schneewittchen	
0	18.5	3651809	2678205	Javascript	NicknameRequired	
0	18.47	3922731	3626441	Dart	Dartisan	
