League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=97,time=2022-06-18 00:30:05
1	29.76	4057477	3804114	Java	Polilla	
1	27.52	2924895	3393644	C	trictrac	
1	27.37	3864752	3745681	Rust	MuddySneakers	
1	26.16	1489865	3165541	C++	EricSMSO	
1	25.56	1378958	3748168	C#	Illedan	
1	25.4	3647844	4027101	C++	rc95401	
1	24.67	1309948	4009151	C++	Runner87	
1	24.52	3443015	3356529	C++	Wozniak	
1	24.48	4039884	3353877	C++	mzbear	
1	24.2	4083537	4024162	Python3	DavidAvsajanishvili	
0	25.92	2290633	3347999	Python3	field3	
0	24.9	4206982	3451399	Ruby	slempel	
0	23.62	2709791	3345578	Python3	YOMar	
0	23.33	4027292	3351536	C#	rmait	
0	23.09	1479930	3153666	C++	LeRenard	
0	23.07	1675034	3344274	Javascript	francois	
0	22.68	973040	3353607	F#	papyjo	
0	21.97	4080898	3354961	C#	twhite	
0	21.89	4061750	3350023	Kotlin	dStulle	
0	21.88	961929	3353084	Python3	Marcaunon	
0	21.7	4098679	3346976	C++	diegdm	
0	21.69	4149818	3972819	Python3	ET_BB-8	
0	21.46	273876	3351205	C#	JeremyLefevre	
0	21.28	4099191	3365350	Python3	kazzou	
0	21.26	792813	3159900	Python3	VilBoub	
0	21.21	1178401	3348730	Python3	mizzHuarta	
0	21.17	3792309	3404906	Python3	schachmatt	
0	21.16	2045078	3352986	C#	Sharaks	
0	21.06	4072744	3345896	Python3	ArthurElevate	
0	20.98	4053693	3347014	Kotlin	KS2003	
0	20.84	1412263	3157881	PHP	PatrickMcGinnisII	
0	20.79	2012662	3345155	Python3	Natalka1122	
0	20.7	3410894	3350581	Javascript	kuhnchris	
0	20.57	4022724	3356463	Javascript	RChopi	
0	20.4	894599	4305609	Java	DidierC	
0	20.37	2923506	3353667	C++	darkhorse64	
0	20.31	1550625	3345201	Python3	tomtomtom	
0	20.15	2119304	3344748	C++	Aname	
0	20.14	4104999	3352621	Python3	plelez	
0	20.1	4058636	3349170	C	HDev_BG	
0	19.9	2592027	3344628	C#	ParticleBeam	
0	19.66	1393802	3358477	Python3	amzh	
0	19.47	4078395	3347406	Python3	KevinDaniel-S	
0	19.03	1179950	3507197	Python3	Patorikkuyatta	
0	18.97	2762191	3351831	Python3	darkpuce	
0	18.95	3525167	3158342	Python3	fgsdt	
0	18.87	862919	3153806	C++	Astrobytes	
0	18.21	3773795	3352212	Python3	AbundantPuddle	
0	17.87	1712393	3352786	C++	JackJohnson	
0	17.52	574371	3345017	Javascript	Dillysfriend	
0	16.74	311035	3488727	Python3	leojean890	
0	16.52	3046608	3368556	C#	BotWerx	
0	16.35	839675	3352000	Javascript	barinali	
0	16.16	250352	3346253	Javascript	Dorkside	
0	16.04	3820035	3358038	Javascript	CaliforniaQT	
0	14.41	1848459	3347626	Kotlin	Velcoro	
0	14.02	4056266	3352830	C++	Gibalczo	
0	13.97	1056059	3346728	Python3	Soulveils	
0	13.53	884874	3985504	D	Zauberer	
0	13.49	1853219	4014700	Python3	hhabib	
0	13.15	3721214	3419057	C++	jrke	
0	13.15	3803201	3344671	Java	FDA44	
0	13.06	2785892	3373156	Python3	levbor	
0	13.04	4090664	3354060	Kotlin	sikr_	
0	13.04	811622	3153669	C++	Scarfield	
0	13.03	4420742	4013086	Python3	Mortis_666	
0	12.98	2069141	3350971	C#	tomeko	
0	12.95	1186292	3346067	Python3	GLE	
0	12.9	1066745	3351673	Java	DepartmentOfRedundancy	
0	12.78	1981732	3353191	F#	MJS	
0	12.62	3904616	3351900	Python3	Sergmaster00	
0	12.54	3136787	3153706	Python3	jacek	
0	12.25	1427078	3350984	C++	ToshiTuringMachine	
0	8.24	2544989	3348543	Rust	lulugo19	
0	5.72	3668382	3344955	Go	vchapman	
0	4.16	4094036	3345451	Javascript	xbigdickjamesx	
0	4.14	3171296	3347699	Python3	clem35fav	
0	4.14	4058746	3353746	Java	zekabyle	
0	4.14	2325449	3314561	Perl	otpv	
0	4.14	1483648	3344957	Java	DhakalKumar	
0	4.14	3738782	3344940	C#	Inaniwa	
0	4.11	2355263	3345484	Python3	Cthal	
0	4.1	4088325	3344965	Python3	Amitabh2	
0	4.08	4036060	3705147	C++	King_Coda	
0	4.06	4093941	3347420	C++	Cr0XiS	
0	4.03	4092261	3347083	Python3	CrazyCoder12	
0	4.03	2746799	3345021	Clojure	eal	
0	3.96	1713174	3153877	Python3	BigUP	
0	3.94	3989870	3353097	Javascript	angelo95ac32	
0	3.94	3190059	3346663	C	BastienLavillat	
0	3.89	4085004	3348192	C++	d0mpsey	
0	3.89	4183089	3985020	Python3	PringleOrange	
0	3.85	3233463	3346018	Python3	NicolasProu	
0	3.83	4626700	3955805	PHP	JohnyDarecek	
0	3.8	3354337	3450265	C++	Westicles	
0	3.78	3960001	3349682	C	Fidel035	
0	3.78	3882002	3348025	C++	irmuun	
