League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=232,time=2022-01-23 00:56:15
0	48.85	1400179	3688315	C++	reCurse	
0	48.25	1607522	3853769	C++	RoboStac	
0	44.05	3136787	3933074	C++	jacek	
0	42.72	154984	3926512	C++	_Royale	
0	38.03	1314316	3830297	C#	jolindien	
0	36.2	1480501	3864507	C++	DaFish	
0	35.15	2288263	2610869	Rust	dbdr	
0	34.94	4065227	3954846	C++	Pamplemus	
0	34.82	2924895	3866282	C	trictrac	
0	34.63	1479930	2697047	C++	LeRenard	
0	34.61	2290633	2601013	Python3	field3	
0	34.61	1540478	3768290	C++	struct	
0	34.6	3625469	3501121	VB.NET	Crimson_King	
0	34.59	2522090	3060876	C++	MSmits	
0	34.59	3457031	3163475	C++	YurkovAS	
0	34.57	1673512	3111906	C++	Ryoken	
0	34.57	2311105	3933634	C++	kovi	
0	34.4	2290599	2731877	Rust	captaink	
0	34.39	3727174	2745475	C++	Crazy_Remi	
0	34.33	1838549	3691067	Rust	orangesnowfox	
0	34.1	2923506	3765469	C++	darkhorse64	
0	34.09	1344487	3489147	C++	UnnamedCodinGamer	
0	33.44	712143	2771848	C++	phamnuwen	
0	32.82	1500515	2596903	C#	eulerscheZahl	
0	32.58	3235897	3980780	Java	Zylo	
0	32.57	1205098	2680548	F#	AlMag	
0	32.33	1489865	2698184	C++	EricSMSO	
0	32.09	1629259	2595631	C++	Marchete	
0	31.68	829018	2687514	C++	alchemsti	
0	31.49	839879	3050156	C#	Washier	
0	30.6	2786666	3485811	C++	TetraktysPhi	
0	30.32	2416641	3755843	C	Zenoscave	
0	30.13	3382273	2672308	Python3	hasleron	
0	30.03	973040	3863378	F#	papyjo	
0	30.01	862919	3866506	C++	Astrobytes	
0	29.85	1802967	3353135	Python3	Meruem	
0	29.62	2860923	2691021	C++	Hidden50	
0	29.39	1436776	3664347	C++	BrainSolver	
0	29.29	1029602	2591637	C	Potemkine	
0	29.07	1140677	3830735	C++	Crog	
0	28.79	893541	3980719	Java	wala	
0	28.72	4334237	3938756	Javascript	BJD	
0	28.6	811622	2623352	C++	Scarfield	
0	28.35	2194865	2674619	Ruby	paranoidduck	
0	28.19	2906497	2587892	C++	daaskare	
0	27.5	1105817	2676757	Python3	MaximeF	
0	27.45	1740037	2588520	Scala	ereiam	
0	26.94	3574688	3793450	Rust	RaulButuc	
0	26.73	2081550	3018040	Java	muy31	
0	26.4	876885	3720035	Python3	Bebware	
0	26.31	918352	2692245	C++	CoYoTe99	
0	26.15	3447313	2676101	C++	SPatrik	
0	26.13	3983017	3329492	Python3	TLbuis	
0	26.08	3534217	2671839	Python3	lampshades	
0	25.89	4120837	3404234	C++	philipplenk	
0	25.85	1378958	3484537	C#	Illedan	
0	25.65	1244685	2635201	Javascript	dorion	
0	25.45	2448295	2674279	C#	DM84	
0	25.15	664112	3791065	Rust	AllYourTrees	
0	24.58	3578097	3789521	Rust	wreng	
0	24.55	3564009	2608605	Lua	Waffle3z	
0	24.43	3545956	3022756	Javascript	uvBoss	
0	24.08	2023313	3836775	Javascript	Polon	
0	24.06	1481544	2614608	C++	ZarthaxX	
0	24.02	3441967	3339515	Java	KenOh	
0	24.01	4334942	3712565	C++	pszemsza	
