League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2932,time=2022-01-22 00:45:46
5	37.89	1400179	3084895	C++	reCurse	
5	36.04	832306	1764125	C++	pb4	
5	33.59	1378958	3952320	C#	Illedan	
5	29.79	1712648	1595607	Java	luckyy	
5	29.29	1629259	2238208	C++	Marchete	
5	27.82	805067	911010	C++	Magus	
5	27.43	1618260	916267	C++	MarkTellez	
5	27.25	1399852	3941302	C++	Thaell	
5	25.29	2288263	2496147	Rust	dbdr	
5	25.08	1034635	3781233	C++	SlyB	
5	24.85	2998967	3741678	Java	Gilde	
5	24.84	351062	1503425	C++	Neumann	
5	24.82	1335230	3373514	C++	jft63	
5	24.65	1449264	910982	C++	Gadzy.fr	
5	24.63	1073247	1015882	C++	_NikJ	
5	24.63	1526464	2184848	C++	MehmetTheConqueror	
5	24.62	1624809	1218459	C#	DrFekalus	
5	24.61	2923506	3818104	C++	darkhorse64	
5	24.48	1566335	2576652	Java	BeardedWhale	
5	24.46	1407621	910984	C++	Taohbi	
5	24.44	1341520	2980590	C	egaetan	
5	24.4	502798	1513972	C#	thunder	
5	24.38	1818159	1458008	C++	JRFerguson	
5	24.37	1687064	1322480	C++	JBoulic	
5	24.32	3768400	2829806	C++	kenxdrgn	
5	24.27	1489865	1851656	C++	EricSMSO	
5	24.25	1457162	2076603	C++	JFB	
5	23.96	392581	1816990	Java	goq	
5	23.96	2762653	2314904	C++	RAAAT	
5	23.8	826372	1573535	Java	skyyker	
5	23.77	3918583	3737045	Rust	mikmak	
5	23.65	1607522	3779981	Go	RoboStac	
5	23.64	1064903	1573861	C++	Ghirtor	
5	23.61	154984	914749	C++	_Royale	
5	23.52	966447	2056960	C++	Gagat	
5	23.52	1343111	1578715	Javascript	Thal	
5	23.48	1480501	1843682	C++	DaFish	
5	23.34	1720532	911031	C++	Hato	
5	23.31	2416641	2674090	C++	Zenoscave	
5	23.28	1595984	1454937	C++	arcuire	
5	23.24	198916	2058283	Java	WhatTrickeryIsThis	
5	23.05	1314316	3767989	C++	jolindien	
5	22.93	2386035	2090383	C++	Samsonov	
5	22.8	1438020	3377581	C++	InsomniaRide	
5	22.78	3763299	2818206	C++	fratajcz	
5	22.76	1300254	911007	C++	Escdemon	
5	22.71	2651240	2054404	Java	[MPST]Donset	
5	22.64	1348523	910981	C++	Numb_	
5	22.45	1109979	3864888	C++	Gloopy	
5	22.43	1050159	1576892	C	speedloop	
5	22.4	1426548	996968	C++	MasterJos	
5	22.38	1944142	3424254	C++	yakalir	
5	21.91	735910	1522823	C++	Agade	
5	21.87	1178123	1384288	C++	Chabs	
5	21.84	1671658	1563066	C++	Kirbiby	
5	21.84	770792	1604126	C++	T.H.	
5	21.7	828239	3781883	C#	[SG]Bisou	
