League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=41,time=2021-04-11 03:33:26
1	32.18	2924895	3399667	C	trictrac	
1	29.77	3136787	3463359	C++	jacek	
1	27.86	1479930	3421551	C++	LeRenard	
1	20.93	811622	3460863	C++	Scarfield	
1	20.08	2968035	3400423	C++	DomiKo	
1	17.73	2328161	3449457	Javascript	Joethebus	
1	17.27	3457031	3470299	C++	YurkovAS	
1	17.24	1752303	3487940	C++	murrayr	
1	15.11	3903473	3404462	Python3	Konstant	
1	12.88	4090213	3405310	Java	andrecab	
1	11.97	311035	3493953	Python3	leojean890	
1	11.27	2311105	3466260	C++	kovi	
1	10.28	3533314	3402789	C#	skotz	
0	22.49	2290633	3401395	Python3	field3	
0	18.33	3657937	3399256	Python3	elderlybeginner	
0	18.14	3691491	3462795	Javascript	icecream17	
0	17.9	4156437	3440037	C++	komiamiko	
0	17.45	3274956	3408059	C#	LeProfesseur	
0	16.56	3846244	3426610	Python3	JLukeSkywalker	
0	16.21	2043908	3449975	D	AntiSquid	
0	15.81	4064173	3429399	C#	Alurian	
0	15.6	1861852	3441566	Javascript	Cramer	
0	15.54	1971865	3459467	Python3	Nanosplitter	
0	15.53	1412263	3405274	PHP	PatrickMcGinnisII	
0	15.38	4248615	3475383	C	Gbrouwer	
0	15.37	2069141	3447990	C#	tomeko	
0	15.36	4158566	3403123	Python3	intt	
0	15.36	3569066	3457935	D	derjack	
0	15.33	1288527	3427566	C++	Snef	
0	15.3	3984673	3397237	Python3	Rodrigo_the_coder	
0	15.28	2902168	3413842	Python3	Fabricej	
0	15.25	1830993	3451139	C#	jpcheck	
0	15.21	1336464	3445756	C++	magaiti	
0	15.19	4251195	3484071	Java	Smelty	
0	15.11	3354337	3395508	C++	Westicles	
0	15.11	3721214	3395359	C++	jrke	
0	14.99	1713174	3406262	Python3	BigUP	
0	14.97	3737269	3395428	Python3	htprogras	
0	14.9	2334524	3486891	Lua	djsapsan	
0	14.27	385699	3437438	Go	Nikai	
0	14.12	4105514	3405727	Python3	FeiChong	
