League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=23,time=2021-03-12 00:30:04
1	30.97	2923506	3458611	C++	darkhorse64	
1	30.95	2522090	3454012	C++	MSmits	
1	30.91	3457031	3457605	C++	YurkovAS	
1	30.13	1344487	3458106	C++	UnnamedCodinGamer	
1	25.7	2924895	3458856	C	trictrac	
1	24.53	1479930	3458912	C++	LeRenard	
1	24.3	3136787	3457450	C++	jacek	
1	22.08	862919	3458905	C++	Astrobytes	
0	17.99	311035	3456376	Python3	leojean890	
0	17.41	2906497	3455051	C++	daaskare	
0	15.72	1569420	3454954	Python3	Tuo	
0	14.24	2290633	3456701	Python3	field3	
0	13.45	4030968	3456913	Python3	MBucas	
0	11.2	4187844	3456118	PHP	g74o	
0	11.04	1336464	3456979	C++	magaiti	
0	10.47	3354337	3453839	C++	Westicles	
0	10.44	1412263	3458570	PHP	PatrickMcGinnisII	
0	10.34	3846244	3454612	Python3	JLukeSkywalker	
0	10.13	3569066	3457792	D	derjack	
0	9.95	2043908	3455023	D	AntiSquid	
0	9.72	973040	3458696	F#	papyjo	
0	9.21	3903473	3458776	Python3	Konstant	
0	9.03	3721214	3455417	C++	jrke	
