League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=593,time=2020-01-18 01:18:12
6	26.77	3243532	2334271	Python3	teccles	
6	26.71	880353	2334229	Python3	zasmu	
6	26.35	1629259	2340310	C++	Marchete	
6	25.82	2522090	2334243	C#	MSmits	
6	25.73	154312	2335860	C++	ThomasNicoullaud	
6	25.58	837350	2334264	Python3	BorisZ	
6	25.36	2288263	2612277	Rust	dbdr	
6	25.29	610934	2334268	C++	y_kawano	
6	24.51	1607522	2334238	Go	RoboStac	
6	24.49	820000	2580679	C++	ValGrowth	
6	24.39	1500515	2334235	C#	eulerscheZahl	
6	24.37	1436776	2603863	C++	BrainSolver	
6	24.19	3136376	2334970	Python3	O_A_K	
6	23.92	1845617	2334259	Kotlin	Shingyx	
6	23.87	2386035	2334245	Python3	Samsonov	
6	23.81	155881	2335052	PHP	Hevey	
6	23.8	568476	2334299	Java	Dje54	
6	23.65	2350846	2334249	C++	DrBloodmoney	
6	23.59	2906497	2334239	C++	daaskare	
6	23.23	1685694	2334267	C++	tashikani	
6	23.19	1489865	2334256	Python3	EricSMSO	
6	23.14	2510531	2334251	Python3	Jamproject	
6	23.11	1814485	2334265	C#	Fluttershy	
6	23.1	154984	2334262	C++	_Royale	
6	23.08	1734105	2334241	Python3	Bibou	
6	23.04	1314316	2334643	C++	jolindien	
6	22.82	2290633	2334272	Python3	field3	
6	22.76	1399382	2587941	C#	Regulus136	
6	22.75	3213465	2334244	Python	Gegene	
6	22.71	1921687	2348598	Python3	Black-Born	
6	22.71	1335230	2334294	Python3	jft63	
6	22.71	1479930	2357627	C++	LeRenard	
6	22.7	2600493	2343921	Java	SuperNit	
6	22.64	648751	2334653	Haskell	dabino	
6	22.61	2924895	2357943	C	trictrac	
6	22.56	1854246	2334253	C++	Counterbalance	
6	22.53	2373953	2647721	TypeScript	Dridriun	
6	22.47	1616900	2334250	Python3	Spy7	
6	22.42	1386456	2334230	C#	wvsever	
6	22.37	2416641	2367700	C#	Zenoscave	
6	22.34	3245819	2358902	C#	TomA	
6	22.33	1896065	2334657	C++	FeZar97	
6	22.32	1579627	2339842	C#	Bahrani	
6	22.26	1073240	2334228	C++	IvanSchro	
6	22.07	3226448	2437882	Python3	tobk	
6	22.03	841085	2334270	C#	Risen	
6	21.96	1953062	2334266	C++	YukiOda	
6	21.96	1499779	2356496	Java	NomadZ	
