League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=32,time=2022-01-07 00:30:05
0	32.39	2968035	3943882	C++	DomiKo	
0	29.4	3902927	3949443	Python3	Bulgot	
0	28.77	3816482	3943086	C++	marcee927	
0	28.12	1758330	3942070	C#	Kamirus	
0	28.1	1479930	3950636	C++	LeRenard	
0	27.33	2924895	3961302	C	trictrac	
0	27.19	3744758	3943055	C++	Mateuszrze	
0	26.88	3732452	3940971	C++	ItachiEU	
0	26.85	4571984	3951756	Python3	Golova1111	
0	26.17	4584723	3955398	C++	babaaurhum	
0	26.09	2969097	3943767	C++	kempusss	
0	24.62	4572223	3943231	C++	oskar1	
0	22.9	4560625	3939120	C++	voytekf	
0	22.87	2290633	3945838	Python3	field3	
0	22.72	2184856	3942742	C++	MichalOp	
0	22.54	2976356	3961356	C++	magmasa	
0	22	3741421	3943715	C++	WojtekP	
0	21.4	4555810	3942010	C++	JakubM30	
0	21.27	3903473	3939427	Python3	Konstant	
0	21.07	3745995	3941122	C++	MicGor	
0	20.72	4573226	3942676	Python3	anka_nose	
0	20.18	4560715	3942474	TypeScript	Altronin	
0	19.82	4326741	3938707	Python3	Ventus550	
0	19.25	4547463	3943048	Python3	nachokelkar	
0	18.67	1186250	3939847	Python3	Gabbek	
0	18.31	3741491	3939725	C++	inverb	
0	17.78	155774	3957164	C++	dwarfie	
0	17.35	1883670	3939001	TypeScript	radekmie	
0	13.77	4552619	3942915	C#	Inquis	
0	12.83	3983017	3940285	PHP	TLbuis	
0	11.48	3141948	3953165	Python3	philRG	
0	8.44	4626700	3955792	PHP	JohnyDarecek	
