League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=33,time=2020-09-29 04:30:50
3	35.36	2288263	2696881	Rust	dbdr	
3	34.75	1489865	2685684	C++	EricSMSO	
3	32.52	2924895	2691058	C	trictrac	
3	32.21	3784861	2989513	Go	thiebt	
3	31.85	1479930	2688155	C++	LeRenard	
3	31.22	1854246	2679930	C++	Counterbalance	
3	31.09	1186250	3112901	Python3	Gabbek	
3	31.03	973040	2692380	C	papyjo	
3	30.89	788361	2680761	C++	Bob	
3	29.9	792813	2993653	Python3	VilBoub	
3	29.39	828239	2841831	C#	[SG]Bisou	
3	26.69	385696	2845561	Kotlin	aldrinm	
3	25.93	311035	2845863	Python3	leojean890	
3	24.64	2290633	2683554	Python3	field3	
3	21.53	1464932	3066958	Java	Tiramon	
3	19.15	2976964	2680562	Python3	BenjaminUrquhart	
3	19.13	3622757	3001572	Java	anid	
3	18.35	1068877	2994143	C#	[CPC]Tamno	
3	15.41	371603	2836240	C++	martin	
3	9.64	314562	2696301	Python3	Mechar	
2	20.39	1740037	2685098	Scala	ereiam	
2	9.87	2069141	2682183	C#	tomeko	
2	8.35	2923506	2679400	C++	darkhorse64	
2	7.98	862919	2706584	C++	Astrobytes	
2	1.94	1029602	2694410	C	Potemkine	
0	4.24	2043908	2679555	D	AntiSquid	
0	3.99	3464590	3012274	C	abbecool	
0	3.9	1713174	2686968	Python3	BigUP	
0	3.9	1412263	3073123	PHP	PatrickMcGinnisII	
0	3.9	1830993	2681031	C#	jpcheck	
0	3.9	1854639	2995973	C#	iDxMeG	
0	3.89	3854872	3068098	Javascript	TheGenius	
0	3.68	523846	2828221	C#	Palmipedus	
