League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=42,time=2020-12-25 00:30:09
3	29.99	2288263	2696905	Rust	dbdr	
3	29.47	1186250	3363554	C#	Gabbek	
3	28.31	2924895	2694647	C	trictrac	
3	28.14	1479930	2680171	C++	LeRenard	
3	27.8	788361	2680753	C++	Bob	
3	26.84	1489865	2686934	C++	EricSMSO	
3	24.35	828239	2841875	C#	[SG]Bisou	
3	24.1	3784861	2990226	Go	thiebt	
3	23.26	2290633	2682978	Python3	field3	
3	22.89	973040	2692360	C	papyjo	
3	22.68	311035	2844879	Python3	leojean890	
3	22.25	2763458	3029381	Python3	Lokoslav	
3	21.82	3573721	3056129	Javascript	Kheops	
3	21.07	1854246	2685170	C++	Counterbalance	
3	20.47	792813	2988737	Python3	VilBoub	
3	18.76	2976964	2680551	Python3	BenjaminUrquhart	
3	18.14	512097	3342796	Haskell	Stilgart	
3	17.24	1464932	3067229	Java	Tiramon	
3	16.32	2043908	3324375	Java	AntiSquid	
3	16.07	1068877	3055738	C#	[CPC]Tamno	
3	16.06	3622757	3001577	Java	anid	
3	12.73	231975	3083051	C#	Remoh69	
3	10.89	371603	2836244	C++	martin	
3	10.1	314562	2695993	Python3	Mechar	
3	9.41	1436776	3342635	C++	BrainSolver	
3	4.2	1635357	2830906	Python3	GiB	
2	20.48	1740037	2684934	Scala	ereiam	
2	17.46	2069141	3324336	C#	tomeko	
2	14.48	2416641	2680109	Python3	Zenoscave	
2	13.79	862919	2706537	C++	Astrobytes	
2	10.67	2923506	2682340	C++	darkhorse64	
2	5.93	1029602	2695889	C	Potemkine	
2	4.9	4029033	3150357	TypeScript	3DPerson	
1	9.51	1412263	3073118	PHP	PatrickMcGinnisII	
0	7.81	3464590	3012280	C	abbecool	
0	7.53	1341520	3002283	Java	egaetan	
0	7.46	1854639	2995988	C#	iDxMeG	
0	7.36	3808031	3116670	Ruby	_proton	
0	7.32	3386139	3027710	Python3	MaliciouslyCrypticUsername	
0	7.32	2325449	2985364	Perl	otpv	
0	7.32	523846	2828228	C#	Palmipedus	
0	7.32	1713174	2683174	Python3	BigUP	
