League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=106377,time=2020-09-24 01:44:12
6	60.13	1400179	2843387	Python3	reCurse	
6	60.08	832306	2251077	C++	pb4	
6	59.95	735910	2355456	C++	Agade	
6	54.91	1415495	2255817	C	fenrir	
6	52.2	3457031	3105965	C++	YurkovAS	
6	51.94	2522090	2338306	C++	MSmits	
6	51.75	351062	3002946	C++	Neumann	
6	50.78	2710668	2651466	C++	IGGY	
6	48.75	1607522	2358031	C++	RoboStac	
6	45.78	1169499	2267000	C++	naab	
6	45.02	735487	3106669	C++	amurushkin	
6	44.61	1206537	3079256	C++	MadKnight	
6	43.56	2718975	3089592	C	mykeich	
6	43.44	1336464	3107273	C++	magaiti	
6	42.36	736075	1845526	C++	Xyze	
6	42.09	1712648	2036811	C++	luckyy	
6	40.35	2725066	2438973	C#	Cize	
6	39.02	1606588	2148302	C++	inoryy	
6	38.85	1687636	1777945	C++	GinkgoB	
6	38.71	1106450	1489738	C++	RiSuS	
6	38.45	1629259	2238586	C++	Marchete	
6	37.75	2299716	1605959	C++	striker_-	
6	37.73	1100752	1440668	C++	ValNykol	
6	36.88	2972662	2246374	C++	Hoyer	
6	36.72	2396169	2059601	C++	Emaginidoc	
6	36.71	3503806	2691240	C++	Zolcsika	
6	36.71	1203167	2140550	C++	r3versi	
6	36.71	1512667	2586713	C++	DrevanTonder	
6	36.7	588426	1883284	C++	Jeff06	
6	36.7	1404934	2647410	C++	tarriel	
6	36.7	1438020	2211732	C++	InsomniaRide	
6	36.7	820000	1935773	C++	ValGrowth	
6	36.7	2328161	1649204	C++	Joethebus	
6	36.69	2906497	2245453	C++	daaskare	
6	36.69	2950035	3101640	C++	drunkennoone	
6	36.69	826372	1776383	Java	skyyker	
6	36.69	1756952	1940940	C++	Petras	
6	36.69	1114834	2433361	C++	k4ng0u	
6	36.69	3217628	2353008	C++		
6	36.69	2474201	1837459	C#	melanholy	
6	36.69	2167128	1454119	C++	ironyy	
6	36.68	1479930	2428751	C++	LeRenard	
6	36.68	1288527	2054946	C++	Snef	
6	36.68	1833348	3062986	C#	Jonathan.R	
6	36.68	2868729	2095031	C++	Snefff	
6	36.68	3165536	2323602	C#	barbora	
6	36.68	3362851	2483723	C++	DarcSinus	
6	36.68	381914	2596249	C++	MaWasHiii	
6	36.67	371603	1775718	C++	martin	
6	36.67	1480501	2358293	C++	DaFish	
6	36.67	2007262	2328439	C++	Larnth	
6	36.66	972894	1775903	C++	resty-daze	
6	36.66	1489865	1775221	C++	EricSMSO	
6	36.66	1549145	2054165	C++	Mealc	
6	36.66	3076371	2582858	C++	Eucerin	
6	36.66	1347650	2042708	C++	T-Dup	
6	36.66	1584802	2134232	C++	emh	
6	36.65	2243900	2572812	C++	chapeau	
6	36.65	155091	2706875	Java	smeagol	
6	36.65	1889170	1392239	C++	mvujas	
6	36.64	2320186	1779207	C++	aPoStAl	
6	36.64	805067	1775170	C++	Magus	
6	36.64	1607791	1470664	C++	ildar_1988	
6	36.63	3278216	2430736	C++	MagicMage	
6	36.63	1950105	2448341	C++	[.].-	
