League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=28,time=2021-03-10 00:33:09
1	39.82	2522090	3437289	C++	MSmits	
1	36.63	2924895	3451657	C	trictrac	
1	34.62	3136787	3439707	C++	jacek	
1	34.02	2923506	3437630	C++	darkhorse64	
1	30.79	1489865	3442537	C++	EricSMSO	
1	26.13	1469666	3451312	C++	alenic	
1	23.14	3721214	3447923	C++	jrke	
1	22.13	1425201	3450340	C#	JamesPun	
1	20.22	311035	3444722	Python3	leojean890	
1	18.6	385699	3452161	Go	Nikai	
1	18.47	3647844	3442420	C++	rc95401	
1	17.92	1029602	3449803	C	Potemkine	
1	17.29	155774	3456266	C++	dwarfie	
1	17.02	1412263	3439924	PHP	PatrickMcGinnisII	
1	16.73	1256312	3445661	C#	Djoums	
1	16.05	3845610	3438477	Python3	pardouin	
1	15.29	2290633	3439722	Python3	field3	
1	13.58	3792309	3440901	C++	fpringle	
1	11.43	973040	3442200	F#	papyjo	
1	10.1	1861258	3454325	Rust	Nazdhun	
0	17.02	3846244	3454796	Python3	JLukeSkywalker	
0	13.6	3737269	3441391	Python3	htprogras	
0	12	1436776	3455062	C++	BrainSolver	
0	12	3787419	3437946	C++	Thyl	
0	9.06	1526107	3441714	C#	MD5_DAN	
0	7.55	3354337	3450292	C++	Westicles	
0	4.52	2043908	3455030	Python3	AntiSquid	
0	3.69	1713174	3452241	Python3	BigUP	
