League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=23,time=2021-10-13 00:30:05
2	38.77	2924895	3856161	C	trictrac	
2	35.83	2350415	3858727	C++	Vintarel	
2	31.91	3136787	3854579	C++	jacek	
2	26.79	1489865	3857825	C++	EricSMSO	
2	26.36	3844625	3857192	C++	olaf_surgut	
2	24.17	4083405	3857037	C++	jzen	
2	21.54	4081634	3855836	C++	Wontonimo	
2	20.35	2923506	3854179	C++	darkhorse64	
2	18.22	2290633	3859817	Python3	field3	
2	12.24	311035	3858218	Python3	leojean890	
2	9.4	3647844	3860227	Python3	rc95401	
2	8.35	1378958	3854642	C#	Illedan	
2	3.45	836264	3857234	C++	RezaSi	
1	18.79	155774	3856593	PHP	dwarfie	
1	18.42	3457031	3856840	C++	YurkovAS	
1	15.71	1479930	3854402	C++	LeRenard	
1	14.8	3721214	3854400	Python3	jrke	
1	-1.6	862919	3857298	C++	Astrobytes	
0	9.22	4329085	3857293	Python3	Siyanew	
0	6.85	1713174	3855629	Python3	BigUP	
0	6.84	3569066	3854576	Python3	derjack	
0	3.87	4177562	3855770	Javascript	JHowell	
0	-7.94	1412263	3859785	PHP	PatrickMcGinnisII	
