League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=141,time=2022-08-28 00:30:17
1	35.35	2924895	4434366	C	trictrac	
1	34.85	4584723	4433984	C++	babaaurhum	
1	33.86	1186250	3726823	C#	Gabbek	
1	33.34	3235897	4434402	Java	Zylo	
1	33.29	1537951	3727680	C#	Nerchio	
1	32.88	837436	2482861	C++	aropan	
1	32.1	3136787	4434376	C++	jacek	
1	31.48	1314316	3492915	C++	jolindien	
1	31.38	525275	2591344	TypeScript	pierallard	
1	31.25	2114947	2338793	Java	Nixerrr	
1	30.98	3657937	4433920	Python3	elderlybeginner	
1	30.79	2786666	4434193	C++	TetraktysPhi	
1	30.76	1001096	2435659	C#	MyIIone	
1	30.01	4031451	4434415	Java	pbou	
1	28.71	1480384	2409369	C++	RockyMullet	
1	28.14	1500515	2705630	C#	eulerscheZahl	
1	27.97	3141948	3473217	Python3	philRG	
1	27.69	3544276	2596627	Python3	nidup	
1	27.68	2222526	3492769	C#	Crsdr	
1	27.17	2290633	3530125	Python3	field3	
1	26.76	1378958	2583810	C#	Illedan	
1	26.43	2923506	2503337	C++	darkhorse64	
1	26.24	1464932	2341606	C#	Tiramon	
1	25.83	2572485	2437047	Ruby	DGynn	
1	24.82	1049935	2612494	C++	Azkellas	
1	24.72	2288263	2342189	Rust	dbdr	
1	24.3	2416641	2470164	Python3	Zenoscave	
1	23.77	973040	2352488	C	papyjo	
1	22.42	2662675	2334933	Python3	redline	
1	19.7	2497890	2334827	C#	BlackBird	
1	17.17	1740037	2334315	Scala	ereiam	
1	15.86	1753077	2334319	C++	codingWhale	
1	15.28	886483	4433823	C	R4N4R4M4	
0	27.36	3435179	4427834	Python3	Valphyr	
0	27.32	862919	2705968	C++	Astrobytes	
0	26.29	311035	3470427	Python3	leojean890	
0	26.29	3996809	4423522	Kotlin	VizGhar	
0	25.49	1932868	2480710	Python3	Tehelka	
0	25.29	335954	4434190	Java	nmahoude	
0	24.9	4189647	3432827	Python3	AvanCabinet	
0	24.88	4188595	3473125	Python3	NariDia	
0	24.66	2134316	3473096	Python3	Robostomper	
0	23.98	3902927	4424350	Python3	Bulgot	
0	23.95	2785892	2447294	Python3	levbor	
0	23.87	2360927	3015237	Go	schuutj	
0	23.17	4103546	3810417	Javascript	nick3point5	
0	22.35	1029602	2366339	C	Potemkine	
0	22.33	3983017	3166285	Python3	TLbuis	
0	22.31	155929	4299856	Python3	[CG]jupoulton	
0	22.18	1588135	2479179	Swift	bjurner	
0	22.1	314562	2353640	Javascript	Mechar	
0	21.73	2018552	2436362	C++	gurualo	
0	21.33	3647844	3967952	Python3	rc95401	
0	20.98	1713174	2440531	Python3	BigUP	
0	20.8	4206982	3838069	Ruby	slempel	
0	20.46	3386699	2436121	C++	Shibuyap	
0	20.3	1412263	2434880	PHP	PatrickMcGinnisII	
0	20.27	3376722	4432948	Python3	oolivierr	
0	19.92	3051977	2358682	Python3	YongJing	
0	19.51	1815583	2443995	C++	HarderTilt	
0	19.4	4562863	3965031	Python3	Benoit-Simunsol	
0	19.33	2202771	4432117	Java	Kaplone	
0	19.23	3563934	4382957	C#	ChuckTheNinja	
0	19.04	792813	3966070	Python3	VilBoub	
0	18.28	1194069	2471159	Java	Redstrike	
0	17.79	1059355	2440381	C#	GrantWard	
0	17.5	3513265	3370188	C++	DaNinja	
0	17.34	1487168	2426843	Bash	FatIvan	
0	17	4865140	4425945	Go	demetedPufferfish	
0	16.98	4313500	3867767	C	HDainester	
0	16.78	682715	2440129	Python3	orkipastafari	
0	16.55	2714945	2493394	Javascript	JohnDoe101	
0	16.25	3657944	4432774	Javascript	xyz-1	
0	16.08	3321082	2437804	Java	4n4c0nd4	
0	15.49	4801044	4431120	C++	mannouao	
0	15.42	3305510	4421596	PHP	TBali	
0	15.33	1483365	3980768	Python3	risko	
0	15.11	3335921	2437469	Kotlin	vcoubray	
0	14.97	158495	2437376	Javascript	Cr3aHal0	
0	14.58	2069141	2335645	C#	tomeko	
0	14.22	2017805	3850625	Python3	Winter_not_comming	
0	14.07	1127579	3409423	C++	M3T4	
0	13.98	1272263	2440671	Python3	Caled	
0	13.73	1442750	2624716	Javascript	GwadaKing	
0	13.33	4651814	3941552	Java	Airmanon	
0	12.93	1418821	2416931	C++	input.txt	
0	12.15	723476	2609121	Python3	NeoPhnx	
0	11.69	952784	4056426	Java	[CG]Simon	
0	10.75	484004	4430511	C#	aCat	
0	10.54	3350083	2417802	Python3	Philgerb93	
0	10.08	1525816	2343140	Javascript	Flodnes	
0	9.61	1436776	2849846	C++	BrainSolver	
0	9.6	2921599	3026975	TypeScript	Rinoweb	
0	9.15	1939843	2338700	Python3	Aging_Nerd	
0	7.87	862498	3767461	C#	Graviton_Noir	
0	7.83	1800997	3760669	Python3	Nagato_Uzumaki	
0	7.8	1966319	2578273	Ruby	0x6E0FF	
0	7.77	999637	2392318	C	dinobogan	
0	7.7	4734742	3998343	Python3	TomRubicon	
0	7.7	1374052	2346114	Java	Pesegato	
0	7.56	3464590	3012292	C	abbecool	
0	7.56	2897325	2579599	Python3	CAEZAR	
0	7.54	523846	2828229	C#	Palmipedus	
0	7.53	1838289	2468136	C++	Dagal	
0	7.52	937221	2495936	Java	vrampal	
0	7.51	3207204	2333617	C	RomanceDawn	
0	7.51	1854639	2995976	C#	iDxMeG	
0	7.51	4310801	3529179	C#	Ebyn	
0	7.51	1077559	2601202	C++	PhOeNyX	
0	7.51	2713608	2464187	Ruby	LostSymphony	
0	7.5	4626700	3955779	PHP	JohnyDarecek	
0	7.49	2983004	2434477	Java	tazorax	
0	7.49	3040167	2434491	Python	kodejuice	
0	7.48	3274956	4421381	C++	LeProfesseur	
0	7.48	3721214	3159432	C++	jrke	
0	7.48	218189	2435742	C	[CG]Maxime	
0	7.48	2325449	3314557	Perl	otpv	
0	7.47	3354337	3450276	C++	Westicles	
0	7.46	3366500	2405135	Javascript	rodneyipui	
0	7.45	1830993	2475746	C#	jpcheck	
0	7.44	4183089	3985112	Python3	PringleOrange	
0	7.44	2241559	2345581	Python3	eskeln	
0	7.43	2100288	2477561	Python3	tsh	
0	7.41	890630	2457217	C#	Shurishe	
0	7.34	1760921	2401792	Go	[Leonardone]-[-_-]-[NEETSDKASU]	
0	7.34	2006830	2579496	Python3	Ironist	
0	7.32	1764427	2616249	C#	mastercode	
0	7.23	4277867	4403531	D	About	
0	7.2	3399559	2434562	C	amanjeet	
0	6.75	1454274	2434997	C#	NohjKram	
0	5.9	1081827	4018214	Python3	[CG]MathisHammel	
0	5.24	4763549	4402812	C++	BlaiseEbuth_	
0	-0.78	3640682	2674219	Go	qqSmile	
0	-6.48	3652824	3419237	Python3	KesharaRajasingam	
0	-6.73	3749666	2757308	C++	Gray104	
0	-7.88	4006334	3125160	C	ronney	
0	-8.23	2006348	3042613	Python3	Koji02	
0	-8.23	3395465	2435650	Java	Lorita26	
0	-8.27	3376093	2422968	Go	Gnossienne	
0	-8.53	3626405	2638409	C#	hmas	
0	-9.83	846129	2434823	C#	LA1	
