League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=5974,time=2022-08-06 00:30:19
6	33.83	1593992	3320649	Python3	nierin	
6	33.56	1629259	2983523	C++	Marchete	
6	33.23	735910	2620468	C++	Agade	
6	32.16	1675487	3031040	Python3	PED	
6	31.15	1818159	1212628	C#	JRFerguson	
6	28.55	1500515	1733194	C#	eulerscheZahl	
6	28.44	351062	1132675	Java	Neumann	
6	27.9	1344353	1114962	PHP	PommesMitMayo	
6	27.51	805067	3986775	C++	Magus	
6	27.39	507383	1114587	C#	Vadasz	
6	27	4334077	4035990	Python3	Paul_Demanze	
6	26.69	1082988	1114562	C	Saelyos	
6	26.52	1845617	3740764	Kotlin	Shingy	
6	26.4	1634195	1422102	Python3	k.ab	
6	26.27	154984	1665415	C++	_Royale	
6	26.25	2087648	1431707	C#	Nalf	
6	26.2	2077978	1407191	Python3	MichelLaviron	
6	26.02	1378958	1593798	C#	Illedan	
6	25.87	3725862	2816340	Javascript	Kklykov	
6	25.85	4294044	3766816	Python3	simsimlafamille	
6	25.79	2731276	2076969	C++	panda42	
6	25.78	1512032	1114595	C#	TrAnd	
6	25.68	1701043	1116998	C++	Qnu	
6	25.57	158495	4176512	Python3	Cr3aHal0	
6	25.51	820000	3488320	C++	ValGrowth	
6	25.23	371603	1114558	C++	martin	
6	25.23	1579978	1114584	C++	MrBrown77	
6	25.16	1583206	3802903	C++	simspok	
6	25	1794888	1427273	C#	lagotus	
6	24.83	1406638	1117342	Java	[CG]Thibaud	
6	24.75	2566623	3057885	PHP	VincentBab	
6	24.73	1430979	1114567	Java	Kera	
6	24.69	1167615	1114578	C#	TylerDurden	
6	24.66	833606	1114580	Python3	mattrero	
6	24.65	1540877	1114589	Python3	PrincessKokochin	
6	24.63	2906497	2467751	C++	daaskare	
6	24.61	1566335	1114590	Java	BeardedWhale	
6	24.6	1419749	1133172	Python3	myhz	
6	24.37	1201796	1115754	Python3	P.Greze	
6	24.33	1034635	1756985	C++	SlyB	
6	24.27	1733593	2657827	Scala	Wei-1	
6	24.2	1479930	1501507	C++	LeRenard	
6	24.18	939530	1115208	Java	Jahz	
6	24.12	4069531	3378516	Java	KaPen	
6	24.06	1673971	1114594	Python3	Lanken	
6	24.04	1824376	1114575	Python3	Kodle	
6	24.04	1857055	1116808	C++	Mittzir	
6	24.03	1708280	1122849	Python3	DidierFranck	
6	24.03	1172385	3818279	C#	LuckyMe	
6	24.02	806157	1123964	C++	Aveuh	
6	24	2288263	2066679	Java	dbdr	
6	23.99	2924895	2218008	Java	trictrac	
6	23.9	1931039	1400658	Pascal	MooMooN	
6	23.83	2376044	4073294	C++	NecroSchmurf_IV	
6	23.78	893541	2448527	Java	wala	
6	23.64	335954	1118150	Java	nmahoude	
6	23.58	3436443	2593888	Python3	Mazelcop	
6	23.54	1676711	4283297	Scala	Eeeval	
6	23.43	3300890	2448809	Java	Black_Mamba_75	
6	23.41	880353	1114592	Python3	zasmu	
6	23.39	3471804	4073106	Java	S.L	
6	23.31	3196495	3479652	C++	putibuzu	
6	23.18	2416641	3086520	C#	Zenoscave	
6	23.17	1404934	1114563	Python3	tarriel	
6	23.16	833077	1448043	Java	tsukammo	
6	23.06	2995346	2388770	C++	chiacone	
6	23.05	1341520	2657978	C	egaetan	
6	23.01	3564009	2757654	Lua	Waffle3z	
6	22.97	1854731	1597264	C#	Solringen	
6	22.92	1321710	1748629	Python3	Swagboy	
6	22.89	1655832	1114598	C++	chessmanxblast	
6	22.88	1864841	1114579	C#	Twobeeb	
6	22.8	4085679	3327395	Python3	TheImpostor	
6	22.74	2254195	1504636	Java	BrunoFelthes	
6	22.74	1607522	1308027	Go	RoboStac	
6	22.72	1301881	1297651	C#	MateoS	
6	22.71	527749	1496951	Go	Pds	
6	22.71	1106450	1648428	C++	RiSuS	
6	22.66	1627321	1503937	C++	Hibax	
6	22.66	1353669	1116849	Python3	XAnimaX	
6	22.64	1855668	1116974	Python3	No-Code-Team	
6	22.63	2088954	1430297	C#	Splinter-	
6	22.6	1071140	1935871	C#	BeberLeNewbie	
6	22.6	1757536	1114559	Python3	BlueGhost31	
6	22.59	1066745	2641214	Python3	DepartmentOfRedundancy	
6	22.59	1687754	1221915	Java	cg123	
6	22.59	1853956	1123992	PHP	yoannk	
6	22.57	1861852	1493999	Javascript	Cramer	
6	22.56	2077805	1599164	C++	bamilan	
6	22.55	1271096	1312094	C#	Trolg	
6	22.47	2077064	1393462	Java	GamingKing	
6	22.47	1518732	2305739	Java	Apfeloxid	
6	22.44	1664044	1599455	Java	BUG	
6	22.4	2066683	3696191	Python3	padobranac	
6	22.4	3368151	2448129	Java	MJ23	
6	22.32	1398702	1114597	Javascript	Hota	
6	22.31	1688372	1114577	C#	vs120	
6	22.18	3738076	2836693	Javascript	K.Shadow	
6	22.17	1087021	1127228	F#	Gluck	
6	22.15	1489865	1507751	Python	EricSMSO	
6	22.15	1186250	3965635	C#	Gabbek	
6	22.14	1671042	1225050	Java	hello_it	
6	22.07	1348523	1114635	Python3	Numb_	
6	22	1241062	1503169	Java	jbs	
6	21.87	2135671	1438557	Java	[IBP]_AH	
6	21.83	1717345	2206730	Scala	kotobotov	
6	21.68	1734105	2319734	C++	Bibou	
6	21.62	2006324	1998896	Python3	Djangonaut	
6	21.42	2115491	2573026	Javascript	Haashi	
6	21.38	1370861	1317987	C++	Omanidos	
6	21.35	754792	1851011	C++	Ramdeath	
6	21.3	1050159	1477667	C	speedloop	
6	21.29	2391701	2762842	Python3	Raptor0816	
6	21.27	3999695	3766817	Java	ShaxoLudo	
6	21.21	3300891	2449345	Java	fusrodah	
6	21.18	1712393	1329828	C++	JackJohnson	
6	21.17	1545859	1127733	Python	Kulu	
6	21.15	1443538	1249126	Java	Tux4711	
6	21.15	1666441	1116975	C++	ilostmypen	
6	21.14	1469535	1115435	C++	T1024	
6	21.1	1584802	2101719	C#	emh	
6	21.1	952150	1120844	C#	Wolfy	
6	21.1	1304841	1224092	Java	NitMpez	
6	21.09	1611045	1117240	Python3	vulca	
6	21.08	1758330	4005445	C#	Kamirus	
6	21.08	1438835	1224702	Python3	smohn	
6	21.07	1064903	1231567	C++	Ghirtor	
6	21.07	1333869	1329805	Python3	kiwijam	
6	21.07	2107217	2448591	Python3	Oh-Maley	
6	21.06	747081	1601776	Python3	shrum	
6	21.05	1407621	1223783	C++	Taohbi	
6	21.04	1306541	1601360	Python3	Steuh	
6	21.03	1347751	1311190	Java	FunFR	
6	20.99	1537951	2835832	Java	Nerchio	
6	20.95	198916	1115786	Java	WhatTrickeryIsThis	
6	20.95	886483	1132591	ObjectiveC	R4N4R4M4	
6	20.92	2046999	1440686	Java	Reportplz	
6	20.92	854952	1120263	Java	dolmen1234	
6	20.91	1799131	1121452	C#	LuminousJune	
6	20.91	1181465	1118096	C++	r57shell	
6	20.73	1759839	2596964	Python3	matleg	
6	20.72	1721506	2147654	Python3	jmutz	
6	20.71	2067432	1619847	PHP	erickael	
6	20.69	300142	1509469	C++	oyefremov	
6	20.64	648751	1329804	Haskell	dabino	
6	20.57	1727181	1343189	C++	Cate_Maomi	
6	20.54	837350	1314995	Ruby	BorisZ	
6	20.49	2578232	4073107	Java	Althias	
6	20.45	1856171	1120396	Python3	ThibaultJ	
6	20.44	2217652	2292959	Go	candid82	
6	20.43	1788820	1318056	Python3	Xavier_F.	
6	20.4	1314796	3079171	C#	JBence	
6	20.34	1114698	1584168	Python3	xiaohouzi	
6	20.33	1485989	1225051	Python3	ReActiveNZ	
6	20.3	844968	2442344	Python3	MoMaT	
6	20.29	207714	1119062	Scala	TrueLaurel	
6	20.27	1859179	2125231	Python3	btabram	
6	20.27	1453934	1231998	C++	Rety	
6	20.23	1191231	2416857	C++	enzorubino	
6	20.22	1347650	1225224	C#	T-Dup	
6	20.2	1077559	2438787	Java	PhOeNyX	
6	20.16	3902927	4034363	Python3	Bulgot	
6	20.16	3213465	2319733	C++	Gegene	
6	20.07	196606	1412965	Java	EasyCoder	
6	20.06	857521	1398383	C#	MrAnderson	
6	19.95	226528	1130314	Java	Manwe	
6	19.95	925695	2679640	OCaml	Boulet	
6	19.92	1232188	1308678	Python3	Sylven	
6	19.81	221911	3082120	Python	fafl	
6	19.73	545216	1688924	C++	Morikko	
6	19.67	1712706	1321243	C#	O.M.	
6	19.63	1522873	2466285	Python3	ZHUXiang	
6	19.62	2401888	2121133	Python3	RubberDuck	
6	19.48	1502908	1607989	Python3	selujum	
6	19.32	815488	1596740	Java	Seti	
6	19.31	1335230	2148294	C++	jft63	
6	19.3	1737246	4074328	Python3	Adam798	
6	19.09	512097	1317986	Haskell	Stilgart	
6	19.03	1416686	2319428	C#	Avatar256	
6	18.95	1481693	2980881	C#	aniski	
6	18.51	1206537	1502805	Ruby	MadKnight	
6	18.5	2647140	2319429	Ruby	nisizawa	
6	17.61	2124992	1483043	C#	NalfMaster	
6	14.57	1991383	1427481	C#	Arturas-K	
6	13.43	1784650	1384029	Python3	Lyana	
6	12.16	1317750	1297650	Scala	zizouvb	
6	12.14	1718945	1329807	Scala	ilovebugs	
6	8.39	1400179	1499933	C++	reCurse	
6	5.05	1812704	1114693	Java	Trancheuse	
6	4.36	1186363	1114569	C++	AlexanderGuk	
6	3.15	1606588	1221630	C++	inoryy	
5	23.27	1522923	1442900	Python3	Tear	
5	22.62	1017767	2981086	Go	Rag	
5	22.5	2613983	1865757	C#	Brett_S	
5	21.97	4343764	3682889	Python3	knknknkn	
5	21.86	154935	3021765	Scala	yamo	
5	21.54	959402	2664083	PHP	gmessier	
5	21.39	2055377	2101653	Python3	Covfefe	
5	21.31	3957887	3134080	Python3	BigMonkey	
5	21.26	1457162	1118022	C++	JFB	
5	21.22	511125	1104639	Python3	Arrekin	
5	21.22	4321142	3617354	C#	DedeWS	
5	21.17	4190375	3536367	C#	Pipindron	
5	21.14	3928554	3094587	Python3	ScorchingEagle	
5	21.08	1825335	2700236	Python3	TiNico	
5	21.07	802171	1104585	PHP	Merome	
5	20.97	826372	1104546	Java	skyyker	
5	20.97	1968462	2442982	Java	Proutouze	
5	20.95	2073791	1384328	Python3	Bobby4	
5	20.92	276480	1104550	Javascript	Karang	
5	20.86	4470306	3896675	C#	NONstope	
5	20.84	811004	1104656	C++	tarte7	
5	20.83	2242201	1993678	C++	Maryan	
5	20.77	1127783	2125307	Python3	zouzou	
5	20.72	4560625	4003160	C#	voytekf	
5	20.72	4870649	4219572	Python3	VictoriousTriceraton	
5	20.69	1905385	1116498	Javascript	mucer	
5	20.64	2927412	2106488	Javascript	Pukky	
5	20.63	2012769	1405878	Java	Lixwulf	
5	20.58	1781409	1114957	PHP	schubc	
5	20.43	3726978	3368514	C++	VirtualAtom	
5	20.42	4051415	3338968	Python3	Sebichou	
5	20.41	2216750	1601362	Python3	Violette	
5	20.39	1863085	1104610	Python3	Rednes	
5	20.38	1863990	1130702	Java	Hu[Yue]	
5	20.37	2207299	1582923	Python3	sjwilczyn	
5	20.36	156188	1953913	PHP	DorianWilde	
5	20.34	1480384	1756201	C++	RockyMullet	
5	20.33	2605855	3347963	C	logiqub	
5	20.24	2800214	3493282	C#	tashman01	
5	20.23	3918583	4407982	Rust	mikmak	
5	20.13	715319	1104648	C#	poksh	
5	20.1	1782492	1125561	C#	TubeDeCode	
5	19.97	1457223	3894804	C++	jleconte	
5	19.93	2967147	2126071	C++	VictorRuizHerrero	
5	19.9	1352030	1104647	Java	Viva	
5	19.9	4078988	3337818	TypeScript	MiKaOdO	
5	19.9	892056	2121190	Java	LaurentTrk	
5	19.87	1049935	2089594	C++	Azkellas	
5	19.84	736075	1840637	Python3	Xyze	
5	19.84	514460	1104642	C++	Harv	
5	19.81	1781608	3146662	C++	Medamine	
5	19.73	1464932	1393016	Java	Tiramon	
5	19.62	928567	2359600	C++	Konstanta	
5	19.53	1883153	1664283	C++	Zoidb3rg	
5	19.49	2113365	1415557	Java	Pascualino	
