League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=29,time=2021-09-15 00:30:04
1	40.99	2288263	3727514	Rust	dbdr	
1	34.03	2311105	3734523	C++	kovi	
1	32.07	2924895	3741368	C	trictrac	
1	29.19	4334077	3756563	C++	Paul_Demanze	
1	25.44	1500515	3673914	C#	eulerscheZahl	
1	24.87	2290633	3825135	Python3	field3	
1	21.1	1854246	3742969	C++	Counterbalance	
1	20.67	3141948	3692672	Python3	philRG	
1	17.3	888898	3699262	C++	helgui	
1	17	311035	3793238	Python3	leojean890	
1	16.34	3525167	3677146	Java	fgsdt	
1	11.53	792813	3791998	Python3	VilBoub	
1	8.69	973040	3815026	F#	papyjo	
0	24.35	1412263	3681711	PHP	PatrickMcGinnisII	
0	15.82	3136787	3685047	C++	jacek	
0	15.3	2194865	3679717	Ruby	paranoidduck	
0	9.59	3657937	3741563	Python3	elderlybeginner	
0	3.25	3569066	3677590	Bash	derjack	
0	3.14	3766345	3805291	C++	Rovi1	
0	3.03	354788	3677365	C++	Lexer31	
0	2.91	3800561	3755426	Python3	Aholief	
0	2.57	3354337	3674788	Javascript	Westicles	
0	2.25	2043908	3775829	VB.NET	AntiSquid	
0	2.2	4452094	3804910	Bash	masongtxr	
0	2.19	1713174	3687793	Python3	BigUP	
0	1.2	1575526	3785790	Python3	10Casac	
0	0.29	3501234	3823514	C	david1100	
0	-0.6	2325449	3675049	Perl	otpv	
0	-1.59	4251195	3680680	Java	Smelty	
