League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=472,time=2022-08-05 00:30:04
1	47.99	2522090	3777054	C++	MSmits	
1	46.18	524638	3433428	C++	miklla	
1	44.79	2295548	3758100	Rust	banban	
1	42.45	3727174	3121047	C++	Crazy_Remi	
1	41.47	1629259	3790539	C++	Marchete	
1	40.06	3971358	3808026	C++	OldJohn	
1	38.95	2067176	4305869	Javascript	0bug	
1	37.26	154984	3434884	C++	_Royale	
1	37.13	2786666	3431606	C++	TetraktysPhi	
1	34.37	3918583	4275466	Rust	mikmak	
1	33.41	3721214	4304640	C++	jrke	
1	32.73	1114834	3427136	C++	k4ng0u	
1	32.68	1593992	3323340	Python3	nierin	
1	32.58	2924895	3085350	C	trictrac	
1	32.57	866947	4277201	C++	N0H08	
1	32.57	2311105	3749623	C++	kovi	
1	32.56	1500515	3782140	C#	eulerscheZahl	
1	32.56	554140	3471660	TypeScript	mel-mouk	
1	32.55	1378958	3077475	C#	Illedan	
1	32.54	311035	4272902	Python3	leojean890	
1	32.54	1314316	3497016	C++	jolindien	
1	32.53	893541	3432837	Java	wala	
1	32.3	778742	3128758	C#	Xodem	
1	31.93	331880	3931980	Kotlin	Monstruo	
1	31.91	3457031	3467917	C++	YurkovAS	
1	31.87	1802967	4290094	Python3	Meruem	
1	31.68	2138984	3170135	Python3	jobegood	
1	31.66	3997627	3136169	C#	DrJorgen	
1	31.63	4438822	4271805	Python3	ludodul	
1	31.57	416762	3132745	TypeScript	Khao	
1	31.51	4147861	3879644	TypeScript	FelixRichter2000	
1	31.37	4168360	3475077	Java	Robertson	
1	31.3	4178870	3499727	Go	hanabi1224	
1	31.2	2290633	3873409	Python3	field3	
1	30.99	632056	3130651	Python3	fearz	
1	30.94	3235897	3339189	Java	Zylo	
1	30.87	3136787	3440785	C++	jacek	
1	30.57	860404	4296522	C++	Vitruvius	
1	30.5	3654207	3908463	Python3	coatl	
1	30.5	3512206	3140371	Java	LFR	
1	30.43	2724981	3133579	C#	Majeck	
1	30.08	3982472	3139154	Java	Cousnouf	
1	29.84	4120837	3394306	C++	philipplenk	
1	29.83	3525167	3141341	Python3	fgsdt	
1	29.74	3361908	4304483	Python3	Fafanellu	
1	28.84	4277867	3584782	C++	About	
1	28.54	3896939	3136664	Python3	MrChocSalmon	
1	28.42	1480501	3871164	C++	DaFish	
1	28.33	335954	4014103	Java	nmahoude	
1	28.32	1306813	3832294	C++	sprkrd	
1	28.28	1179950	4267998	Go	Patorikkuyatta	
1	28.23	3633183	3331203	Java	Andryastor	
1	28.09	2254195	3325884	Java	BrunoFelthes	
1	27.87	4482269	3835241	C#	Deietenous	
1	27.8	2546042	3142638	Rust	Badewanne3	
1	27.72	3913241	3792667	Python3	KevinLi-py	
1	27.67	2139722	4297477	C++	AHD267	
1	27.51	224325	3136215	Go	[BZH]TidyMaze	
1	27.5	3956109	3145366	Python3	saquintes	
1	27.44	4026256	3353414	Scala	devsagul	
1	27.42	2708267	3137317	Javascript	XyoloJR	
1	27.27	2202771	3911896	Java	Kaplone	
1	27.16	3583775	3126030	Java	Lethic	
1	27.07	4014906	3136286	TypeScript	srib	
1	26.95	153941	3142078	Javascript	webNeat	
1	26.92	1489865	3094062	C++	EricSMSO	
1	26.89	1854246	3073423	C++	Counterbalance	
1	26.87	3123327	3940676	Javascript	Cordy	
1	26.77	4591407	3893412	TypeScript	phillyv	
1	26.63	4129774	3384692	Python3	ErrorRazor	
1	26.56	962455	3143607	Java	Rhine	
1	26.53	1029602	3126867	C	Potemkine	
1	26.46	4091565	4294452	Python3	GwinGD	
1	26.41	3465661	3086338	Javascript	Thiesjoo	
1	26.38	745612	3141273	C#	bloublou	
1	26.29	4397451	4283224	Java	VCO-NSide	
1	26.28	4039884	3363829	C++	mzbear	
1	26.01	3737797	3134751	Javascript	lbadet	
1	25.49	1224533	3131945	C++	AlexKus	
1	25.44	1310206	3132083	C	bdudek	
1	25.4	1630890	4315841	Java	Wld	
1	25.33	4093451	3362478	C++	jbyepez	
1	25.33	3073020	3133126	Java	_francois_	
1	25.28	2288263	3153493	Rust	dbdr	
1	25.05	668954	3174195	C++	Fluxor	
1	24.9	4000809	3135633	Kotlin	rst10h	
1	24.77	1550625	3133341	Python3	tomtomtom	
1	24.73	1140677	4021294	C++	Crog	
1	24.69	3998772	3343884	TypeScript	zefogm	
1	24.67	3942955	3081601	Swift	dudio_nl	
1	24.61	4662068	4055584	Python3	Amine_BR	
1	24.57	3496381	3129605	Java	skrutt	
1	24.51	4139444	3394019	Python3	MikkelAa	
1	24.48	3647844	3851958	Python3	rc95401	
1	24.42	523185	3074830	Python3	Hjax	
1	24.38	2231695	3172754	Python3	Conrad_	
1	24.22	2172874	3145481	C++	Med1ane	
1	24.21	3774010	3134184	Python3	Presac	
1	24.19	1848459	3134745	Kotlin	Velcoro	
1	24.13	2000079	3137355	Java	mrSaydron	
1	24.08	4008420	3133330	Python3	Nailec	
1	24.08	2544989	3138045	Javascript	lulugo19	
1	24.06	3956735	3121135	Python3	rmaia	
1	24.04	4011849	3136880	PHP	m-bel	
1	24.03	3095968	3151822	Python3	KBenya	
1	24.01	1445969	3172513	Python3	JoPich	
1	23.99	1449433	3141511	C++	Rolf	
1	23.75	4018528	3138596	Javascript	toony	
1	23.64	4098770	3517254	C#	LP19	
1	23.62	4647579	3929223	C++	E.D.I.T.H.	
1	23.6	1898068	3133297	Python3	Abik	
1	23.56	2286642	3137695	C#	Kebal	
1	23.55	4017565	3138424	C#	lnovelli91	
1	23.54	1077559	3355243	Java	PhOeNyX	
1	23.52	3996809	3130756	Kotlin	VizGhar	
1	23.48	4017386	3138471	PHP	Fua	
1	23.48	2416641	3069782	Python3	Zenoscave	
1	23.46	3563934	3131586	C#	ChuckTheNinja	
1	23.46	2614513	3136724	Javascript	ArnaudQu	
1	23.42	1418821	3441180	C++	input.txt	
1	23.31	3726308	3154564	Python3	Klapoutz	
1	23.31	1616900	3131561	Python3	Spy7	
1	23.27	4007758	3691274	Python3	Horuki	
1	23.18	4726948	4059407	Python3	Mince	
1	23.17	3582182	3894078	Python3	BJTrumpet	
1	23.08	1336464	3481122	C++	magaiti	
1	23.07	2968035	3086174	C++	DomiKo	
1	23.04	3614232	3135671	Java	quevorqq	
1	23.04	3780709	3154214	C++	aihay	
1	23.03	3496138	3072539	Python3	HayTheFirst	
1	23.03	1414752	3138508	Java	ezch	
1	23	2719604	3813536	Python3	vpoulailleau	
1	22.98	1131235	3132013	Javascript	Rafdune	
1	22.94	3983017	3139847	Python3	TLbuis	
1	22.73	2230547	3134121	Java	SirPouillasse	
1	22.71	4003255	3123825	Python3	Javtor	
1	22.69	3569066	3441220	C++	derjack	
1	22.67	1029663	3138624	C	Skreamly	
1	22.66	2090434	3140726	Java	natrian	
1	22.65	2833886	3133873	Python3	KnutWart	
1	22.6	1341046	3994386	TypeScript	jhiben	
1	22.59	1479930	3068142	C++	LeRenard	
1	22.58	3446921	3332777	Python3	TheOtherAKS	
1	22.51	1477287	3166806	Javascript	im-eliminator	
1	22.49	3511427	3136965	Python3	dan323	
1	22.48	792813	3131808	Python3	VilBoub	
1	22.45	3957591	3140501	Python3	nachomacho	
1	22.44	1713227	3133628	Python3	d.s.e	
1	22.43	4334077	3643871	C++	Paul_Demanze	
1	22.38	4261121	3968718	Python3	Louwi	
1	22.37	1360516	4268446	C	chym	
1	22.37	837350	3528699	Python3	BorisZ	
1	22.37	1488093	3143861	Javascript	VicPopescu	
1	22.35	1838289	3087099	C++	Dagal	
1	22.35	420043	3132806	Javascript	maxim_mazurok	
1	22.32	4476229	3802827	C#	Nekonocha	
1	22.31	4383676	4076642	Java	BucketOfNubbins	
1	22.26	1233279	3130305	Javascript	BoonyB	
1	22.22	3924803	3138586	Python3	bap2	
1	22.2	4453756	4042614	C#	anvogelo	
1	22.17	4965716	4375891	Python3	sqrtNOT	
1	22.16	4218659	3454585	Python3	nonknight	
1	22.14	1335230	3775450	C++	jft63	
1	22.11	4224270	3758165	Python3	chloe1	
1	22.1	4451368	4264932	Python3	Tsukabishi	
1	22.1	690509	3318046	Python3	iberniker	
1	22.09	3851872	3130500	Python3	MartinKlosterPoulsen	
1	22.04	3565416	3435252	Python3	Action_Dan	
1	22.02	4400294	3748305	Python3	Tennisplatzis	
1	21.97	2944386	3131553	Java	Gandalfg	
1	21.94	4010603	3135634	Javascript	LittleTea	
1	21.93	2337337	3138395	Python3	airam	
1	21.86	973040	3364505	F#	papyjo	
1	21.79	3967890	3130392	C#	ApoDes	
