League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=7132,time=2020-12-12 01:40:15
5	29.96	832306	3312396	C++	pb4	
5	29.52	668954	3339073	C++	Fluxor	
5	29.01	735910	3324423	C++	Agade	
5	29.01	154984	3332311	C++	_Royale	
5	28.16	893541	3331265	Java	wala	
5	27.98	3348388	3345105	C++	bowwowforeach	
5	27.65	1400179	3314230	C++	reCurse	
5	27.65	2184856	3317609	C++	MichalOp	
5	27.63	837436	3313810	C++	aropan	
5	27.49	4062038	3327415	C++	delineate	
5	27.4	826372	3320596	Java	skyyker	
5	27.25	3193653	3338370	C++	karliso	
5	27.09	3380418	3336541	C++	Von-Karma	
5	26.98	1671658	3321578	C++	Kirbiby	
5	26.92	820000	3346871	C++	ValGrowth	
5	26.81	2288263	3338636	Rust	dbdr	
5	26.71	1335230	3341976	C++	jft63	
5	26.65	3436443	3315032	C++	Mazelcop	
5	26.05	154312	3320011	C++	ThomasNicoullaud	
5	26.02	1034635	3328731	C++	SlyB	
5	25.96	880353	3314168	C++	zasmu	
5	25.75	2907009	3350871	C#	Arnaud.Net	
5	25.71	1378958	3321850	C#	Illedan	
5	25.43	805067	3313800	C++	Magus	
5	25.41	1314316	3313788	C++	jolindien	
5	25.29	3457031	3320735	C++	YurkovAS	
5	25.16	1853999	3312842	C++	Rounddice	
5	25.12	2041048	3319492	C++	Marrggta	
5	25.05	460044	3319706	Rust	tanzaku	
5	25.02	2968035	3317616	C++	DomiKo	
5	24.97	3315995	3312597	Python3	Gonny	
5	24.95	507383	3334884	C++	Vadasz	
5	24.83	2311105	3321542	C++	kovi	
5	24.8	1500515	3317704	C++	eulerscheZahl	
5	24.75	1419961	3331943	Rust	ichyo	
5	24.62	1732414	3308061	C++	ClosetAI	
5	24.38	841085	3319841	C#	Risen	
5	24.14	1818159	3324603	C++	JRFerguson	
5	23.95	2254195	3319723	Java	BrunoFelthes	
5	23.87	1489865	3338837	C++	EricSMSO	
5	23.83	3503664	3345863	Python3	egos	
5	23.81	1944726	3312980	C++	bourgeof	
5	23.73	403748	3319793	C#	[CG]SaiksyApo	
5	23.68	351062	3307873	C++	Neumann	
5	23.63	1114834	3325370	C++	k4ng0u	
5	23.42	154388	3320097	Rust	PonyPonyCodeCode	
5	23.41	2007852	3312723	Go	Zorg1	
5	22.99	2970414	3321839	Python3	Fangel	
5	22.59	1607034	3324777	Rust	tomatoes	
5	22.58	3154027	3317655	C++	Jirotech	
