League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2107,time=2020-02-05 00:30:18
5	41.2	832306	1764125	C++	pb4	
5	40.21	1400179	1499905	C++	reCurse	
5	35.97	1629259	2238208	C++	Marchete	
5	34.74	805067	911010	C++	Magus	
5	34.13	1712648	1595607	Java	luckyy	
5	31.89	1073247	1015882	C++	DJ_NikJ	
5	31.85	351062	1503425	C++	Neumann	
5	31.83	1399852	910988	C++	Thaell	
5	31.78	2288263	2496147	Rust	dbdr	
5	31.68	1618260	916267	C++	MarkTellez	
5	31.67	1624809	1218459	C#	DrFekalus	
5	30.32	966447	2056960	C++	Gagat	
5	29.47	1407621	910984	C++	Taohbi	
5	29.26	1457162	2076603	C++	JFB	
5	29.16	1526464	2184848	C++	MehmetTheConqueror	
5	28.88	1579978	910983	C++	MrBrown77	
5	28.81	1489865	1851656	C++	EricSMSO	
5	28.65	1687064	1322480	C++	JBoulic	
5	28.57	1449264	910982	C++	Gadzy.fr	
5	28.53	1566335	2576652	Java	BeardedWhale	
5	28.52	1818159	1458008	C++	JRFerguson	
5	28.47	1480501	1843682	C++	DaFish	
5	28.4	1438020	2211343	C++	InsomniaRide	
5	28.32	826372	1573535	Java	skyyker	
5	28.32	2386035	2090383	C++	Samsonov	
5	28.29	198916	2058283	Java	WhatTrickeryIsThis	
5	27.9	392581	1816990	Java	goq	
5	27.71	154984	914749	C++	_Royale	
5	27.41	1343111	1578715	Javascript	Thal	
5	27.19	502798	1513972	C#	thunder	
5	27.05	1064903	1573861	C++	Ghirtor	
5	26.85	2762653	2314904	C++	RAAAT	
5	26.58	2923506	2641407	C++	darkhorse64	
5	26.57	1426548	996968	C++	MasterJos	
5	26.51	1300254	911007	C++	Escdemon	
5	26.27	1109979	2667596	C++	Gloopy	
5	25.94	1944142	2608574	C++	yakalir	
5	25.43	976712	1387845	C++	Ridakz	
5	25.14	1720532	911031	C++	Hato	
5	24.96	1595984	1454937	C++	arcuire	
5	24.32	2651240	2054404	Java	[MPST]Donset	
5	23.73	1348523	910981	C++	Numb_	
5	23.47	1245647	917343	C++	[CPC]Herbert	
5	23.41	588426	911005	C++	Jeff06	
5	23.41	1607522	2132667	Go	RoboStac	
5	23.25	1418986	910997	C++	SubtleBattle	
5	23.2	1050159	1576892	C	speedloop	
5	23.19	1479930	1851412	C++	LeRenard	
5	22.96	1178123	1384288	C++	Chabs	
5	22.85	193315	951266	C#	hau	
5	22.44	735910	1522823	C++	Agade	
5	22.36	1671658	1563066	C++	Kirbiby	
5	22.17	1408214	910985	VB.NET	tushkan4o	
5	22.05	1341520	911644	C	egaetan	
5	22.02	1944726	2583841	C++	bourgeof	
5	21.4	1314316	1529520	C++	jolindien	
5	21.16	1077559	2458537	Java	PhOeNyX	
5	21.15	2924895	2342909	C	trictrac	
5	21.14	770792	1604126	C++	T.H.	
5	20.97	1427078	911622	Java	ToshiTuringMachine	
5	20.97	1419744	1211907	C++	esziger	
5	20.77	939530	1327208	Java	Jahz	
5	20.71	1583095	910978	C#	Instafluff	
5	20.6	1225196	934451	Python	Pepetroo	
5	20.53	1722318	1579507	C++	TimCode	
5	19.89	1616071	925044	Java	Cyberpunk	
5	19.71	1201796	1736516	C++	P.Greze	
5	19.67	1500515	2055427	C#	eulerscheZahl	
5	19.65	1061242	911024	C++	Csipcsirip	
5	19.56	1106450	911018	C++	RiSuS	
5	19.55	1342745	2660283	C++	Catiminie	
5	19.47	1097889	1912604	C++	H7	
5	19.35	1327415	910986	C#	TarasPetruk	
5	19.34	226528	911023	Java	Manwe	
5	19.17	1606588	942026	C++	inoryy	
5	19.17	507383	911001	C#	Vadasz	
5	19.13	886483	925546	C	R4N4R4M4	
5	19.05	2043908	2570843	C++	AntiSquid	
5	19.02	1788945	2308367	Python3	FabienDaniel	
5	18.84	1473017	911026	Python3	justhalf	
5	18.79	197601	2197093	Python3	LetMeUseYourKeyboard	
5	18.71	828239	2212618	C#	[SG]Bisou	
5	18.69	1636117	1490476	C#	CheessieStew	
5	18.69	1734105	1627514	C++	Bibou	
5	18.66	1181768	983860	Java	dio_O	
5	18.6	2729630	2313703	C++	Halphas	
5	18.51	1786654	2482547	C++	Masclins	
5	18.1	1657056	2496899	C++	AOPEN	
5	18.08	2006324	1732793	Java	SihardeOussama	
5	17.97	638784	911033	C++	Yqnn	
5	17.94	1549145	1214162	C++	Mealc	
5	17.93	1608197	910991	Perl	Luun	
5	17.88	1193679	911015	Python3	Icebox	
5	17.87	1714338	1565556	C++	cobase2010	
5	17.82	1722484	951065	Python3	Kazatchok	
5	17.79	2818736	2057270	Java	smurfWTIT	
5	17.76	3492819	2496722	C++	AYAN1	
5	17.73	1194057	2669203	C++	Altivar	
5	17.69	1227762	911013	C#	rFlo	
5	17.68	1644100	911032	C++	arcSRL	
5	17.68	1772240	957059	C++	Wazabis	
5	17.67	2329747	2410808	C#	FrenchKiss	
5	17.61	2484011	1676746	Python3	withnorush	
5	17.61	1480640	983346	C#	snodes	
5	17.52	2479151	1671279	C++	SomeboodyDoed	
5	17.51	1480384	1756194	C++	RockyMullet	
5	17.5	2474201	1671725	C#	melanholy	
5	17.5	3213465	2312939	C++	Gegene	
5	17.47	1713766	911426	Java	Fandern	
5	17.44	847866	2439873	C#	a10n	
5	17.43	1477622	911707	C#	zrdon	
5	17.42	1167615	911017	C#	TylerDurden	
5	17.38	2477668	1672936	C#	Munakoiso	
5	17.35	1845617	2316615	Javascript	Shingyx	
5	17.34	1018816	911027	C#	Dartmoor	
5	17.34	2095124	2467027	C#	Prodam_garazh	
5	17.3	360942	911011	Rust	Amev	
5	17.28	1606614	960673	C++	Wazaa	
5	17.19	1238934	1578512	C++	accorp	
5	17.19	1607791	1495013	C	ildar_1988	
5	17.16	512097	910998	Haskell	Stilgart	
5	17.11	648751	911428	Haskell	dabino	
5	17.01	1835802	1035973	Javascript	LeYann	
5	16.95	3408852	2448617	Java	redmyst5	
5	16.94	1443458	949626	Javascript	devhanoy	
5	16.93	1293010	1104125	C++	aLee	
5	16.92	2474205	1670563	Python3	zugzwang	
5	16.91	1416686	913014	C#	Avatar256	
5	16.9	892436	1868517	C	Napak	
5	16.85	1676711	1665517	Scala	Eeeval	
5	16.78	1029663	914106	C	Skreamly	
5	16.75	524638	1075674	C++	miklla	
5	16.71	1870937	2608829	C++		
5	16.71	2242201	2490801	C++	Maryan	
5	16.66	1071140	912683	C#	BeberLeNewbie	
5	16.65	854952	911430	Java	dolmen1234	
5	16.46	1515891	913011	Ruby	ndc	
5	16.42	2086052	2107884	C#	Lks10	
5	16.42	1853323	1019105	Javascript	JarethCheshire	
5	16.4	1585036	911028	Java	rotu	
5	16.35	2109250	1616615	Javascript	Vicarius	
5	16.32	1584802	1450081	C++	emh	
5	16.3	1713174	2614263	Python3	BigUP	
5	16.27	1206537	1093089	Ruby	MadKnight	
5	16.23	1728288	1673308	C#	MOLP	
5	16.19	893541	2589784	Java	wala	
5	16.19	735487	1624077	Java	amurushkin	
5	16.18	527749	1429107	Go	Pds	
5	16.11	856695	913017	Java	colegu	
5	16.08	1760848	914438	Javascript	masaeedu	
5	16.06	3267424	2589003	Java	Codeinatorr	
5	15.89	1708096	2657455	Java	DeadZ	
5	15.82	1547591	971684	C++	i-d-k	
5	15.82	2494415	1868516	Ruby	devpragmatic	
5	15.79	754792	2114917	C++	Ramdeath	
5	15.68	157377	986329	Lua	McKelian	
5	15.51	3267345	2442243	Java	BenjaminWarnecke	
5	15.5	1572888	1469453	Python3	DirtyHarry	
5	15.44	1469976	913016	Java	netmare	
5	15.34	2040637	2355411	Perl	polettix	
5	15.25	2435116	1676628	Java	sni	
5	15.25	1059996	2669245	C#	Molybdene	
5	15.21	1631432	1513174	C++	freecode	
5	15.14	2473610	2223605	C#	Martyanovst	
5	15.12	2475190	1673310	C#	avel	
5	15.1	1399382	914719	C#	Regulus136	
5	15.06	1854246	1428395	C++	Counterbalance	
5	15	2473585	1674173	C#	Leoltron	
5	14.87	196606	916024	Java	EasyCoder	
5	14.74	1718945	921431	Python3	ilovebugs	
5	14.72	1308058	1429108	Java	Ezeckiel	
5	14.72	1537271	914099	Java	BookSaver	
5	14.71	1343603	2668418	Python3	Harico	
5	14.71	3267378	2349055	Java	EikeAhr	
5	14.71	1678015	1675686	Python3	Mikasez	
5	14.71	715319	915814	C#	poksh	
5	14.67	773811	913449	Java	szoti	
5	14.62	1139919	957976	C#	Lliane	
5	14.61	1495394	957975	C#	qwerty_42	
5	14.6	1531874	913013	Python3	Raven_Darkhold	
5	14.59	1485989	915695	Python3	ReActiveNZ	
5	14.58	925695	2127587	OCaml	Boulet	
5	14.57	1670098	1676626	Java	Xandre	
5	14.56	1378399	1577977	C++	DN38416	
5	14.53	1351763	2448607	Ruby	gatto	
5	14.53	2461129	2656250	Java	JamesB	
5	14.53	1540394	914221	C#	LVdA	
5	14.52	1183615	1673799	Python3	Phil9l	
5	14.5	527890	913461	C#	quetzy	
5	14.5	902324	1676536	C++	Tinsane	
5	14.5	1579627	1502378	C#	Bahrani	
5	14.49	1495946	1490808	C#	chdu08	
5	14.49	1666441	944077	C++	ilostmypen	
5	14.49	2478227	1676669	Java	KawaHomma	
5	14.49	1534309	971686	Javascript	Buszmen	
5	14.48	1198223	945249	Java	KAPLAA	
5	14.47	815488	912227	Java	Seti	
5	14.47	1369177	1075133	Java	PernicN	
5	14.45	1353669	1081914	Python3	XAnimaX	
5	14.45	880044	914998	C#	Dalmali	
5	14.44	201919	2589004	C++	LouJo	
5	14.43	403748	981622	Python3	[CG]SaiksyApo	
5	14.43	315935	913807	Java	YoloWF	
5	14.42	1664044	1624510	Java	BUG	
5	14.42	3644688	2658885	C++	titanSi1v3r	
5	14.41	156188	1401963	PHP	DorianWilde	
5	14.4	1727322	1621711	Python	pyjama	
5	14.39	1439408	2458536	Java	devart64	
5	14.39	846553	981623	C++	Aleks	
5	14.35	1487392	1616614	Java	Razielwar	
5	14.34	1485690	981181	Javascript	Kikoo	
5	14.34	153030	2457999	C++	joH	
5	14.33	1634195	2243093	Python3	k.ab	
5	14.32	2720216	2052768	Kotlin	ilgiocatore	
5	14.32	1263862	949862	Python3	Palermo	
5	14.3	1046623	1387338	Java	the_pins	
5	14.21	155774	1220298	PHP	dwarfie	
5	14.2	1599495	916025	C#	Blue_	
5	14.16	1939512	1848701	Python3	JesseW33	
5	14.07	857521	1624511	C#	MrAnderson	
5	14.02	1798810	2448606	C++	TheRileyinator	
