League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=67,time=2021-04-11 03:33:27
1	30.75	2311105	3457170	Python3	kovi	
1	30.24	2923506	3449758	C++	darkhorse64	
1	29.81	594697	3450614	C#	dimulien	
1	29.63	1569420	3452808	Python3	Tuo	
1	28.9	2043908	3451467	C++	AntiSquid	
1	27.34	1479930	3454453	C++	LeRenard	
1	27.14	792813	3464672	Python3	VilBoub	
1	26.89	2288263	3482585	Rust	dbdr	
1	26.62	2924895	3483747	C	trictrac	
1	26.31	2073802	3443842	Javascript	Heck-R	
1	26.22	973040	3471145	F#	papyjo	
1	25.89	3839774	3439949	Kotlin	gurvan_lullien	
1	25.36	1314399	3443193	Javascript	igu	
1	25.24	1716296	3446625	C++	abzalovim	
1	24.54	3337117	3454353	Rust	timbersson	
1	24.28	2290633	3425816	Python3	field3	
1	24	4205394	3442904	Python3	hyndruide	
1	23.68	2373953	3456868	TypeScript	Dridriun	
1	22.05	3667466	3467407	Python3	Ninjaboub	
1	21.92	2904988	3440216	Python3	Evan_He	
1	21.78	311035	3482611	Python3	leojean890	
1	21.4	4130131	3444938	Python3	YuvalG	
1	20.77	4093262	3455193	C	Lukas_r1	
1	19.74	4120837	3439487	C++	philipplenk	
1	19.65	4208922	3443501	Python3	xokirBios	
1	19.21	2434732	3440801	C#	shirokov.alex	
1	19.02	3903473	3419115	Python3	Konstant	
1	18.17	3496138	3481257	Python3	HayTheFirst	
1	17.8	3061989	3481536	Ruby	Dr.Mic	
1	17.73	3339264	3489080	Python3	Xx_D4RKVALI_xX	
1	17.58	4190536	3481268	Java	GrimPeace	
1	17.09	4206982	3442924	Ruby	slempel	
1	16.85	3968101	3492305	Python3	JE_SUIS_MOI	
1	16.44	3443015	3421266	Java	Wozniak	
1	16.1	2140455	3442744	C++	Lord_Binary	
1	15.57	1488729	3443667	C++	samrrr	
1	14.67	1490383	3443629	C++	arkwaw	
1	14.42	3667481	3480166	Python3	Giorno.	
1	13.24	1412263	3427933	PHP	PatrickMcGinnisII	
1	12.7	4205154	3443737	C++	tuna_in_cream	
1	12.62	3846244	3443529	Python3	JLukeSkywalker	
0	20.15	2049982	3443214	Python3	refa	
0	19.31	3881772	3439668	Javascript	Halberd	
0	18.96	4140622	3442413	Python3	wsmph	
0	18.33	4035972	3440952	Python3	SemBi0s	
0	18.16	2706701	3443513	Kotlin	Inliner	
0	14.54	3274956	3416800	C#	LeProfesseur	
0	11.89	3667471	3467427	Python3	Josephtulaferme	
0	11.89	4124472	3439646	C++	Valdez001	
0	11.8	1713174	3420969	Python3	BigUP	
0	11.71	3545956	3438891	Javascript	uvBoss	
0	11.62	1442344	3441364	Javascript	PavelRaskin	
0	11.59	3721214	3440100	C++	jrke	
0	11.58	3854235	3486179	Python3	E-Panther	
0	11.52	4190719	3440180	Python3	sh4shI	
0	11.5	3136787	3440733	C++	jacek	
0	11.41	4194224	3439336	Javascript	Kiongeris	
0	11.17	4030968	3439478	Python3	MBucas	
0	11.1	3712441	3439743	Python3	Mirko-pl	
0	11.06	3978493	3437974	Java	Ibtissam_B	
0	11	3354337	3416578	C++	Westicles	
0	10.42	2739951	3439320	Python3	Raptile	
0	5.15	4180093	3438885	Python3	MeherMs	
0	2.79	4036593	3444398	Java	Sfrizzolo	
0	-0.97	4199333	3445031	Python3	wnphartn	
0	-1.34	3667480	3464510	Python3	Zizou92	
0	-2.4	3819030	3439558	Python3	S4A3K	
