League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=4177,time=2022-12-14 00:30:14
6	35.87	1400179	1578179	C++	reCurse	
6	35.68	1818159	2428202	C++	JRFerguson	
6	35.54	1629259	3971899	C++	Marchete	
6	34.84	3457031	4065193	C++	YurkovAS	
6	34.75	832306	1324213	C++	pb4	
6	33.21	1983143	1470552	C++	RadekP	
6	33.15	154984	2424607	C++	_Royale	
6	33.09	735910	1324204	C++	Agade	
6	30.84	805067	3744702	C++	Magus	
6	30.07	1944726	2587027	C++	bourgeof	
6	29.21	524638	1384551	C++	miklla	
6	28.92	886483	1330546	C	R4N4R4M4	
6	28.88	1049935	2420958	C++	Azkellas	
6	28.69	351062	1503310	C++	Neumann	
6	28.58	1824376	1384868	Python	Kodle	
6	28.52	1082988	1622518	C	Saelyos	
6	28.05	335954	1324205	Java	nmahoude	
6	27.93	1314316	2080232	C++	jolindien	
6	27.78	1781409	1331377	C++	schubc	
6	27.69	1479930	1596282	C++	LeRenard	
6	27.4	1488163	1324208	C++	Avestor	
6	26.96	1367461	1384286	Java	MickGlover	
6	26.89	1335230	2341627	C++	jft63	
6	26.86	1034635	1324201	C++	SlyB	
6	26.84	1500515	1330018	C#	eulerscheZahl	
6	26.74	1341520	1324209	C	egaetan	
6	26.73	893541	2485488	Java	wala	
6	26.67	1201796	2358826	C#	P.Greze	
6	26.44	1489865	1418672	C++	EricSMSO	
6	26.19	1741196	2652737	C++	Valdemar	
6	26.14	3533119	3942462	C++	wlesavo	
6	26.09	841085	1384283	C#	Risen	
6	25.98	198916	3744373	C++	WhatTrickeryIsThis	
6	25.79	1944090	1494637	C#	spaceorc	
6	25.6	933352	1384550	C++	femto	
6	25.55	880353	1325724	C++	zasmu	
6	25.54	1827247	2326740	C++	mmmd	
6	25.5	1931039	1327570	C#	MooMooN	
6	25.46	1759839	3837425	C++	matleg	
6	25.45	3749793	3940157	Python3	WINWINWIN	
6	25.36	1673971	1331493	Python3	Lanken	
6	25.33	2924895	3947414	C	trictrac	
6	25.33	4294044	3836918	C++	simsimlafamille	
6	25.29	1314796	2463029	C#	JBence	
6	25.27	1756952	2145342	C++	Petras	
6	25.25	1149054	2584826	Java	Jeremee	
6	25.21	736075	1589980	C	Xyze	
6	24.96	1164242	2205296	Java	Andry_	
6	24.92	854952	1325725	Java	dolmen1234	
6	24.87	1876721	1327432	C++	poInT	
6	24.8	1306541	3939594	C++	Steuh	
6	24.61	153784	2337302	C++	Whitec	
6	24.61	1812704	1330464	Java	Trancheuse	
6	24.45	1194069	2136213	Java	Redstrike	
6	24.34	1889444	1324202	Java	DragoonXen	
6	24.3	1787305	3939597	Java	Woodstock48	
6	24.19	1607522	1327601	Go	RoboStac	
6	24.12	1193679	1477970	Python3	Icebox	
6	23.91	2169137	3939593	Python3	SkippyBro	
6	23.91	2006324	2076808	Java	Oussama_Siharde	
6	23.74	1235673	2418258	C++	Lirkin	
6	23.53	1128769	1330463	Rust	Dwakus	
6	23.46	1384701	1657427	Ruby	lllukom	
6	23.44	1687064	3836917	C++	JBoulic	
6	23.37	1857831	1397680	C#	pbunny	
6	23.16	1830625	2463027	C#	-Rutger-	
6	23.02	828239	4558073	C#	[SG]Sebastien	
6	22.96	1480501	3939595	C++	DaFish	
6	22.51	2220118	3939592	C#	pry	
6	22.27	806157	3940156	C++	Aveuh	
6	22.1	1606588	1325753	C++	inoryy	
6	21.98	226528	1324215	Java	Manwe	
6	21.53	917370	3837259	C++	Gwi	
6	21.43	1378958	3062100	C#	Illedan	
6	20.81	1655832	1418596	Groovy	chessmanxblast	
6	20.14	2179805	1486783	Rust	_La_Pulga	
6	19.63	3247968	4536017	C++	Dreamkins	
6	14.33	1675487	1325723	C	PED	
6	11.44	1855741	2704971	Kotlin	MrKIP	
6	10.18	1378399	1577746	C++	DN38416	
6	10.17	1671658	1347884	C++	Kirbiby	
6	10.16	909153	1330462	C++	Coac	
6	10.16	1061242	1384285	C++	Csipcsirip	
6	10.16	1273065	1324199	C++	TheRadical	
6	10.15	1284747	1324458	C++	mr-push	
6	10.15	1106450	1324207	C++	RiSuS	
5	24.61	1064903	2031766	C++	Ghirtor	
5	23.55	1071140	1390701	C#	BeberLeNewbie	
5	23.29	3533314	4560306	C#	skotz	
5	23.23	1304841	1848441	Java	NitMpez	
5	23.13	1631432	1513164	C++	freecode	
5	22.89	1491995	1325787	C#	Tyir	
5	22.84	1707060	1317002	Javascript	FreemanLambda	
5	22.39	2378983	2480761	Java	jonip	
5	22.26	1162034	1317059	C++	krakeusz	
5	22.16	1343111	1599487	Javascript	Thal	
5	22.16	648751	1317027	Haskell	dabino	
5	22.1	4053362	3700277	C#	Johan_Braanen	
5	22.04	1903645	2464612	C++	Zerksud	
5	21.86	1549145	1317037	C++	Mealc	
5	21.85	1803865	2336068	Python3	olinox14	
5	21.82	1238934	2016683	C++	accorp	
5	21.75	1754295	1317000	Java	SF	
5	21.56	1869024	2238010	Java	Xa2017	
5	21.4	1792429	1577647	Java	Wildum	
5	21.31	1889981	1493781	C#	rekcahd	
5	21.23	1814258	1496246	C#	AtrA	
5	21.18	1077559	1384057	Java	PhOeNyX	
5	21.15	1898847	1330390	C	faga	
5	21.08	3918583	3751246	Rust	mikmak	
5	21.01	1788945	1495955	Python3	FabienDaniel	
5	20.99	321003	1815973	Python3	mixam85	
5	20.96	371603	1578860	C++	martin	
5	20.72	939530	2097797	Java	Jahz	
5	20.7	3513265	4077131	C++	DaNinja	
5	20.7	1168511	1496245	C++	kasuka	
5	20.68	153045	1493606	Java	nib	
5	20.67	1643849	1317061	Python3	anton_sh	
5	20.6	1125115	4285786	C#	RafaelSan	
5	20.59	1927854	1599458	C#	b-tone	
5	20.52	3902927	3496965	Python3	Bulgot	
5	20.43	1930288	1317016	C#	jopa_be	
5	20.41	3492840	3110943	C++	stormKx18	
5	20.38	1342745	2668772	C++	Catiminie	
5	20.37	1480384	1756198	C++	RockyMullet	
5	20.34	1853956	1319168	PHP	yoannk	
5	20.34	1481544	1496243	C++	ZarthaxX	
5	20.25	2073179	1756577	Rust	Biwere	
5	20.24	1719856	4051474	PHP	YOANN	
5	20.1	2396169	1756264	C++	Emaginidoc	
5	20.03	1673512	2574140	C++	Ryoken	
5	19.99	381613	1317026	Java	Hadou_	
5	19.87	1753424	1580341	Rust	FilkinKuiv	
5	19.82	1931824	1495958	Java	Litops	
5	19.8	1333869	1317030	Python3	kiwijam	
5	19.76	1115081	1317062	Haskell	sergeif	
5	19.76	1152991	4060833	C#	xoposhiy	
5	19.75	1476972	2213902	Rust	cyberfeeX	
5	19.69	1023075	2214131	Rust	Naro	
5	19.69	2166092	1736989	Java	F4T4L_3RR0R	
5	19.69	788361	2682278	C++	Bob	
5	19.57	1444552	2334569	Rust	MojoJojoGojo	
5	19.54	1772240	1580343	C++	Wazabis	
5	19.39	1606614	1591660	C++	Wazaa	
5	19.36	1258533	1495956	Python3	MathJason	
5	19.33	1540394	1655230	C#	LVdA	
5	19.3	1664044	1599460	Rust	BUG	
5	19.28	1721506	2214132	Rust	jmutz	
5	19.2	1170641	2347216	Rust	ioncodes	
5	19.19	1204522	2459439	Python	llllllllll	
5	19.08	811856	1750141	C#	Andrew-iv	
5	19	1455753	2693851	C++	Lysk	
5	18.97	1186250	3487435	C#	Gabbek	
5	18.94	1211965	2347215	C++	B0b	
5	18.94	1132792	1756345	Rust	c0uldfusi0n	
5	18.93	1195031	1577202	C++	Nekto	
5	18.89	2093395	2322878	Rust	VadimKuznetsov	
5	18.88	271945	4386186	C++	aangairbender	
5	18.83	1274026	2323635	C#	Sethius	
5	18.8	1831684	1869612	Java	dbf	
5	18.78	1385235	1578723	C#	TimurSeitosmanov	
5	18.78	2242201	2349642	C++	Maryan	
5	18.77	844380	1849362	C#	NDrew	
5	18.7	1857772	1580367	Rust	darkange69	
5	18.68	4334077	3770003	Rust	Paul_Demanze	
5	18.68	1676711	3948873	Java	Eeeval	
5	18.67	2093404	1752912	Java	spiripontain	
5	18.59	1167615	2615461	C#	TylerDurden	
5	18.57	1620803	3012890	C++	Lyapunov	
5	18.52	1399382	1580342	C#	Regulus136	
5	18.45	3947806	3104852	Rust	Kr4unos	
5	18.43	1073247	2480113	Rust	_NikJ	
5	18.41	1340801	2480654	C#	anil2991	
5	18.41	901546	1489140	Rust	Vinatorul	
5	18.4	1163138	2413366	Rust	Vince85	
5	18.32	512097	3342175	Haskell	Stilgart	
5	18.24	1799131	1496244	C#	LuminousJune	
5	18.18	1778731	1493782	Java	pen	
5	18.07	815488	2630672	Java	Seti	
5	17.92	2002917	1758977	Rust	Hackerman007	
5	17.91	3657937	4054929	Python3	elderlybeginner	
5	17.84	1457162	1599459	C++	JFB	
5	17.79	2925202	4430322	Python3	Charcot_Maltese	
5	17.79	1743321	3103534	Python3	brentdw	
5	17.73	1223140	2480762	Java	kgautron	
5	17.67	484004	3537667	Lua	aCat	
5	17.5	2254195	2214135	Rust	BrunoFelthes	
5	17.45	153774	2480475	C++	cocoche007	
5	17.45	154354	2412847	OCaml	Fougere	
5	17.44	4087664	3754150	C++	YodaMaster123	
5	17.43	2762523	2081573	Rust	CM42	
5	17.37	4244909	3745465	Python3	BettingLearning	
5	17.22	1416725	1583670	C	BayashiPascal	
5	17.09	1369177	2630448	C#	PernicN	
5	17	973040	2631817	C	papyjo	
5	16.7	754792	2214134	C++	Ramdeath	
5	16.54	1114834	3929840	C++	k4ng0u	
5	16.48	1947803	3012889	Python3	igjbot	
5	16.43	233627	4410265	Javascript	SlipOne	
5	15.95	1181768	1578722	Java	dio_O	
5	15.94	1616071	3935566	Java	Cyberpunk	
5	15.79	1855354	3754374	C++	KiwiTae	
5	15.7	1845617	3936549	C#	Shingy	
5	15.22	1430979	1316999	Java	Kera	
5	15.02	4266887	3771223	Python3	AntonioAgostino	
5	15	1447295	2480476	C++	Roszondas	
