League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=5064,time=2021-04-25 03:23:42
6	33.81	1593992	3320649	Python3	nierin	
6	33.8	1629259	2983523	C++	Marchete	
6	33.27	735910	2620468	C++	Agade	
6	32.29	1675487	3031040	Python3	PED	
6	31.05	1818159	1212628	C#	JRFerguson	
6	28.79	1500515	1733194	C#	eulerscheZahl	
6	27.77	351062	1132675	Java	Neumann	
6	27.21	507383	1114587	C#	Vadasz	
6	27.12	3622757	2815239	Python3	anid	
6	27.05	1344353	1114962	PHP	PommesMitMayo	
6	26.73	1082988	1114562	C	Saelyos	
6	26.64	2087648	1431707	C#	Nalf	
6	26.46	3725862	2816340	Javascript	Kklykov	
6	26.22	2731276	2076969	C++	panda42	
6	25.99	154984	1665415	C++	_Royale	
6	25.85	820000	3488320	C++	ValGrowth	
6	25.69	1634195	1422102	Python3	k.ab	
6	25.65	880353	1114592	Python3	zasmu	
6	25.65	1378958	1593798	C#	Illedan	
6	25.39	2077978	1407191	Python3	MichelLaviron	
6	25.31	2043908	2230007	Java	AntiSquid	
6	25.04	1701043	1116998	C++	Qnu	
6	24.96	1406638	1117342	Java	[CG]Thibaud	
6	24.95	3211735	2317129	Python3	Fireballl	
6	24.84	1419749	1133172	Python3	myhz	
6	24.78	1512032	1114595	C#	TrAnd	
6	24.76	1167615	1114578	C#	TylerDurden	
6	24.75	1794888	1427273	C#	lagotus	
6	24.74	2566623	3057885	PHP	VincentBab	
6	24.73	833606	1114580	Python3	mattrero	
6	24.73	2288263	2066679	Java	dbdr	
6	24.72	1034635	1756985	C++	SlyB	
6	24.72	1163138	3174457	Python3	Vince85	
6	24.67	1390607	1179161	Python3	Ivan_Derzhylo	
6	24.61	1354295	3044479	Python3	AbdullahKhawer	
6	24.6	1845617	2310432	Kotlin	Shingyx	
6	24.58	1540877	1114589	Python3	PrincessKokochin	
6	24.54	1479930	1501507	C++	LeRenard	
6	24.45	1321710	1748629	Python3	Swagboy	
6	24.44	939530	1115208	Java	Jahz	
6	24.41	1579978	1114584	C++	MrBrown77	
6	24.4	2906497	2467751	C++	daaskare	
6	24.36	1430979	1114567	Java	Kera	
6	24.26	1708280	1122849	Python3	DidierFranck	
6	24.17	4069531	3378516	Java	KaPen	
6	24.08	371603	1114558	C++	martin	
6	24.05	1566335	1114590	Java	BeardedWhale	
6	23.86	1673971	1114594	Python3	Lanken	
6	23.81	2924895	2218008	Java	trictrac	
6	23.77	1096618	1115211	Python3	F6CF	
6	23.74	1857055	1116808	C++	Mittzir	
6	23.74	2762653	2305799	Python3	RAAAT	
6	23.73	1931039	1400658	Pascal	MooMooN	
6	23.72	3196495	3479652	C++	putibuzu	
6	23.59	806157	1123964	C++	Aveuh	
6	23.47	805067	1499883	C++	Magus	
6	23.44	2114863	1749655	Java	QWERTy	
6	23.41	1824376	1114575	Python3	Kodle	
6	23.4	1733593	2657827	Scala	Wei-1	
6	23.32	335954	1118150	Java	nmahoude	
6	23.29	1201796	1115754	Python3	P.Greze	
6	23.27	1341520	2657978	C	egaetan	
6	23.16	1425410	1179162	Python3	AgentJam	
6	23.1	893541	2448527	Java	wala	
6	23.06	3436443	2593888	Python3	Mazelcop	
6	23.03	3300890	2448809	Java	Black_Mamba_75	
6	23.02	3564009	2757654	Lua	Waffle3z	
6	23.01	1518732	2305739	Java	Apfeloxid	
6	22.98	833077	1448043	Java	tsukammo	
6	22.96	1717345	2206730	Scala	kotobotov	
6	22.95	1853956	1123992	PHP	yoannk	
6	22.95	3669985	2851795	Python3	Gafagarion	
6	22.89	1737246	1114574	Python3	Adam798	
6	22.86	2255112	2682081	Python3	Z3RP436	
6	22.86	2088954	1430297	C#	Splinter-	
6	22.85	2995346	2388770	C++	chiacone	
6	22.84	1071140	1935871	C#	BeberLeNewbie	
6	22.84	2416641	3086520	C#	Zenoscave	
6	22.83	2254195	1504636	Java	BrunoFelthes	
6	22.82	1655832	1114598	C++	chessmanxblast	
