League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=12,time=2022-11-30 00:30:03
4	28.06	2924895	4520025	C	trictrac	
4	25.13	3647844	4518211	Python3	rc95401	
4	23.88	1412263	4535728	PHP	PatrickMcGinnisII	
4	23.17	3996809	4513190	Java	VizGhar	
4	22.79	1479930	4516750	C++	LeRenard	
4	21.25	3141948	4512727	Python3	philRG	
4	20.88	2290633	4518607	Python3	field3	
3	22.52	3983017	4519436	PHP	TLbuis	
1	17.55	3323757	4514787	Python3	ByteWolf	
1	0.94	973040	4536940	Rust	papyjo	
0	-0.65	4277867	4534993	D	About	
0	-1.52	1713174	4514815	Python3	BigUP	
