League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=112,time=2022-07-02 00:30:08
3	43.98	820000	4374189	C++	ValGrowth	
3	43.37	4154326	4375125	Go	montplusa	
3	42.94	154984	4373771	C++	_Royale	
3	42.89	3348388	4374630	C++	bowwowforeach	
3	42.04	4274197	4374344	Rust	i8fbnkyw	
3	41.92	3136787	4373698	C++	jacek	
3	41.45	3457031	4375255	C++	YurkovAS	
3	40.69	3196495	4374098	C++	putibuzu	
3	40.25	3235897	4374627	Java	Zylo	
3	39.37	1500515	4373689	C#	eulerscheZahl	
3	39.23	3819989	4374676	C++	KawattaTaido	
3	39.13	1630890	4373990	C++	Wld	
3	38.81	3657275	4374913	Python3	jujurocking	
3	38.33	1540478	4373654	C++	struct	
3	37.97	4482661	4374616	C++	square1001	
3	37.95	1838612	4374870	Rust	statiolake	
3	37.78	893541	4375466	Java	wala	
3	37.58	484004	4374241	C#	aCat	
3	37.55	1114834	4374311	C++	k4ng0u	
3	37.42	351062	4375442	C++	Neumann	
3	37.31	3683265	4374659	C++	Bondo416	
3	36.71	1378958	4373749	C#	Illedan	
3	36.51	4262172	4375109	C++	highjump	
3	36.4	3762390	4375088	Python3	pack	
3	35.74	198916	4374997	Java	WhatTrickeryIsThis	
3	35.65	2254195	4375303	Java	BrunoFelthes	
3	35.47	1584802	4374635	C++	emh	
3	35.44	2311105	4373700	C++	kovi	
3	35.4	3873666	4374698	Python3	brthyyjp	
3	35.32	4067707	4374887	C++	therealbeef	
3	35.26	2968035	4374040	C++	DomiKo	
3	34.94	792813	4375263	Python3	VilBoub	
3	34.65	3738782	4374235	C#	Inaniwa	
3	34.61	4506498	4373882	Rust	TimeEngineer	
3	34.52	2398608	4375369	Python3	M_C	
3	34.19	4806550	4374158	Python3	Rafarafa	
3	34.15	3175946	4374737	C++	qLethon	
3	34.04	4946854	4374957	Javascript	vincent_manuceau	
3	34.02	4622964	4375746	Ruby	Haradwaith	
3	34.02	1201796	4375036	C#	P.Greze	
3	33.89	848394	4375332	Java	schwarzahl	
3	33.86	2490008	4374677	Python3	ebicochineal	
3	33.58	416762	4374920	TypeScript	Khao	
3	33.35	841085	4374683	C#	Risen	
3	32.65	3783481	4373704	C#	Yatech	
3	32.65	3795745	4375210	Javascript	Soboku	
3	32.56	799904	4374273	C++	iwashi31	
3	32.48	4323615	4375241	Python3	Troph	
3	32.44	193315	4375582	C#	hau	
3	32.44	2923506	4373887	C++	darkhorse64	
3	32.39	3775061	4373729	Python3	czuk	
3	32.11	1632368	4374347	C++	olphe	
3	32.06	4060102	4375630	C#	Antash	
3	31.95	886483	4373930	C	R4N4R4M4	
3	31.89	2187553	4374089	Go	Cromel	
3	31.81	1601217	4375505	C++	Heide	
3	31.38	3411499	4375532	Go	gymnasty	
3	30.98	4801044	4373666	C++	mannouao	
3	30.84	1783604	4373911	C	Vry	
3	30.35	4120276	4375169	Python3	ggevorg	
3	29.87	1792532	4374374	C#	Zanbez	
3	29.82	4238274	4374545	Python3	Sahcim	
3	29.8	3533119	4373671	Python3	wlesavo	
3	29.64	3938395	4374315	C++	Quentin18	
3	29.4	2924895	4373921	C	trictrac	
3	29.35	1479930	4373985	C++	LeRenard	
3	29.22	3165536	4374458	C#	barbora	
3	29.17	3820935	4374814	C++	monnu	
3	29.14	4658485	4373830	Python3	I_love_CoC	
3	29.01	828239	4374359	C#	[SG]Sebastien	
3	28.97	2786666	4375391	C++	TetraktysPhi	
3	28.93	4375316	4374384	Python3	Flash7	
3	28.87	4060722	4375238	Java	StevenV	
3	28.84	4760013	4374589	Python3	KinaKhongs	
3	28.51	4704154	4373662	C++	unsinn	
3	28.29	4055392	4374277	C++	totori	
3	28.25	1140677	4373949	C++	Crog	
3	27.68	1420817	4374054	Javascript	TheMagicShop	
3	27.64	1412263	4373760	PHP	PatrickMcGinnisII	
3	27.06	4961759	4375312	Javascript	Alban75	
3	26.99	2855929	4373796	C#	Smour	
3	26.87	1288527	4375586	C++	Snef	
3	26.8	4791882	4375300	Ruby	FlorentC	
3	26.77	1814485	4375252	C#	Fluttershy	
3	26.48	862919	4373724	C++	Astrobytes	
3	26.15	3971358	4374813	C++	OldJohn	
3	25.86	4341304	4373690	C++	Remi.	
3	25.78	155774	4373821	C++	dwarfie	
3	25.78	3597780	4375266	Go	EParisot	
3	25.61	3738174	4375354	C#	luvoco	
3	23.79	4917275	4373960	Python3	k1one44	
3	22.41	4324220	4375251	C++	trineutron	
3	22.14	2290633	4374201	Python3	field3	
3	22.09	3647844	4374122	C++	rc95401	
3	20.69	3354337	4373627	C++	Westicles	
3	20.34	3816482	4374046	C++	marcee927	
3	19.82	4317577	4374457	C++	kaede2020	
3	18.95	4591097	4374033	Python3	Gandalfchris	
3	16.53	3376722	4375584	Python3	oolivierr	
3	16.48	4317078	4374525	Rust	shamio	
3	15.09	904209	4375437	Python3	Myrtille44	
3	14.29	1759839	4374382	Python3	matleg	
3	13.91	1480501	4374875	C++	DaFish	
3	13.63	3305510	4373751	PHP	TBali	
3	13.47	4420742	4374313	Python3	Mortis_666	
3	12.31	734401	4373822	C++	b0n5a1	
3	11.46	1663349	4375554	Kotlin	Low-T	
2	7.23	2069141	4374999	C#	tomeko	
2	6.5	1537951	4374376	Java	Nerchio	
2	6.11	4646980	4375351	Python3	Kururugi	
2	1.98	3808782	4375628	C++	nrvft	
1	11.26	4953894	4375220	Java	Strigidae	
