League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2495,time=2022-08-19 00:38:35
6	35.2	2968035	3695980	C++	DomiKo	
6	34.67	3193653	2579867	C++	karliso	
6	34.36	1624809	2653061	C#	DrFekalus	
6	34	820000	3503912	C++	ValGrowth	
6	33.97	1327028	2309998	C++	FredericBautista	
6	33.82	2522090	2305313	C++	MSmits	
6	33.28	1629259	2677894	C++	Marchete	
6	32.71	1607522	2224302	C++	RoboStac	
6	32.51	580424	3522551	C++	siman	
6	31.56	3457031	3512587	C++	YurkovAS	
6	31.29	1438020	797875	C++	InsomniaRide	
6	31.11	4007648	3461863	C++	nan0S_	
6	31.03	502798	3077876	C++	thunder	
6	30.82	1059313	802069	C++	_SERGE_	
6	30.62	2288263	3536241	Rust	dbdr	
6	30.49	3150053	3874748	C++	HarveyGW	
6	30.39	2858060	2071616	C++	gomson33333	
6	30.35	739151	2698354	C++	Romka	
6	30.3	1520245	1506649	C++	arxadev	
6	30.22	1978320	1763141	C++	MoonAntonio	
6	30.21	2114863	1754461	C++	QWERTy	
6	30.18	1348523	1219178	C++	Numb_	
6	30.09	1390789	2452124	C++	Matthieu.L	
6	30.03	3071738	2770119	C++	ClashLuke	
6	30	3334588	2422956	C++	PCSILIVRandom	
6	29.91	1288527	2414639	C++	Snef	
6	29.85	1500515	2640892	C#	eulerscheZahl	
6	29.81	770792	815280	C++	T.H.	
6	29.75	1749268	889773	C++	chefmenthos	
6	29.72	1734105	2336039	C++	Bibou	
6	29.67	1335230	3327443	C++	jft63	
6	29.67	1721506	925150	C++	jmutz	
6	29.66	1112163	803760	C++	JaredReimer	
6	29.59	2924895	3971081	C++	trictrac	
6	29.55	3274321	2993813	C++	JustMe.	
6	29.41	4774584	4061400	C++	Madara-Uchiha	
6	29.39	3376368	2415487	C++	satan_is_a_lawyer	
6	29.38	1807041	1577889	C++	Ouisticrabe	
6	29.33	854169	2467097	C++	Silmaen	
6	29.29	2858041	2071613	C++	gomson3	
6	29.26	1788677	1130637	C++	Neskoss25	
6	29.26	1530750	4035567	C++	UncleV	
6	29.2	1478706	2601555	C++	The-Dude	
6	29.18	1829569	1862905	C++	[0___0]	
6	29.11	1857772	1300425	C++	darkange69	
6	29.1	1442155	1332172	C++	AllAllAll	
6	29.1	1170641	1030351	C++	ioncodes	
6	29.1	3211735	2277824	C++	Fireballl	
6	29.09	3514820	3803486	C++	Inferno_dragon	
6	29.08	4111274	3467864	C++	lerty	
6	29.07	2242201	2325874	C++	Maryan	
6	29.06	3807227	3018066	C++	GaryAflalo	
6	29.04	808608	1004807	C++	Locutus	
6	29.04	1717962	2336907	C++	Angryshark	
6	29.03	3556318	3839297	C++	TheMythicMango	
6	29.02	335954	2249262	Java	nmahoude	
6	29.01	2472606	3005864	C++	MehdiTouil	
6	29.01	2708342	2031063	C++	HIWA	
6	29	1465889	910352	C++	kuzmenko4ndrey	
6	29	4036060	3701150	C++	King_Coda	
6	28.99	1314316	2080527	C++	jolindien	
6	28.97	4334077	3709041	C++	Paul_Demanze	
6	28.96	2073179	1420430	C++	Biwere	
6	28.96	1022699	808864	C++	Baptistin	
6	28.96	3334610	2415316	C++	La_Carpe	
6	28.96	4334406	3690953	C++	camdan.me	
6	28.95	2096064	1446113	C++	xiao.sha	
