League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=12,time=2023-01-07 00:30:04
0	33.87	2924895	4557696	C	trictrac	
0	27.15	2923506	4683792	C++	darkhorse64	
0	23.82	1802967	4635701	Python3	Meruem	
0	18.16	1412263	4560011	PHP	PatrickMcGinnisII	
0	17.15	484004	4557654	Java	aCat	
0	15.03	2290633	4573322	Python3	field3	
0	12.96	5274188	4682349	Bash	Guest3410	
0	10.9	3136787	4558680	D	jacek	
0	10.52	4626700	4689190	PHP	JohnyDarecek	
0	10.42	4277867	4589631	D	About	
0	9.7	1713174	4694714	Python3	BigUP	
0	7.93	3647844	4583532	Python3	rc95401	
