League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=19,time=2022-09-08 00:30:23
3	34.04	2924895	4434632	C	trictrac	
3	33.87	893541	4434093	Java	wala	
2	21.58	1489865	4432955	C++	EricSMSO	
2	15.02	1802967	4438558	Python3	Meruem	
2	10.1	311035	4438582	Python3	leojean890	
2	7.35	3647844	4435126	C++	rc95401	
1	19.14	4298841	4438681	C#	Dapps	
1	15.03	1412263	4438717	PHP	PatrickMcGinnisII	
1	14.19	2290633	4434134	Python3	field3	
1	13.84	1140677	4443239	C++	Crog	
1	10.68	4018239	4439765	Java	MACKEYTH	
1	6.8	4341304	4433290	C++	Remi.	
1	2.26	1479930	4434884	C++	LeRenard	
0	23.26	3563934	4438519	C#	ChuckTheNinja	
0	18.49	973040	4443798	Rust	papyjo	
0	16.39	3141948	4439463	Python3	philRG	
0	4.69	4277867	4433884	D	About	
0	4.64	2508635	4433250	Java	hemhel	
0	2.99	3136787	4437859	Python3	jacek	
