League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=4566,time=2023-01-07 00:30:17
4	29.44	4062038	4690229	C++	delineate	
4	28.42	3348388	4692131	C++	bowwowforeach	
4	27.67	820000	4694282	C++	ValGrowth	
4	26.95	4802230	4693724	C++	Nanaeda	
4	26.68	1082988	4689413	C++	Saelyos	
4	26.61	4154326	4694522	Go	montplusa	
4	26.07	880353	4692518	C++	zasmu	
4	25.5	1500515	4690170	C#	eulerscheZahl	
4	25.12	1737246	4690838	Python3	Adam798	
4	24.98	1818159	4694727	C++	JRFerguson	
4	24.96	1629759	4693531	C++	MSz	
4	24.69	2577687	4692300	C++	blasterpoard	
4	24.37	873958	4694656	C#	cheeser	
4	24.23	3193653	4692507	C++	karliso	
4	23.41	3819989	4692696	C++	KawattaTaido	
4	23.37	542999	4690740	C++	arturgo	
4	23.16	154984	4689544	C++	_Royale	
4	22.66	4063805	4692570	C++	viewlagoon	
4	22.59	2311105	4692353	C++	kovi	
4	22.5	351062	4690413	C++	Neumann	
4	22.28	2522090	4693144	C++	MSmits	
4	22.04	3235897	4691583	Java	Zylo	
4	22.01	610934	4693740	C++	y_kawano	
4	21.77	3801587	4691442	Python3	FlyingChoucroute	
4	21.65	3042651	4693716	Go	slamo	
4	21.5	939375	4692716	Python3	Indrill	
4	21.44	335954	4693792	Java	nmahoude	
4	21.41	668954	4693244	C++	Fluxor	
4	21.24	893541	4694646	Java	wala	
4	21.05	2661980	4692966	Rust	Leos	
4	20.44	3811112	4692005	C++	yukine3	
4	20.44	3552779	4689648	C++	Peake	
4	20.42	3502478	4690329	Kotlin	tachan	
4	20.33	3836429	4693091	Java	hippipo	
4	19.98	3136787	4692674	C++	jacek	
4	19.84	4612757	4693958	C++	ael-bekk	
4	19.73	5246622	4689959	C++	RinSakamichi	
4	19.72	3069534	4692271	Java	LoganWlv	
4	19.63	1944726	4692982	C++	bourgeof	
4	19.6	2197296	4693814	C#	Elost	
4	19.59	2406320	4691584	TypeScript	aivarsliepa	
4	19.49	3514237	4692264	C++	ucarts	
4	19.35	1703255	4693973	Python3	ClementC	
4	19.27	1106450	4693730	C++	RiSuS	
4	18.89	2711438	4693043	Java	Aeneas	
