League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=242,time=2020-03-08 00:31:11
4	49.63	1194069	2423099	Java	Redstrike	
4	43.8	1489865	2322969	C++	EricSMSO	
4	41.54	820000	2421382	C++	ValGrowth	
4	41.33	154984	2687995	C++	_Royale	
4	41.19	1518732	2343965	Java	Apfeloxid	
4	39.61	1500515	2686462	C#	eulerscheZahl	
4	38.91	1601217	2424175	C++	Heide	
4	37.59	3165536	2685783	C++	barbora	
4	36.96	588426	2488124	C++	Jeff06	
4	36.59	1378958	2423330	C#	Illedan	
4	34.93	2972662	2426465	C++	Hoyer	
4	34.83	2924895	2585700	C	trictrac	
4	34.77	888898	2692539	C++	helgui	
4	33.37	2906497	2309946	C++	daaskare	
4	33.17	1095913	2410984	C++	Yamatan	
4	32.97	1060181	2324807	Ruby	Dabou	
4	32.6	1272263	2430150	Python3	Caled	
4	32.36	884874	2454939	Javascript	Zauberer	
4	32.19	2136109	2430671	Javascript	Klemek	
4	31.18	2398608	2309499	Java	M_C	
4	30.86	2786666	2491075	C++	TetraktysPhi	
4	30.43	934381	2425258	Rust	PolyB	
4	30.41	1178276	2316894	Java	Jerome_95	
4	29.65	1734105	2338675	C++	Bibou	
4	29.4	3213465	2338314	C++	Gegene	
4	28.99	2290633	2359176	Python3	field3	
4	28.57	1344487	2687958	C++	UnnamedCodinGamer	
4	28.01	3381099	2680179	Java	John_The_Wood_Johnson	
4	27.65	1629259	2426765	C++	Marchete	
4	27.57	973040	2593463	C	papyjo	
4	27.44	1288527	2260487	C++	Snef	
4	27.17	1728288	2322571	C#	MOLP	
4	26.4	1314316	2261705	C++	jolindien	
4	26.39	2718975	2316749	C	mykeich	
4	26.21	1049935	2304153	C++	Azkellas	
4	26	1464932	2260474	Java	Tiramon	
4	25.75	1673512	2313152	C++	Ryoken	
4	25.52	862919	2304426	C++	Astrobytes	
4	25.39	1740037	2357041	Scala	ereiam	
4	25.03	735487	2304751	C++	amurushkin	
4	24.86	2069141	2304861	C#	tomeko	
4	24.22	1713174	2309541	Python3	BigUP	
4	23.79	3217628	2264074	C++		
4	23.36	2416641	2263671	Python3	Zenoscave	
4	23.19	2043908	2307310	Java	AntiSquid	
4	22.27	2061249	2309536	C++	delisea	
4	21.95	1896128	2309540	Python3	Vhanire	
4	21.49	880353	2309909	Python3	zasmu	
4	21.45	854952	2309525	Java	dolmen1234	
4	21.15	2762653	2309532	Java	RAAAT	
4	21.06	1436776	2311473	C++	BrainSolver	
4	20.53	886483	2309774	ObjectiveC	R4N4R4M4	
4	20.3	3230794	2310371	Python3	tutubalin	
4	19.83	1841051	2309526	Python3	Alpacah	
4	19.8	1756952	2309529	C++	Petras	
4	19.27	1763812	2309538	Python3	Gainsboroow	
4	19.19	1876212	2261513	C++	PFischbeck	
4	19.14	3221192	2287465	C++	Almon	
4	19.03	925695	2304845	OCaml	Boulet	
4	18.58	403748	2287466	C#	[CG]SaiksyApo	
4	18.55	837350	2265609	Python3	BorisZ	
4	18.38	155774	2309579	C++	dwarfie	
4	17.63	734401	2261720	C++	b0n5a1	
4	17.11	3250153	2287565	C#	Unconvynced	
4	16.81	911777	2310370	C++	MasakiKyosuke	
4	16.73	154906	2309527	Haskell	JBM	
4	16.7	806157	2310373	Python3	Aveuh	
4	16.57	1525816	2309531	Javascript	Flodnes	
4	16.44	3046029	2310372	Javascript	Skel	
4	16.34	2233179	2309539	Python3	Samsa	
4	16.14	1200604	2287469	Swift	Alos	
4	16.02	1417806	2309530	Python3	Zadkiell	
4	15.95	331880	2309523	C++	Monstruo	
4	15.82	1753077	2309542	C++	codingWhale	
4	15.74	3148589	2287467	C++	Chris123	
4	15.08	1341520	2309537	Java	egaetan	
4	14.74	1164044	2309570	Javascript	Visual	
4	14.6	2923506	2425313	C++	darkhorse64	
4	13.23	1386924	2309528	Javascript	Ylec	
4	10.57	2497890	2287470	C#	BlackBird	
4	9.99	257832	2309522	C++	BlaiseEbuth	
4	9.57	2007690	2309524	Java	SpeedOfMagic	
4	6.46	1861258	2309544	Go	Nazdhun	
3	22.82	1227148	2686666	Java	Schneewittchen	
3	20.57	3320101	2434666	Ruby	megahallon	
3	20.51	3319855	2506789	C#	Drobor	
3	17.68	3363116	2454935	C++	senile	
3	10.34	3370098	2425509	C++	EwertonES	
3	9.9	2284741	2429799	C#	patrickackermann	
3	8.97	1898847	2310839	C	faga	
3	8.89	2400928	2427810	Python3	Gilsidoo	
3	7.02	3252311	2287593	C++	JoeyBonitati	
3	6.99	314562	2315755	Javascript	Mechar	
3	6.57	2522090	2687052	C++	MSmits	
3	5.36	1760921	2313008	Go	[Leonardone]-[-_-]-[NEETSDKASU]	
3	5.01	3354558	2453183	Python3	mw197	
3	4.72	792813	2317138	Python3	VilBoub	
3	4.37	3464590	2638271	Java	abbecool	
3	4.27	2455616	2334816	Java	JeanClaude44	
3	3.56	420785	2309601	Java	Max52	
