League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=15,time=2022-07-27 00:30:11
0	35.13	2311105	4406422	C++	kovi	
0	32.17	4989275	4392104	Python3	Gizeh	
0	29.61	3235897	4406457	Java	Zylo	
0	24.8	2290633	4320773	Python3	field3	
0	17.25	1412263	4298150	PHP	PatrickMcGinnisII	
0	14.73	862919	4393143	C++	Astrobytes	
0	14.64	3647844	4291376	Python3	rc95401	
0	13.11	3569066	4393064	Lua	derjack	
0	12.12	2069141	4291328	C#	tomeko	
0	11.92	4277867	4403874	D	About	
0	11.88	3136787	4395368	Swift	jacek	
0	11.81	1713174	4371925	Python3	BigUP	
0	11.78	4626700	4370989	PHP	JohnyDarecek	
0	11.72	3354337	4289778	Python3	Westicles	
0	9.59	3274956	4294132	Java	LeProfesseur	
