League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=1181,time=2019-10-26 05:10:48
6	26.35	1400179	2086196	C++	reCurse	
6	25.7	2577687	2086094	C++	blasterpoard	
6	25.66	1841051	2086085	C++	Alpacah	
6	25.63	154984	2086120	C++	_Royale	
6	25.29	2288263	2086106	Java	dbdr	
6	25	2522090	2086108	C#	MSmits	
6	24.94	2725066	2119940	C#	Cize	
6	24.89	1549145	2086123	C++	Mealc	
6	24.85	869239	2086112	C++	Vingte	
6	24.72	2311105	2116407	C++	kovi	
6	24.69	909153	2086103	C++	Coac	
6	24.69	1341520	2086083	C	egaetan	
6	24.44	1629259	2429744	C++	Marchete	
6	24.44	351062	2086098	C++	Neumann	
6	24.35	2254195	2094872	Java	BrunoFelthes	
6	24.34	1500515	2086087	C#	eulerscheZahl	
6	24.29	154312	2411946	Java	ThomasNicoullaud	
6	24.26	1049935	2086096	C++	Azkellas	
6	24.22	1853956	2086126	PHP	Nkoyan	
6	23.95	1896128	2086118	Python3	Vhanire	
6	23.76	2720216	2086121	Kotlin	ilgiocatore	
6	23.67	1194069	2455172	Java	Redstrike	
6	23.67	1372349	2086113	Java	NinjaDoggy	
6	23.52	1944726	2086122	C++	bourgeof	
6	23.39	3302133	2459142	C++	runaldis	
6	23.32	2961042	2570999	C++	ersol	
6	23.26	2771065	2086100	C++	JHBonarius	
6	23.25	1335230	2087209	C++	jft63	
6	23.24	212028	2086099	Java	GHenry	
6	23.22	1854246	2086105	C++	Counterbalance	
6	23.16	815488	2086129	Java	Seti	
6	23.09	2711438	2086128	Python3	Aeneas	
6	23.07	524638	2086082	C++	miklla	
6	23.05	1675487	2086109	C	PED	
6	23.03	3487429	2508162	C++	Lestiar	
6	22.97	198916	2086081	Java	WhatTrickeryIsThis	
6	22.94	2086052	2291370	C#	Lks10	
6	22.86	2741162	2086184	Kotlin	YannT	
6	22.85	1186250	2206462	Python3	Gabbek	
6	22.83	736075	2086124	C++	Xyze	
6	22.73	868898	2356978	C++	LH	
6	22.67	2590474	2086090	Python3	LMaximus	
6	22.62	868896	2357027	C++	Arn	
6	22.47	2923506	2496068	C++	darkhorse64	
6	22.42	226528	2112025	Java	Manwe	
6	22.35	1903031	2089133	C++	hard-coded	
6	22.35	2683085	2086125	C#	estoev	
