League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=6825,time=2022-05-30 00:30:23
5	35.94	3379871	3985659	C	Bitse	
5	35.22	3348388	3516552	C++	bowwowforeach	
5	33.53	1194069	4294313	C++	Redstrike	
5	32.14	1059122	762030	C++	g2lm	
5	31.25	3457031	4294824	C++	YurkovAS	
5	30.8	1076632	4269635	C	Chen	
5	30.7	820000	2839554	C++	ValGrowth	
5	30.07	832306	2842176	C++	pb4	
5	29.96	1673971	1228339	Java	Lanken	
5	29.8	668954	1431021	C++	Fluxor	
5	29.64	448075	654182	Java	Rix	
5	29.56	3203557	2262759	C++	burnpanck	
5	29.45	403748	654211	Java	[CG]SaiksyApo	
5	29.15	318643	3749649	C++	Sherwood	
5	28.99	2924895	3900681	C	trictrac	
5	28.91	2254195	1751822	Java	BrunoFelthes	
5	28.88	935802	654152	Java	Jerhyn	
5	28.83	1629259	3749197	C++	Marchete	
5	28.81	4037601	3962546	C++	Jelafo	
5	28.56	2113933	1411820	Java	Selektdik	
5	28.37	2508635	2757657	Java	hemhel	
5	28.33	154312	2694432	Java	ThomasNicoullaud	
5	28.28	3533119	4300048	C++	wlesavo	
5	28.22	1757536	2704115	C++	BlueGhost31	
5	28.16	2074286	1419548	Java	Selindek	
5	28.13	524638	899202	C++	miklla	
5	28.1	241401	654193	C++	Nozomi	
5	28.09	351062	2835926	C++	Neumann	
5	28.08	1415495	1601690	C	fenrir	
5	28.07	1201796	1323505	C++	P.Greze	
5	28.05	3335896	4043906	C++	_martynas	
5	28.03	770792	1440834	C++	T.H.	
5	28.01	1487392	2846227	Java	Razielwar	
5	28	1314316	3520323	C++	jolindien	
5	27.99	155924	666163	C++	yvesmocq	
5	27.99	1438020	2604000	Java	InsomniaRide	
5	27.86	269386	654169	C++	fayr	
5	27.85	271945	3970269	C++	aangairbender	
5	27.58	735910	2594632	C++	Agade	
5	27.48	502798	2705904	C++	thunder	
5	27.11	638784	662396	C++	Yqnn	
5	27.11	226528	654165	C++	Manwe	
5	27.08	4318077	3964001	Python3	Kiri8128	
5	27.07	1931039	1173793	C#	MooMooN	
5	27.01	1500515	1642000	C#	eulerscheZahl	
5	26.8	4057477	4305259	Java	Polilla	
5	26.78	193315	2152339	Java	hau	
5	26.54	2968035	3386271	C++	DomiKo	
5	26.17	2077458	2224715	Javascript	Ragi	
5	26.16	805067	2058258	C++	Magus	
5	25.98	3819989	3530206	C++	KawattaTaido	
5	25.67	1477622	986772	C#	zrdon	
5	25.65	844085	3046427	C++	kyopro_otk	
5	25.61	421432	3784970	C++	sherwood2	
5	25.57	227178	654172	C++	MonsieurV	
5	25.41	1636241	805204	C++	aprilis	
5	25.21	154984	2610757	C++	_Royale	
5	25.11	1757792	1423104	Java	oreshnik	
5	25.06	2077064	1516006	Java	GamingKing	
5	25	2490008	3993849	C++	ebicochineal	
5	24.87	153425	654218	Go	cho	
5	24.85	1629225	3132766	F#	gsomix	
5	24.81	893541	3752191	Java	wala	
5	24.77	3741527	3779794	C++	goolmoos	
5	24.72	1036012	2588989	Haskell	Chahine	
5	24.72	1163138	2345534	C++	Vince85	
5	24.69	153327	654199	C++	Ayb.BH	
5	24.67	3738782	3964673	Rust	Inaniwa	
5	24.65	3380514	2469508	Java	DFrese	
5	24.64	1336464	959699	C++	magaiti	
5	24.63	3914756	3351046	Rust	RheoTommy	
5	24.59	2378983	3317993	Java	jonip	
5	24.58	1022925	1411601	C++	Adrien.	
5	24.57	1100614	654185	Java	ppeetteerr	
5	24.56	3235897	3708032	Java	Zylo	
5	24.5	4334237	4257059	Javascript	BJD	
5	24.44	1097801	3933887	Python3	Noobmaster69	
5	24.39	201919	654151	C++	LouJo	
5	24.39	2288263	3536227	Rust	dbdr	
5	24.37	2797139	2027014	C++	BAC	
5	24.33	1001096	1416046	C#	MyIIone	
5	24.33	926124	2088633	C++	Beerus	
5	24.33	1206537	2054806	C	MadKnight	
5	24.32	1114698	3318655	Java	xiaohouzi	
5	24.31	831033	3770443	C#	Nuk3nS3rv3	
5	24.31	3795745	3995749	Javascript	Soboku	
5	24.29	2407994	2653514	C	EliasHasle	
5	24.28	331880	1108800	Scala	Monstruo	
5	24.27	1241573	654190	C++	Antoad	
5	24.27	2007852	3981829	Go	Zorg1	
5	24.27	1175343	654205	C++	Hankerspace	
5	24.22	312940	806482	C++	Kostka	
5	24.21	2350846	2178050	C++	DrBloodmoney	
5	24.19	1489865	974083	C++	EricSMSO	
5	24.18	1350070	2535496	Rust	aPeronnet	
5	24.16	1968855	3813300	C	ThePurificator	
5	24.16	1898847	2090418	C	faga	
5	24.15	527749	1428784	Go	Pds	
5	24.13	2998967	3709743	TypeScript	Gilde	
5	24.12	1673512	2369853	C++	Ryoken	
5	24.1	1921687	3745191	Python3	Black-Born	
5	24.09	4154326	3431060	Go	montplusa	
5	24.08	1347650	2405405	C++	T-Dup	
5	24.03	1344487	3708526	C++	UnnamedCodinGamer	
5	24.02	1716299	1424539	C++	micky924	
5	23.99	378761	654198	C#	Lure01	
5	23.94	1498163	1513776	C	Ben-oit	
5	23.78	1838612	3435732	Go	statiolake	
5	23.76	1607522	1606215	Go	RoboStac	
5	23.72	826372	1622377	Java	skyyker	
5	23.71	4229382	3493065	Javascript	ClawLegend	
5	23.71	212028	654212	Java	GHenry	
5	23.51	1321243	1061116	C++	PierreBizeul	
5	23.5	4264673	3526729	Python3	ozozpa	
5	23.48	837350	1669906	Go	BorisZ	
5	23.46	1846419	1224363	C++	XavM	
5	23.46	155939	654215	C	xylo	
5	23.41	4126618	3999176	Python3	Captain_Future	
5	23.39	1673335	3120774	C++	LoGos	
5	23.36	3433608	2582130	Rust	altazar	
5	23.29	464971	654160	C++	PsyGuy66	
5	23.26	1131528	654176	C#	Owl	
5	23.26	153962	1653646	Java	[CG]XorMode	
5	23.21	1400179	1301512	C++	reCurse	
5	23.19	1897660	2640079	Scala	[hingra_f]Yama_	
5	23.18	840626	654194	C	bl_kelby	
5	23.17	1071140	656275	C#	BeberLeNewbie	
5	23.15	2796161	2025304	C++	RuslanGabbasov	
5	23.13	1258533	1108157	Python3	MathJason	
5	23.11	2193494	1473477	C++	ta_ta	
5	23.1	315237	2599780	C#	Loran75	
5	23.09	3721214	4081599	C++	jrke	
5	23.05	1752518	2218991	Java	akirender	
5	23.02	2590149	2475820	C++	GoofyGas	
5	23.02	1480501	2420133	C++	DaFish	
5	22.97	2386035	3124625	C++	Samsonov	
5	22.9	1629241	936575	Java	DeVan	
5	22.9	224044	654171	Javascript	sokol815	
5	22.89	484004	1481422	C#	aCat	
5	22.89	1176700	654216	C++	HL	
5	22.88	1335230	2000052	C++	jft63	
5	22.85	1737246	967439	Java	Adam798	
5	22.84	226115	762478	C++	Nergal	
5	22.83	2796112	2026482	C++	CarbageGollector	
5	22.83	2219293	1618083	Python	DeWitt	
5	22.83	2233179	1754580	C++	Samsa	
5	22.82	3438547	2482237	C	tonypo	
5	22.82	204022	1313569	Java	max8774	
5	22.81	2002555	1407311	C++	MAXN	
5	22.8	1353669	1415506	Python3	XAnimaX	
5	22.79	1863217	1097674	C	Draradech	
5	22.76	1903031	1758600	C++	hard-coded	
5	22.73	1567943	3835916	C++	LazyMammal	
5	22.7	1342745	2673025	C++	Catiminie	
5	22.62	1832570	1424622	Javascript	zeprone	
5	22.59	3959718	3091124	C++	Airgo1	
5	22.57	3820241	4080512	C#	g4np0n	
5	22.56	1049935	2211708	C++	Azkellas	
5	22.51	833606	654566	Java	mattrero	
5	22.46	315887	654150	C++	NicolasPi	
5	22.39	629655	654210	C++	Wolden-Dans	
5	22.35	302495	3356696	C++	OhmatheusVolt	
5	22.35	3443513	2482393	Java	serg-v	
5	22.31	3436443	3674261	C++	Mazelcop	
5	22.29	2295548	2640826	Rust	banban	
5	22.27	1304583	1127754	PHP	eltharin	
5	22.27	1211965	928485	C++	B0b	
5	22.16	279452	654191	C++	mangoose	
5	22.11	3533314	3931587	C#	skotz	
5	22.09	3657691	3018673	Python3	D3structor	
5	22.02	4481912	4130916	Python3	Dr_Monkey	
5	21.98	3498674	3876955	C++	Sko0owi	
5	21.95	3670631	3678719	Python3	merlleu	
5	21.89	1854639	3002175	C#	iDxMeG	
5	21.87	3689483	2687774	C++	Rd211	
5	21.87	1634682	805673	Python3	Ts	
5	21.83	4135941	3384747	C++	Darkosss	
5	21.76	735487	2832854	C++	amurushkin	
5	21.76	1034499	3495820	C#	DOS	
5	21.76	3971358	4305306	C++	OldJohn	
5	21.73	371603	1578878	C++	martin	
5	21.71	1478781	1319900	C++	maxim1000	
5	21.71	1846783	1218120	C++	tamas.kenez	
5	21.7	1687064	1405504	C++	JBoulic	
5	21.7	3527657	2704495	Python3	AT274	
5	21.69	1889170	1389136	C++	mvujas	
5	21.69	3918583	3771759	Rust	mikmak	
5	21.69	1064903	2579299	C++	Ghirtor	
5	21.67	2496487	1849243	C++	Wachikoki	
5	21.67	1488729	3451119	C++	samrrr	
5	21.66	1539245	3015784	Python3	Riduidel	
5	21.61	3770928	3292281	C++	ku-haku	
5	21.59	879946	668160	C++	Loghorn	
5	21.59	1360485	654186	C++	ileasile	
5	21.59	3667476	3678791	Python3	attendezsvp	
5	21.57	1634667	803641	Python3	aja	
5	21.57	1753925	1450618	Java	Wildcat	
5	21.56	1529191	664820	C++	qba	
5	21.52	938449	654206	Python	GalaxyNET	
5	21.51	668906	654196	Java	Sandworm	
5	21.51	706692	2840915	Java	alexhap	
5	21.48	1245647	1508407	C++	[CPC]Herbert	
5	21.46	1307473	2475322	C++	Evgenykz	
5	21.45	4147861	3883916	Javascript	FelixRichter2000	
5	21.43	153557	1731954	C++	ISMAX	
5	21.42	2498058	1850801	C++	akouryy	
5	21.42	1636557	805950	Python3	smalik	
5	21.41	1340666	654173	C#	Pred4c3	
5	21.4	1646609	801932	C++	Goovie	
5	21.39	2923506	2438312	C++	darkhorse64	
5	21.36	1339675	654187	Python	SR4	
5	21.33	153774	1323354	C++	cocoche007	
5	21.33	3983017	3341693	Python3	TLbuis	
5	21.27	854952	1316461	Java	dolmen1234	
5	21.25	4262172	3996634	C++	highjump	
5	21.23	1479930	2266319	C++	LeRenard	
5	21.23	2161717	1491938	C#	elro	
5	21.22	855492	1325713	Go	Erk	
5	21.19	155774	3778821	C++	dwarfie	
5	21.19	4334077	4036119	Go	Paul_Demanze	
5	21.18	224676	2702731	Python3	Jin66	
5	21.17	1481384	986955	Java	Ethaniael	
5	21.16	270479	654158	Javascript	jpfoucault	
5	21.15	1065845	1308791	Ruby	Oli8	
5	21.15	854169	1593787	C++	Silmaen	
5	21.15	1034338	654195	Python	Galilleos	
5	21.14	1457162	2055825	C++	JFB	
5	21.13	3726978	3003906	C++	VirtualAtom	
5	21.11	463873	654223	Python3	tanakat01	
5	21.11	857521	1324674	C#	MrAnderson	
5	21.1	1650579	804984	C++	aerletalis	
5	21.1	2259761	2993774	Python3	ReborN	
5	21.07	1530051	1422048	C++	UlYoP	
5	21.05	2143315	3093373	Python3	FluffyToaster	
5	21.04	2781726	2619710	Java	June1664	
5	21.03	1378958	1493509	C#	Illedan	
5	21.03	1642369	806021	Python3	zyks	
5	21.02	273285	654200	Java	paradoxe	
5	21.01	1566335	2606565	Python3	BeardedWhale	
5	21.01	1309084	3975993	Rust	rewin123	
5	20.95	307151	2171945	Java	EmmanuelAsfar	
5	20.91	806157	667216	C++	Aveuh	
5	20.89	4081634	4280920	C++	Wontonimo	
5	20.87	972894	1604998	Python	resty-daze	
5	20.87	1114834	2333532	Python3	k4ng0u	
5	20.87	4646174	3931356	C++	Manit81	
5	20.86	1195031	1390233	C++	Nekto	
5	20.77	1644437	806859	C++	SurfDog	
5	20.76	888898	1627489	C++	helgui	
5	20.76	1305374	1471385	PHP	Frankich	
5	20.72	1470927	3818655	C++	MisterQuidam	
5	20.72	512097	1514287	Haskell	Stilgart	
5	20.7	1195467	2213938	Python3	Etienne38	
5	20.69	425462	1574221	Java	Azt-yur	
5	20.68	1815974	1408313	C#	tvv766	
5	20.68	3339264	3872545	Python3	VALI	
5	20.68	3667473	3699750	Python3	K2ARISM	
5	20.67	1854731	1597362	C#	Solringen	
5	20.64	2108168	1444114	C++	ElMoMo	
5	20.59	1485015	1514761	C++	Murky	
5	20.59	2979432	2137187	Java	freeeeeze	
5	20.57	1353795	1932601	C++	TheCrucial	
5	20.57	1713768	2316120	C++	aLagoG	
5	20.56	1158238	893305	Python3	Veka	
5	20.56	1273065	1501318	C++	TheRadical	
5	20.55	3443015	3155068	C	Wozniak	
5	20.55	614215	2336898	Python3	Jo	
5	20.54	1100752	785183	C++	ValNykol	
5	20.54	4073854	4002258	Javascript	Buk.	
5	20.53	4197473	3438276	Java	ErwinOlie	
5	20.53	2536589	3861069	Java	mjfcolas	
5	20.52	1518015	2420359	C++	peterzheng	
5	20.51	1140027	986164	Ruby	theBee	
5	20.51	3683265	2704122	C++	Bondo416	
5	20.51	334434	1730181	Java	Rajh	
5	20.5	1176904	3818656	C++	MickaDelamarePhD	
5	20.49	1637600	802910	C++	PiotrP	
5	20.46	4286679	3733486	C++	fungi_star	
5	20.45	1387149	2839479	C++	daisyo	
5	20.44	1666441	943554	C++	ilostmypen	
5	20.37	1106450	1577308	C++	RiSuS	
5	20.33	3433185	2613902	Javascript	valentin-nemcev	
5	20.32	3085375	4278582	C++	FE40536	
5	20.24	862919	3875756	C++	Astrobytes	
5	20.23	3525167	4045457	C++	fgsdt	
5	20.2	839280	654170	Haskell	Jseph	
5	20.17	497454	978381	Java	SheldonX	
5	20.16	1949851	1308942	Go	gollariel	
5	20.14	300142	654180	C++	oyefremov	
5	20.13	1233581	3796655	C++	Hastings	
5	20.13	1879795	1213296	Java	Speekha	
5	20.11	1920279	3092407	C++	Titic91	
5	20.07	4904564	4304820	C++	kashee337	
5	20.01	1584802	1495333	C++	emh	
5	19.99	3845610	3966456	Python3	pardouin	
5	19.95	1642932	4011144	Java	Durkin	
5	19.93	1331143	3937661	Javascript	Alois.S	
5	19.92	1152991	3873537	C#	xoposhiy	
5	19.74	1792532	2429693	C#	Zanbez	
5	19.73	1934206	1132912	Javascript	HappyTeam	
5	19.73	1714338	1562210	Go	cobase2010	
5	19.68	1718945	1219221	Python3	ilovebugs	
5	19.67	4423522	3799235	Javascript	maderovs	
5	19.67	3603492	3721806	Javascript	LeviosDrake	
5	19.66	1841051	1777191	Python3	0xbeefed	
5	19.65	792813	3991557	Python3	VilBoub	
5	19.63	2060993	1942887	Java	Nabaki	
5	19.63	4341304	4039173	Javascript	Remi.	
5	19.62	934212	805429	C++	Darge	
5	19.61	3928554	3095953	Javascript	ScorchingEagle	
5	19.61	2691011	3757117	Javascript	Lupindu94	
5	19.61	3657937	3116725	Python3	elderlybeginner	
5	19.59	4778025	4301975	C++	MGTRFELIPEURREGO	
5	19.57	1568785	962645	C	Chalzy	
5	19.57	1942089	1172572	Java	Coding_Cruche	
5	19.56	1034635	654227	C++	SlyB	
5	19.56	1382430	2440373	C	Takenoko	
5	19.56	1734105	2256996	Python3	Bibou	
5	19.56	1014684	2060073	Java	Zola75	
5	19.55	1691466	894351	Python3	HelloFromRussia	
5	19.54	3569691	3030615	Javascript	KndrSrprizzz	
5	19.54	4230205	3470658	Java	forsythe1	
5	19.53	3621426	2657097	Python3	IgorReshetnyak	
5	19.53	1369164	1617523	C++	Crawford	
5	19.53	4377648	3727765	Javascript	Salguero	
5	19.53	1238934	2495652	C++	accorp	
5	19.51	829018	2999994	C++	alchemsti	
5	19.51	3875898	3088088	Javascript	sehno	
5	19.5	1073247	3851360	C++	_NikJ	
5	19.5	1109979	4299670	C++	Gloopy	
5	19.5	3023750	3757116	Javascript	val-6680	
5	19.49	2472606	3018333	Javascript	MehdiTouil	
5	19.49	848394	3332810	Java	schwarzahl	
5	19.48	1639727	805064	C++	igr	
5	19.48	1060181	2081962	Ruby	Dabou	
5	19.48	1077559	2453705	Java	PhOeNyX	
5	19.47	1066028	1317807	Ruby	JrmC	
5	19.45	2104313	4284431	C++	TomPouce	
5	19.41	588426	654166	C++	Jeff06	
5	19.4	1436764	1108683	Python3	Djuls-NYC	
5	19.39	1649305	805060	Python3	fulaphex	
5	19.38	1807733	3401772	Python3	NoZ-	
5	19.36	1759839	2306706	Python3	matleg	
5	19.35	1523279	2620535	C++	morttar	
5	19.3	3011883	3353350	Javascript	Ruddch	
5	19.3	1579042	3879092	Javascript	Hulous	
5	19.29	2416641	3040968	C++	Zenoscave	
5	19.28	1607034	2996203	Rust	tomatoes	
5	19.27	1754295	2837182	C++	SF	
5	19.24	1519989	3672476	Python3	a5kin	
5	19.24	1172955	3477531	Java	aabzac	
5	19.22	3060932	2989658	Java	boumagik	
5	19.2	1643520	797648	C++	RippeR	
