League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2314,time=2021-10-18 00:46:42
6	31.74	832306	1609932	C++	pb4	
6	31.45	1607522	1862549	C++	RoboStac	
6	30.56	1452472	1611370	C++	Daporan	
6	29.93	950512	1641666	C++	salim.aboubacar	
6	28.87	1082988	1609937	C++	Saelyos	
6	28.82	1378958	2602204	C#	Illedan	
6	28.45	1050159	1637710	C	speedloop	
6	28.34	735910	1609938	C++	Agade	
6	28.06	1273065	1609930	C++	TheRadical	
6	27.76	1479930	1655843	C++	LeRenard	
6	27.47	1818159	1609954	C++	JRFerguson	
6	27.06	154984	1609931	C++	_Royale	
6	26.87	1489865	1618609	C++	EricSMSO	
6	26.73	351062	1614394	C++	Neumann	
6	26.67	1201796	2051950	C++	P.Greze	
6	26.55	1034635	1619893	C++	SlyB	
6	26.54	1944726	2602825	C++	bourgeof	
6	26.23	1803061	3863310	C++	SmokingJoe	
6	26.16	1629259	2544083	C++	Marchete	
6	25.87	1854731	1610977	C#	Solringen	
6	25.76	1714338	1610790	C++	cobase2010	
6	25.73	2386035	2098634	C++	Samsonov	
6	25.6	1415495	1610049	C	fenrir	
6	25.51	1500515	2855859	C#	eulerscheZahl	
6	25.32	1566335	2591673	Java	BeardedWhale	
6	24.96	1341520	1659925	C	egaetan	
6	24.79	893541	3713745	Java	wala	
6	24.4	2254195	1642823	Java	BrunoFelthes	
6	24.26	1106450	1610032	C++	RiSuS	
6	24.22	805067	1617290	C++	Magus	
6	23.79	1728326	1853313	Ruby	yduf	
6	23.51	2924895	2994225	C	trictrac	
6	23.48	610934	1610050	C++	y_kawano	
6	23.44	1071140	1867600	C++	BeberLeNewbie	
6	23.42	335954	1736649	Java	nmahoude	
6	23.19	1206537	1624866	C++	MadKnight	
6	22.06	1335230	1759321	Java	jft63	
6	21.63	1518732	3043485	Rust	Apfeloxid	
6	11.36	736075	1841910	C++	Xyze	
6	11.04	1235673	1613428	C++	Lirkin	
6	9.5	1606588	3147648	C++	inoryy	
5	28.25	1314316	2219459	C++	jolindien	
5	27.95	524638	1603766	C++	miklla	
5	27.74	1712648	1730987	C++	luckyy	
5	27.17	841085	1606922	C#	Risen	
5	27.11	1877348	1603789	C++	harshch000	
5	26.27	1687064	1603737	C++	JBoulic	
5	25.94	403748	1627002	Java	[CG]SaiksyApo	
5	25.9	1671658	1878595	C++	Kirbiby	
5	25.82	1481544	1603738	C++	ZarthaxX	
5	25.47	512097	2460126	Haskell	Stilgart	
5	25.33	1487392	1671325	Java	Razielwar	
5	25.29	1369164	1619071	C++	Crawford	
5	25.07	3918583	3737925	Rust	mikmak	
5	25.04	1194069	1937694	Java	Redstrike	
5	24.85	1306541	1603717	C++	Steuh	
5	24.8	1806741	1608376	C#	TheDayIsMyEnemy	
5	24.66	2242201	2830443	C++	Maryan	
5	24.61	232528	1642525	C++	cegprakash	
5	24.52	1754295	1603773	Java	SF	
5	24.35	1064903	2031709	C++	Ghirtor	
5	24.22	3513265	3381147	C++	DaNinja	
5	24.19	1195031	1844061	C++	Nekto	
5	24.14	3622757	3349491	C++	anid	
5	23.87	2219293	2489574	C++	DeWitt	
5	23.77	1898847	1610034	C	faga	
5	23.55	1568785	1603725	C	Chalzy	
5	23.53	939530	1964156	Java	Jahz	
5	23.38	1018816	1603763	C#	Dartmoor	
5	23.28	1876721	2688167	C++	poInT	
5	23.14	1169499	2260685	C++	naab	
5	22.26	815488	1603796	Java	Seti	
5	22.24	1378399	1603748	C++	DN38416	
5	22.17	886483	1612351	C	R4N4R4M4	
5	22.16	1347650	1676485	C++	T-Dup	
5	22.14	1854246	1603790	C++	Counterbalance	
5	22.08	1616071	1607113	Java	Cyberpunk	
5	22.05	1676711	1770644	C++	Eeeval	
5	22.04	734401	1603720	C++	b0n5a1	
5	22.01	196808	1603780	Java	bonam	
5	21.71	331880	3832548	Kotlin	Monstruo	
5	21.66	599629	1603719	C#	robwaw	
5	21.57	1830625	1607287	C#	-Rutger-	
5	21.48	1498163	1676870	Java	Ben-oit	
5	21.38	1853956	1603747	PHP	yoannk	
5	21.34	1931824	1619851	Java	Litops	
5	21.3	1477622	1603800	C#	zrdon	
5	21.28	2299716	1603744	C++	striker_-	
5	21.19	1022925	1603741	C++	Adrien.	
5	21.18	1861852	1608833	Javascript	Cramer	
5	21.17	153683	1603788	Java	40R15T3	
5	21.16	1457162	1611330	C++	JFB	
5	21.16	2288263	1937971	Java	dbdr	
5	21.04	1583206	1618853	C++	simspok	
5	20.79	826372	1603784	Java	skyyker	
5	20.79	1498442	1603810	Javascript	NSzx	
5	20.74	1167615	1610163	C#	TylerDurden	
5	20.73	1502908	1603768	C++	selujum	
5	20.72	2043908	2465028	Java	AntiSquid	
5	20.72	1152991	1603795	C#	xoposhiy	
5	20.72	2311105	2668824	C++	kovi	
5	20.71	3235897	3506773	Java	Zylo	
5	20.71	1485015	1603734	C++	Murky	
5	20.69	2092746	1844746	Python3	donjo	
5	20.64	1399382	1617301	C#	Regulus136	
5	20.59	1046623	1604864	Java	the_pins	
5	20.54	646741	1664361	C++	Polack77	
5	20.52	837350	1605750	Ruby	BorisZ	
5	20.52	1864870	1603767	C++	SiR_Jonny	
5	20.5	788361	1603721	C++	Bob	
5	20.48	1981732	1604467	F#	MJS	
5	20.48	490588	1603752	Python3	Uljahn	
5	20.32	3921345	3115511	Java	JFP81	
5	20.3	1093968	3353608	C++	milosMATRIXrepic	
5	20.27	844968	1734859	Python3	MoMaT	
5	20.25	2093395	1738796	Java	VadimKuznetsov	
5	20.24	1245243	1603812	Javascript	Clement134	
5	20.23	1343111	1603760	Javascript	Thal	
5	20.19	3477977	2661593	Java	Coder1005	
5	20.18	1163138	2617303	Java	Vince85	
5	20.15	1470927	3799569	Java	ClementAvenel	
5	20.14	1792429	1605735	Java	Wildum	
5	20.13	834202	1603742	C#	Racso	
5	20.13	2397478	1616299	Java	charlesfranciscodev	
5	20.12	1733593	2657801	Scala	Wei-1	
5	20.05	2255187	2497193	Java	rom_02	
5	20.03	3807227	3018441	Java	GaryAflalo	
5	20.01	1238934	1611172	C++	accorp	
5	19.96	1353669	1616784	Python3	XAnimaX	
5	19.94	1611699	1775594	C++	EpiFlop	
5	19.92	1066745	2637723	Java	DepartmentOfRedundancy	
5	19.92	2055377	1859870	Python3	Covfefe	
5	19.9	2006324	1774197	Java	SihardeOussama	
5	19.86	2762653	2121981	Java	RAAAT	
5	19.86	1354295	3034687	Java	AbdullahKhawer	
5	19.85	1495394	1603783	C#	qwerty_42	
5	19.85	2207299	1604221	Python3	sjwilczyn	
5	19.82	1829569	1863435	Java	[0___0]	
5	19.81	372468	1603793	Go	MadBot4577	
5	19.8	1716299	1603809	C++	micky924	
5	19.79	3489223	3434457	Javascript	KarloHubai	
5	19.75	1480384	1603724	C++	RockyMullet	
5	19.74	3973359	3503878	Java	KAbel	
5	19.73	1784938	1692501	C#	Julius2k17	
5	19.72	2257079	1604866	Python3	MartinVN	
5	19.68	2401888	1846265	Python3	RubberDuck	
5	19.67	1307473	2587661	Java	Evgenykz	
5	19.67	4395858	3791012	Java	SaidAouani	
5	19.66	1322306	1666643	Python3	oTrygve	
5	19.66	2786666	2691832	C++	TetraktysPhi	
5	19.63	3689286	2698390	Java	CedricML	
5	19.62	2133361	1738851	Java	VadimKuznetsov1	
5	19.59	1485989	1606243	Python3	ReActiveNZ	
5	19.57	1756952	1642681	C++	Petras	
5	19.56	3136787	3500229	Java	jacek	
5	19.54	2282882	2635137	Java	SajidP	
5	19.54	1767130	1671151	C++	Binome38	
5	19.54	1845617	2304905	C#	Shingy	
5	19.52	3293190	2735147	Java	lhm	
5	19.49	1965790	1603750	C++	Fablu	
5	19.46	4334077	3708374	Java	Paul_Demanze	
5	19.44	4018953	3156230	Java	zTTK	
5	19.41	925695	2679632	OCaml	Boulet	
5	19.39	4075986	3356560	Java	Babadude	
5	19.38	1333869	1619850	Python3	kiwijam	
