League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=11,time=2021-04-05 00:32:49
2	50.32	3903473	3486948	Python3	Konstant	
2	50.11	2924895	3487160	C	trictrac	
2	47.32	311035	3487500	Python3	leojean890	
2	40.88	2290633	3487148	Python3	field3	
2	36.05	3136787	3485695	C++	jacek	
2	31.97	3721214	3485981	Java	jrke	
2	10.71	862919	3486740	C++	Astrobytes	
1	4.98	1245243	3487147	TypeScript	Clement134	
1	-5.7	4251195	3484995	Java	Smelty	
0	0.07	1713174	3485692	Python3	BigUP	
0	-0.22	2043908	3484796	D	AntiSquid	
