League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=99,time=2022-08-11 00:30:03
1	46.48	3136787	3927227	C++	jacek	
1	41.13	2924895	3865262	C	trictrac	
1	40.19	1489865	3926313	C++	EricSMSO	
1	39.35	692440	3972824	Kotlin	Opharion	
1	37.79	1479930	3927734	C++	LeRenard	
1	35.94	1489108	3926479	Python3	adri	
1	34.18	3839774	3953895	Rust	gurvan_lullien	
1	34.08	4595779	3930517	Haskell	wmarkham	
1	33.94	4595389	3924390	Python3	Yatagan	
1	33.82	4037601	3942340	C++	Jelafo	
1	31.48	1861258	4312457	Rust	Nazdhun	
1	31.01	3647844	4279600	Python3	rc95401	
1	29.52	3242055	3930388	Python3	muchaco	
1	29.18	2290633	3867873	Python3	field3	
1	27.61	698840	3955639	C	MiP	
1	27.43	1775651	3954043	Kotlin	sacrator	
1	26.99	4576463	3923749	Python3	Didelabedeli	
1	26.93	1493634	3930888	C#	PatrikNordelind	
1	26.86	311035	4286518	Python3	leojean890	
1	26.75	4630154	3981705	Python3	PatrykJagielski	
1	26.45	4638194	3949125	C++	rafbiels	
1	26.44	4656633	3972162	Swift	Mave1	
1	26.28	3556476	3929745	C++	YohanC	
1	26.24	4075529	3930448	Python3	twoeyes	
1	25.97	973040	3874598	F#	papyjo	
1	25.88	706239	3940269	TypeScript	oetker	
1	25.83	1910916	3870714	C#	VivienBillot	
1	25.69	4670509	3954353	Java	smartina	
1	24.88	3563934	4312794	C#	ChuckTheNinja	
1	24.34	4629661	3933848	Python3	Sraffy758	
1	24.12	1676711	3929967	Java	Eeeval	
1	24.05	3586725	3930300	PHP	obrozer	
1	23.8	241945	3967710	Python3	Coryolis	
1	23.21	3513265	3927949	Javascript	DaNinja	
1	23.13	4390912	3928032	Python3	Benoit_Belasco	
1	23.07	4592681	3923075	C#	Urutar	
1	23.05	862919	3864059	C++	Astrobytes	
1	23.03	4539584	3930337	Python3	wearyArtist	
1	22.92	2793377	3941321	Java	MixWit	
1	22.23	4211056	3966302	C#	Nachosauce	
1	22.08	2522090	3923697	C++	MSmits	
1	22.02	4570242	3924751	C#	Milanovich	
1	21.99	3889167	3931371	Python3	Ofidomundo	
1	21.45	3342685	3924557	Python3	Shownee	
1	21.11	1415738	3926182	Python3	MayB.	
1	20.79	1852554	3935013	C#	Rip	
1	20.5	3354337	4073010	C++	Westicles	
1	20.02	4085148	3940809	TypeScript	oppos	
1	19.99	1350974	3927440	PHP	Zyxx	
1	19.52	4607468	3924968	Java	kizymizy	
1	19.47	2709791	3924842	Python3	YOMar	
1	19.46	4528357	3927057	Java	Julian84	
1	19.45	3922731	3863852	Dart	Dartisan	
1	19.1	2887878	3926503	Javascript	Brodalee	
1	18.89	467193	3927102	Python3	pin72	
1	18.72	1947436	3930276	Python3	MoosPow	
1	18.29	4643728	3941698	Rust	Flaise	
1	18.05	1859646	3931657	F#	AlWerewolf	
1	17.94	254883	3930232	Kotlin	maksim	
1	17.54	1740037	3929799	Scala	ereiam	
1	17.33	3141948	3928539	Python3	philRG	
1	17.01	1607251	3922902	Javascript	baboulaf	
1	16.77	2863335	3923989	Python3	denkuc	
1	16.71	2217572	3923784	Python3	Ben9	
1	15.5	2557590	3926521	Python3	raaperrotta	
1	13.29	4428604	3931941	C#	Simsalagrim	
0	18.64	1713174	3876659	Python3	BigUP	
0	18.3	4564641	3922462	C++	GamingGnawer	
0	17.38	3569066	3864211	Python3	derjack	
0	17.23	2069141	4291402	C#	tomeko	
0	17	4277867	4403409	D	About	
0	16.71	4253866	3924406	C++	solebull	
0	15.77	4591407	3925335	TypeScript	phillyv	
0	15.39	1412263	3873265	PHP	PatrickMcGinnisII	
0	14.63	4073854	3922640	Python3	Buk.	
0	8.24	4517930	3936827	Python3	7EDJP	
0	7.01	4440083	3926124	C++	RobertBreck	
0	3.31	2325449	3992911	Perl	otpv	
0	3.01	4508271	3927954	Python3	Thorcode	
0	2.83	4357025	3922621	C++	orange_x	
0	2.65	484004	4397130	Rust	aCat	
0	2.13	4183089	3985047	Python3	PringleOrange	
0	2.11	4678100	3964910	Kotlin	Ray85	
0	1.93	901546	3929821	C++	Vinatorul	
0	1.83	4542899	3926603	Python3	Dren	
0	1.81	4626700	3955784	PHP	JohnyDarecek	
0	1.74	4636848	3923500	C#	ftsblkk	
0	1.54	4600536	3926137	Python3	UselessKafe	
0	1.53	3344383	4404120	C++	Czejoo	
0	1.33	4620126	3923943	Java	d000333	
0	1.11	4637500	3924500	Java	shengdi330	
0	1.05	2779063	4397217	Python3	LegendsOfCodeAndMagic	
0	1.04	4609276	3927992	Python3	ScArLeT05	
0	0.66	4282042	4397271	Java	aCatAI	
0	0.22	1883670	4398209	Javascript	radekmie	
0	-0.44	3372945	3925022	Python3	qpi	
0	-1.09	2976356	4405703	C++	magmasa	
0	-12.75	3897897	3927962	Python3	____Z_X_C____	
0	-14.73	2919788	3931454	Python3	Strg	
