League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=106,time=2021-01-09 02:37:10
1	41.19	2522090	3382764	C++	MSmits	
1	39.73	3971358	3382616	C	OldJohn	
1	38.52	3136787	3356764	C++	jacek	
1	35.63	154984	3374360	C++	_Royale	
1	33.94	2924895	3044901	C	trictrac	
1	33.24	1425201	3228625	Java	JamesPun	
1	33.13	2288263	3024723	Rust	dbdr	
1	31.67	1607034	3036522	Rust	tomatoes	
1	29.17	1607522	3377688	C++	RoboStac	
1	27.32	1479930	3029116	C++	LeRenard	
1	23.2	2968035	3035524	C++	DomiKo	
1	20.94	1673512	3048077	C++	Ryoken	
1	20.1	1489865	3019938	C++	EricSMSO	
1	20.02	839879	3079304	C#	Washier	
1	19.8	3513265	3035255	C++	DaNinja	
1	19.07	523185	3032747	Rust	Hjax	
1	18.98	2416641	3031468	C	Zenoscave	
1	18.21	2517057	3055001	C++	Edds	
1	18.07	811622	3042390	C++	Scarfield	
1	17.7	1077506	3143469	Go	gs2	
1	17.6	862919	3039303	C++	Astrobytes	
1	17.2	1629259	3029739	C++	Marchete	
1	15.95	820000	3132209	C++	ValGrowth	
1	15.86	2451652	3378160	Java	code_of_the_dead	
1	13.31	2923506	3355597	C++	darkhorse64	
1	12.9	1288527	3046800	C++	Snef	
1	12.11	1114834	3362720	C++	k4ng0u	
1	10.44	311035	3382853	C++	leojean890	
1	7.93	973040	3103413	C	papyjo	
1	7.19	2064637	3046796	Java	java_coffee_cup	
0	31.43	3721214	3384102	C++	jrke	
0	29.52	1479137	3100453	C++	lorenzods	
0	28.8	2290633	3058453	Python3	field3	
0	28.66	2562633	3339153	Python3	Nodascott	
0	28.61	1566335	3022377	Java	BeardedWhale	
0	28.13	3534078	3335617	C++	SelrahC-Twin	
0	27.52	4051354	3330350	Python3	tofue2o2t2	
0	26.48	3660819	3173191	Rust	BloodyTurtles	
0	25.16	4074553	3319027	Python3	coom_st	
0	24.4	4001756	3368908	Python3	SonExcellence	
0	24.12	3065352	3335587	C++	Arti1990	
0	23.99	436451	3371750	Go	piri	
0	23.29	3501027	3041694	C++	SteelSky	
0	22.44	1412263	3021225	PHP	PatrickMcGinnisII	
0	22.37	4063515	3327005	Python3	Mindme	
0	22.08	1753077	3087359	Python3	codingWhale	
0	21.7	1480384	3329244	C++	RockyMullet	
0	21.47	3841823	3019932	C#	hadesblade	
0	21.37	2050244	3012967	Python3	Cezuriku	
0	21.21	1886665	3031765	C++	Ficek	
0	20.92	3839737	3031777	C++	BlackOnWhite	
0	20.7	4058276	3204407	Python3	aatif_khan	
0	20.43	224325	3325321	Javascript	TidyMaze	
0	20.41	1484839	3029458	C++	sparky	
0	20.24	3477071	3128611	TypeScript	CookieMonster2703	
0	20.04	3732957	3155343	C#	Misinn	
0	19.97	3647844	3368733	C++	rc95401	
0	19.79	3622757	3357166	Python3	anid	
0	19.51	2007852	3012746	Lua	Zorg1	
0	19.08	3901571	3066366	Ruby	Koromo	
0	18.57	2532837	3053867	Ruby	fauresebast	
0	18.41	2833929	3067052	Python3	Pierre_C	
0	18.33	1523900	3031735	C++	marwin	
0	18.3	2592027	3025137	C#	ParticleBeam	
0	17.45	3922731	3362284	Dart	Dartisan	
0	16.69	1968089	3031971	C++	MarcinDus	
0	16.29	1468321	3032749	Java	vokuheila	
0	15.94	1378958	3013233	C#	Illedan	
0	15.8	3599907	3346830	Python3	aski	
0	15.61	1713174	3013680	Python3	BigUP	
0	15.58	3749793	3015866	Python3	WINWINWIN	
0	15.36	2508635	3013859	Java	hemhel	
0	15.36	3581724	3370443	Python3	ffgth	
0	15.15	3955301	3082498	Python3	SeptaCube	
0	15.1	4053693	3205383	Java	KS2003	
0	15	3305510	3110840	PHP	TBali	
0	14.72	3820540	3261517	C++	HitsujiRere	
0	14.64	889789	3016981	C	Alain-Delpuch	
0	14.58	3593941	3085753	Python3	Spielzeugente	
0	14.55	1194069	3117290	Java	Redstrike	
0	14.46	2069141	3014224	C#	tomeko	
0	14.29	3808031	3032315	Ruby	_proton	
0	14.18	2081550	3020449	Java	muy31	
0	14.01	158495	3077507	Javascript	Cr3aHal0	
0	13.49	3932077	3082627	Javascript	CopperFr	
0	13.08	1830993	3065361	C#	jpcheck	
0	12.86	2043908	3150406	Python3	AntiSquid	
0	12.61	1540478	3032959	Java	struct	
0	12.54	3646346	3081060	PHP	Pingwi85	
0	12.5	1931039	3325607	TypeScript	MooMooN	
0	12.24	3751016	3157313	Javascript	Q12	
0	11.41	3818338	3151429	Javascript	Tomten	
0	3.8	3360144	3331749	C++	n0ma_ru	
0	1.08	3699033	3031778	C++	Bitwise	
0	1	3985519	3105505	C++	aiko_baigo	
0	0.23	351453	3357991	Python3	TinaryTree	
0	-0.5	4129463	3379434	Javascript	Anonyymouss	
0	-0.94	3903319	3345407	Javascript	aymane211	
0	-1.16	4011503	3350966	Python3	Indian	
0	-1.51	3911100	3051301	Java	nontyan	
0	-1.52	2325449	3314535	Perl	otpv	
0	-1.55	1979290	3381178	Dart	salmon	
0	-1.89	2006348	3041789	C++	Koji02	
0	-2.5	4018953	3139303	Javascript	zTTK	
0	-2.53	3985506	3105504	C++	iwatachan	
0	-3.07	513153	3041996	C++	voidle	
