League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=164,time=2020-05-28 00:33:26
1	41.85	1607522	2617316	C++	RoboStac	
1	41.84	2522090	2701447	C++	MSmits	
1	39.91	1400179	2700028	C++	reCurse	
1	36.85	2923506	2699879	C++	darkhorse64	
1	35.42	154984	2712433	C++	_Royale	
1	33.99	2924895	2692915	C	trictrac	
1	33.25	862919	2705410	C++	Astrobytes	
1	33.22	3457031	2692177	C++	YurkovAS	
1	32.88	351062	2704021	C++	Neumann	
1	31.44	735910	2771786	C++	Agade	
1	30.74	3136787	2646673	C++	jacek	
1	30.13	1489865	2491655	C++	EricSMSO	
1	29.84	1479930	2593382	C++	LeRenard	
1	29.4	832306	2629645	Python3	pb4	
1	29.15	3443015	2614458	C	Wozniak	
1	27.44	1876212	2492978	C++	PFischbeck	
1	27.39	1314316	2844539	C++	jolindien	
1	26.13	232528	2991454	C++	cegprakash	
1	25.79	1500515	2492296	C#	eulerscheZahl	
1	24.64	2288263	2469261	Rust	dbdr	
1	24.63	218189	2474890	C	[CG]Maxime	
1	24.13	3343665	2637387	C++	Quidome	
1	24.11	1344487	2679844	C++	UnnamedCodinGamer	
1	24.04	3622757	2990054	C++	anid	
1	24.01	1792429	2590176	C++	Wildum	
1	23.99	1629259	2693695	C++	Marchete	
1	23.97	2043908	2693819	C++	AntiSquid	
1	23.95	1201796	2830560	C++	P.Greze	
1	23.94	3564009	2679815	C++	Waffle3z	
1	23.59	271873	2485948	C	lionel_fr	
1	23.24	712143	2694553	C++	phamnuwen	
1	23	1061242	2991918	C++	Csipcsirip	
1	22.93	1238934	2482241	C++	accorp	
1	22.28	1438865	2689453	Java	tdeblock	
1	21.46	3317227	2701796	Python3	hoggi	
1	21.41	2007852	2496282	Lua	Zorg1	
1	21.34	3569066	2637477	C++	derjack	
1	20.6	338469	2487535	C++	-___-	
1	20.57	1566335	2608657	Java	BeardedWhale	
1	20.36	1756952	2496041	Java	Petras	
1	20.24	973040	2481431	C	papyjo	
1	20.08	3784861	2994414	Go	thiebt	
1	19.75	311035	2993864	Python3	leojean890	
1	19.44	1287344	2841857	C++	Alshock	
1	19	1378958	2485381	C#	Illedan	
1	18.68	201919	2641240	C++	LouJo	
1	18.05	2592111	2486192	Python3	otisrdvk	
1	17.7	1436776	2493138	C++	BrainSolver	
1	17.6	1861258	2476485	Go	Nazdhun	
1	17.49	862336	2991501	C++	Zaphus	
1	17.21	2786666	2491507	C++	TetraktysPhi	
1	17.12	928567	2471849	C++	Konstanta	
1	17.02	2115491	2677049	Go	Haashi	
1	16.99	3608247	2637924	Java	IntegratedQuantum	
1	16.95	1854246	2474954	C++	Counterbalance	
1	16.92	939530	2497725	Java	Jahz	
1	16.87	2290633	2488002	Python3	field3	
1	16.78	1341520	2637656	C	egaetan	
1	16.75	3620277	2640516	C#	jcarv	
1	16.45	3361684	2508099	C++	Proximo	
1	16.32	890630	2643847	C#	Shurishe	
1	16.26	3489223	2638094	Javascript	KarloHubai	
1	16.22	3530791	2640247	Java	Imponderabilium	
1	16.14	1835014	2619469	C	Frits	
1	16.13	2450542	2471871	C++	MindControler	
1	15.98	2610087	2899532	C++	MrYinpresents	
1	15.97	2797964	2644400	Java	BorisH	
1	15.83	3550689	2638503	Java	xsabi	
1	15.79	3763074	2783326	C	eunhkim	
