League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=27,time=2020-02-12 00:30:03
0	45.6	3136787	2633938	C++	jacek	
0	45.3	1629259	2632888	C++	Marchete	
0	43.1	1489865	2602969	C++	EricSMSO	
0	34.32	2924895	2616930	C	trictrac	
0	32.08	225875	2611377	C#	leff	
0	30.45	2290633	2597500	Python3	field3	
0	30	1436776	2639185	C++	BrainSolver	
0	29.11	2906497	2588583	C++	daaskare	
0	24.87	1740037	2588475	Scala	ereiam	
0	23.48	314562	2601570	C++	Mechar	
0	21.73	1412263	2601934	PHP	PatrickMcGinnisII	
0	20.42	3028864	2626954	VB.NET	lorcQc	
0	19.56	792813	2605315	Python3	VilBoub	
0	19.49	1479930	2654687	Java	LeRenard	
0	18.12	3410351	2590191	Python3	Deltaspace	
0	15.62	1205152	2619581	Javascript	Artraxus	
0	12.98	723476	2604177	Python3	NeoPhnx	
0	11.56	999637	2636749	Python3	dinobogan	
0	10.73	2069141	2672881	C#	tomeko	
0	10.72	2241559	2603844	Python3	eskeln	
0	10.67	2976964	2588441	Java	BenjaminUrquhart	
0	10.44	1478706	2604202	Python3	The-Dude	
0	10.26	2043908	2588490	C++	AntiSquid	
0	10.09	1713174	2616839	Python3	BigUP	
0	9.28	1830993	2665586	C#	jpcheck	
0	-2.65	3386139	2619254	Python3	MostComplicatedUsername	
0	-2.66	3513265	2589287	C++	DaNinja	
