League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=1793,time=2021-05-18 02:36:44
0	46.36	1400179	2090524	C++	reCurse	
0	45.09	1629259	2339355	C++	Marchete	
0	44.48	2288263	2418174	Rust	dbdr	
0	43.8	893541	3012705	Java	wala	
0	43.62	1537951	3011508	Java	Nerchio	
0	43.45	789003	253398	Javascript	Sharcoux	
0	43.43	403748	251252	C#	[CG]SaiksyApo	
0	42.44	155896	382882	PHP	gamoul	
0	42.41	1378958	3008630	C#	Illedan	
0	42.09	1500515	2061537	C#	eulerscheZahl	
0	42	351062	252780	Java	Neumann	
0	41.78	593523	252283	C++	supermassive	
0	41.58	523185	3014871	Python3	Hjax	
0	41.33	580424	3013762	C++	siman	
0	41.3	730425	1675147	Javascript	JeffDownie	
0	40.56	2021126	2129708	Ruby	FPSCUBE	
0	40.44	543181	259554	Java	dominisz	
0	40.36	933976	313946	Javascript	gx	
0	40.34	715319	265127	C#	poksh	
0	40.06	668954	2489389	C++	Fluxor	
0	39.85	527749	253112	C++	Pds	
0	39.76	553938	249115	C++	MagAlex	
0	39.75	704875	257269	C#	XaY	
0	39.68	392581	247561	Java	goq	
0	39.57	1061242	365649	C++	martinpapa69	
0	39.57	545951	257676	C++	AntonT	
0	39.56	3782701	3013650	C++	Mickah	
0	39.54	886483	648720	C	R4N4R4M4	
0	39.52	196808	253669	Java	bonam	
0	39.47	952784	2245171	C++	[CG]Simon	
0	39.46	464971	251387	C++	PsyGuy66	
0	39.44	1125706	370155	C++	Saillou	
0	39.43	938449	312159	C++	GalaxyNET	
0	39.33	811004	796191	C++	tarte7	
0	39.24	692317	256484	Java	Ozzie	
0	39.22	3730243	2996110	Python3	FlotovServices	
0	39.17	1354011	2994415	Java	Marchat	
0	39.11	3742230	3040858	Python3	AI-Landers	
0	39.1	279452	311597	C++	mangoose	
0	39.05	3235897	3021516	Java	Zylo	
0	39.04	389175	257170	Java	Folkenn84	
0	38.96	154984	619874	C++	_Royale	
0	38.92	1509238	1768116	C++	Cosmo	
0	38.85	199773	3012669	Python3	jonasbru	
0	38.79	523566	791319	PHP	Zorck	
0	38.71	2913725	2129887	Python3	SherlockTD	
0	38.69	193315	258942	Java	hau	
0	38.67	805067	508879	C++	Magus	
0	38.63	490905	257417	Python	lechium06_	
0	38.63	1175343	365968	C++	Hankerspace	
0	38.49	507383	249402	C#	Vadasz	
0	38.47	2438699	2949363	Java	nquinquenel	
0	38.39	1515891	3016555	Kotlin	ndc	
0	38.13	1017169	363298	C#	bLasT	
0	37.85	604234	2250458	C++	ArnaldurBjarnason	
0	37.5	1405312	1746354	Python3	lipster	
0	37.35	1488290	3486415	C++	AndreApp	
0	36.88	1114834	3007896	C++	k4ng0u	
0	36.27	1001096	418314	C#	MyIIone	
0	36	619211	257760	Java	Thrain	
0	35.84	1579838	2425608	Rust	Roolmo	
0	35.83	1206537	808241	Ruby	MadKnight	
0	35.72	939530	801934	Java	Jahz	
0	35.51	4262928	3487597	C++	AndreTeste3	
0	35.26	3815413	3018606	Swift	Michael_Howard	
0	34.31	1399382	3013594	C#	Regulus136	
0	34.28	1368530	2599916	C#	Hassenplug	
0	34.12	1333869	413150	Python3	kiwijam	
0	34.11	4264968	3489172	C++	AndreTeste4	
0	33.98	829018	3029015	C++	alchemsti	
0	33.87	513456	257031	Python	nwin	
0	33.86	3527657	3504305	Python3	AT274	
0	33.72	2128920	2120483	C++	BishBash	
0	33.53	3622757	3039086	Python3	anid	
0	33.51	1269907	1454089	Javascript	Panixy	
0	33.36	515501	257883	Python3	Karol	
0	32.86	2521670	1855256	Java	cccc_	
0	32.79	3721214	3487592	C++	jrke	
0	32.67	2731276	2067621	C++	panda42	
0	32.46	2521660	1854990	Java	leoclz	
0	32.42	1448655	615811	Java	dervan	
0	32.39	600997	3433318	Python3	mmi	
0	31.86	165690	749417	C	DrGrognon	
0	31.48	3443015	3509443	Java	Wozniak	
0	31.33	2924895	3536390	Java	trictrac	
0	31.25	1423070	1369284	Python3	DarkRider	
0	31.14	857521	653465	C#	MrAnderson	
0	31.11	1437818	478666	Scala	Kotofey	
0	31.08	3749793	3014523	Python3	WINWINWIN	
0	30.98	236576	3056295	Go	daghack	
0	30.79	4262550	3671968	C++	AndreTeste2	
0	30.77	2025987	3538554	C++	Cham	
0	30.73	4260988	3671993	C++	AndreTeste1	
0	30.69	3682376	2845746	Java	lumberjacks	
0	30.53	3817467	3029939	Python3	aadeilnrs	
0	30.45	153698	251544	Java	obourgain	
0	30.2	155920	260408	Java	t2_cyborg	
0	29.92	3925061	3103732	Python3	TwT	
0	29.34	153927	253822	C++	Cubix	
0	29.22	153057	744220	PHP	PierralF	
0	29.22	2521526	1999353	Java	Martin_Guillotte	
0	29.02	2320530	2485083	C++	Ferris	
0	28.79	3893007	3032545	Java	PlutoBC	
0	28.72	2453008	3104191	Python3	Crypticsy	
0	28.7	1327028	416071	C++	FredericBautista	
0	28.62	3816933	3008321	C++	untan	
0	28.62	2155916	2132908	C++	ButterflyEA	
0	28.6	2337529	3006269	Python3	detonavomek	
0	28.6	1173306	3011818	Ruby	zogstrip	
0	28.6	3130148	2987259	Python3	Mika_44	
0	28.6	3741188	3040729	Java	AlphaGo	
0	28.59	1705176	1218619	Python3	Jabba_Hatt	
0	28.59	2994972	2133481	C#	Dijkstra	
0	28.59	1189812	367282	C++	kagary06	
0	28.59	3331437	2402413	Java	Vintern	
0	28.59	1353669	578540	Python3	XAnimaX	
0	28.58	3893911	3033013	Java	Itachi-	
0	28.58	649634	253283	C++	bigredeyes	
