League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2276,time=2020-10-24 02:46:48
5	35.97	3457031	3004822	C++	YurkovAS	
5	35.75	2288263	2641299	Rust	dbdr	
5	35.4	1629259	2624271	C++	Marchete	
5	32.52	2522090	2641495	C++	MSmits	
5	32.12	735910	1989120	C++	Agade	
5	31.63	832306	1988924	C++	pb4	
5	31.3	805067	2065948	C++	Magus	
5	30.55	1607034	2655232	Rust	tomatoes	
5	29.99	1378958	3062093	C#	Illedan	
5	29.79	1400179	1499908	C++	reCurse	
5	29.17	2923506	3116236	C++	darkhorse64	
5	28.57	351062	2081766	C++	Neumann	
5	28.46	1500515	2985513	C#	eulerscheZahl	
5	28.31	1326395	1478526	C++	Pixalot	
5	27.56	3120506	2653018	C++	banduga	
5	26.28	1479930	2664803	C++	LeRenard	
5	26.08	1584802	1485345	C++	emh	
5	25.68	1757792	2652525	Java	oreshnik	
5	25.63	1360360	2657222	Javascript	zombitrafik	
5	25.47	1489865	1613461	C++	EricSMSO	
5	25.47	155774	2462464	C++	dwarfie	
5	25.43	2007852	2466725	Go	Zorg1	
5	25.43	588426	1511053	C++	Jeff06	
5	25.25	271945	2655267	C#	aangairbender	
5	25.12	2238146	2644460	Rust	stem	
5	24.9	1438020	1478518	C++	InsomniaRide	
5	24.58	1050159	1499758	C	speedloop	
5	24.51	826655	2641937	C++	[lazy]Opera	
5	24.21	668954	2577041	C++	Fluxor	
5	23.78	154984	1513630	C++	_Royale	
5	23.75	886483	2199463	C	R4N4R4M4	
5	23.63	193315	2152356	Java	hau	
5	23.62	1034635	1771611	C++	SlyB	
5	23.46	224325	2627539	C++	TidyMaze	
5	23.24	3213465	2330922	C++	Gegene	
5	23.06	155939	1478521	C	xylo	
5	23	854133	1479821	Java	Gicos	
5	22.9	1314316	2064450	C++	jolindien	
5	22.61	403748	1478542	Java	[CG]SaiksyApo	
5	22.23	371603	1578843	C++	martin	
5	22.22	2831400	2628111	C	joakje	
5	22.15	1759839	2627354	C++	matleg	
5	21.72	893541	2657311	Java	wala	
5	21.6	1100752	1850230	C++	ValNykol	
5	21.42	1734105	2331209	C++	Bibou	
5	21.15	1854246	1583737	C++	Counterbalance	
5	21.12	1335230	1937699	Java	jft63	
5	21.06	2043908	2463673	Java	AntiSquid	
5	21.04	545951	2672452	C++	AntonT	
5	20.97	925695	2472378	OCaml	Boulet	
5	20.56	2329747	2658740	C#		
5	20.48	1201796	2616979	Java	P.Greze	
5	19.76	512097	1606244	Haskell	Stilgart	
5	19.19	335954	1584587	Java	nmahoude	
5	5.42	2177599	1486960	C++	racezwerg	
4	27.93	638784	3073533	C++	Yqnn	
4	27.87	2242201	2577891	C++	Maryan	
4	27.78	3622757	2992269	Java	anid	
4	27.43	828239	2659015	C#	[SG]Bisou	
4	27.35	154967	1473096	Python	trnsnt	
4	26.85	1870937	2617018	Java		
4	26.85	918759	3022604	Java	Ventox	
4	26.47	1568785	1505138	C	Chalzy	
4	26.46	1304566	1473054	Python3	_nrg	
4	26.07	1238934	1851230	C++	accorp	
4	25.99	367965	1473065	Java	thearn03	
4	25.87	155896	1473036	PHP	gamoul	
4	25.34	153683	2487738	Dart	40R15T3	
4	25.23	2781726	2067275	Java	June1664	
4	25	196606	1473032	Java	EasyCoder	
4	24.97	826372	1473049	Java	skyyker	
4	24.54	1457162	1502789	C++	JFB	
4	24.4	215994	1504734	Java	lefredj	
4	24.29	1001096	2336059	C#	MyIIone	
4	24.28	1399382	2674764	C#	Regulus136	
4	24.19	1479236	2059450	Java	Syj	
4	23.38	2158982	1478885	Javascript	Barbossa	
4	23.38	374125	1473042	C#	FlowerCoder	
4	23.36	1178276	1573137	Java	Jerome_95	
4	23.32	226528	1473057	Java	Manwe	
4	23.31	872721	1755289	Java	ROMAIN33	
4	23.28	2924895	2344077	C	trictrac	
4	23.27	1206537	2203583	C++	MadKnight	
4	23.19	264258	1473033	Python3	MrFlibble	
4	23.03	888898	2693395	C++	helgui	
4	22.96	374987	1473038	C++	Duckie	
4	22.93	1169499	1473067	C++	naab	
4	22.78	2898291	2135633	C++	m.zahniser	
4	22.73	320053	1473039	PHP	Zbug	
4	22.73	162669	1473030	Python	Gangrene	
4	22.71	375322	1473073	Java	SaianSupa	
4	22.68	372648	1473029	Java	Attractive	
4	22.67	1568122	1473040	C	rdragon	
4	22.63	388469	1473068	Java	Garfi74	
4	22.33	2786666	3132327	C++	TetraktysPhi	
4	22.33	905507	1473085	Java	laMortRouge	
4	22.29	206839	1473088	C++	ChrisPer	
4	22.27	154926	1473080	Java	yfeng	
4	22.21	1540394	1481856	C#	LVdA	
4	22.16	369445	1473066	Java	Yayatest	
4	22.11	304126	1481858	PHP	kami	
4	22.08	659963	1473021	PHP	Guilhem	
4	22.05	198916	1772836	C++	WhatTrickeryIsThis	
4	21.92	357847	1473083	C#	fintalex	
4	21.52	952784	1473094	C++	Simon21	
4	21.4	372468	1483222	Javascript	MadBot4577	
4	21.31	236902	1473062	C++	Tryum	
4	21.13	154362	1473084	C++	Ely	
4	20.99	3513265	2717862	C++	DaNinja	
4	20.94	154348	1476798	C++	ProYd	
4	20.85	347894	1474245	C#	baloo	
4	20.74	1409466	2411439	Pascal	NguyenTatDat	
4	20.69	383398	1495671	Ruby	ulis_	
4	20.68	1070676	1482046	C#		
4	20.68	153927	1473043	C++	Cubix	
4	20.64	1442327	1473135	C++	Pixelot	
4	20.64	440476	1473019	Ruby	yowa	
4	20.62	153057	1473069	PHP	PierralF	
4	20.61	936451	1473046	Java	pe	
4	20.6	2731276	2325202	C++	panda42	
4	20.58	1333869	1473017	Python3	kiwijam	
4	20.56	467193	1482047	Java	pin72	
4	20.54	157377	1476796	Javascript	McKelian	
4	20.42	1188212	1473058	C	superredlark	
4	20.38	218189	1481859	Python3	[CG]Maxime	
4	20.36	353474	1473074	VB.NET	Maka	
4	20.33	1437820	1495662	C	Deadbool	
4	20.28	155881	2325421	PHP	XLP	
4	20.22	375688	1473037	Java	fcgb87	
4	20.21	1029261	1495674	C++	Sendell	
4	20.19	1713174	2056904	Python3	BigUP	
4	20.07	281777	1473137	Javascript	Soreine	
4	20.07	370471	1473553	C#	Elfuego	
4	20.02	156188	1473044	PHP	DorianWilde	
4	20	198268	1481857	Perl	newrare	
4	19.89	379287	1473076	Java	coredumped	
4	19.89	271231	1473192	C++	Ryuk	
4	19.86	379413	1473091	Java	Willim_1985	
4	19.83	388053	1473023	Java	SexMachine	
4	19.83	384656	1473971	C#	NicoTest	
4	19.82	374802	1495665	Python	Eliott	
4	19.76	1251381	1495668	Java	ZepHead	
4	19.73	888170	1473031	Java	LostInHeaven	
4	19.67	877407	1473086	Javascript	maximov	
4	19.63	373213	1852330	C	Rozana	
4	19.61	382375	1495661	Python3	Piz	
4	19.59	464971	1474246	C++	PsyGuy66	
4	19.58	1060181	1483818	Ruby	Dabou	
4	19.56	928567	2468923	C++	Konstanta	
4	19.51	383508	1483822	Java	daftgan	
4	19.51	396780	1960206	C#	CoolKiller	
4	19.5	369492	2330133	Java	blablateam	
4	19.49	2162881	1853553	Java	B4RF	
4	19.45	1122412	1473081	Java	TheNinja	
4	19.39	2003111	2646874	Kotlin	Krikolo	
4	19.35	1444054	2641268	PHP	L2D2	
4	19.32	734401	2330134	C++	b0n5a1	
4	19.27	515501	1473424	Python	Karol	
4	19.25	1353669	1483821	Python3	XAnimaX	
4	19.24	1223426	1495673	Java	VolgoAK	
4	19.24	1293010	1504733	C++	aLee	
4	19.23	388421	1495670	Java	Repulsive	
4	19.21	153425	1476800	Go	cho	
4	19.19	1740037	2682993	Scala	ereiam	
4	19.15	314360	2135609	Java	rta	
4	19.12	855854	1473079	Java	Pogba	
4	19.09	270583	1495669	Java	beeNotice	
4	19.07	1348832	1602274	C#	AzatJalilov	
4	19.04	997727	1508225	Python3	Monolitum	
4	19	370209	1473516	Java	hwoarang	
4	19	525818	1495666	Java	a.podlesny	
4	18.91	1572888	1853605	Python3	DirtyHarry	
4	18.8	1673512	1495658	C++	Ryoken	
4	18.77	352971	2194112	Java	BigD	
4	18.72	1733593	2657798	Scala	Wei-1	
4	18.71	1053198	1473022	Python3	ProfessorWolf	
4	18.67	186225	1483764	PHP	bob1	
4	18.67	706692	2329882	Java	alexhap	
4	18.64	1002122	2343364	Python3	Redger	
4	18.59	340057	2057233	C++	Bernard	
4	18.56	379381	1495667	C#	shuang1985	
4	18.55	1782814	2818020	C#	Trilusion	
4	18.54	232772	1748610	PHP	eveler92	
4	18.44	1864841	1495663	C#	Twobeeb	
4	18.37	374103	1504736	C#	Goglue	
4	18.37	920987	1495672	Java	redna70	
4	18.36	697152	1504731	Java	Bander88	
4	18.33	1271511	2066589	C#	CodeProHero	
4	18.19	1534767	1853607	Java	piotrDo	
4	18.17	395576	2992033	C++	djedje	
4	18.01	248263	1473136	PHP	NewboO	
4	17.91	188944	1853606	Java	Starbender	
4	17.85	1273026	2467024	Python3	BenZubrow	
4	17.8	378622	2135611	C	Mithrock	
4	17.46	301505	1504735	Java	Gaotir	
4	17.42	1194069	2345558	Java	Redstrike	
4	17.27	457995	2057236	Java	jro	
4	17.05	1244685	2992031	Javascript	dorion	
4	16.89	1071140	2119951	C#	BeberLeNewbie	
4	16.85	199747	2194111	Haskell	zerkman	
4	16.83	1728288	1602141	C#	MOLP	
4	15.61	2173677	1487054	Python3	Raubtaube	
4	15.13	2416641	2705551	Python3	Zenoscave	
4	14.98	1172955	2654367	Java	aabzac	
4	12.34	373834	1473092	Java	Pirquessa	
4	4.66	1323353	1473097	C++	zeamaDeVarza	
4	4.63	1411649	1473095	C++	Levatol	
4	4.62	267634	1476799	C++	Leonarf	
4	4.62	2006324	2057477	Dart	SihardeOussama	
4	4.6	2530307	1749861	Java		
4	4.6	788361	1477648	C++	Bob	
4	4.6	379884	1495659	C++	yoy	
4	4.59	1428084	1515950	Dart	Mixolyde	
4	4.59	1664044	1606853	Dart	BUG	
4	4.58	2529154	1749288	Java		
4	4.58	225599	1473078	Dart	leon_id	
4	4.57	1446134	1473087	C++	robocap	
4	4.57	2308590	1514476	OCaml	teluob	
4	4.55	207714	1473082	Scala	TrueLaurel	
3	26.4	1373231	1466601	Python3	shypiguy	
3	25.18	1416725	1466730	C	BayashiPascal	
3	24.97	837350	1616225	Ruby	BorisZ	
3	24.74	1631057	2238995	Python3	Pask	
3	24.52	1133159	1466690	Javascript	OriolBG	
3	24.5	394667	1466614	Python3	elvers	
3	24.45	904352	1466704	Java	StreetFighter	
3	24.4	1368530	1466718	C#	Hassenplug	
3	24.39	278150	1466670	Java	Hydro	
3	24.38	368592	1466721	Python3	0biwan	
3	24.32	1186292	1576554	Python3	GLE	
3	24.13	2187656	1854245	Lua	RanXerox	
3	24.08	384194	1466729	PHP	Nezguich	
3	23.98	1608391	1466764	Ruby	Swobu	
3	23.95	1897951	2660274	D	sd10000100	
3	23.92	1200244	1466567	C#	Nylsenz	
3	23.88	2254195	1618413	Java	BrunoFelthes	
3	23.84	351195	1466686	PHP	redmitch	
3	23.81	252872	1466749	C++	keitaro57	
3	23.6	873732	1466593	Java	flushRoyal	
3	23.56	1077559	2493736	Java	PhOeNyX	
3	23.42	1532734	1466640	Java	TeoDev	
3	23.31	233077	1469115	C#	adhie	
3	23.28	371083	1466741	C++	HoBo	
3	23.27	1539560	1466573	Java	cage	
3	23.22	572189	1466615	Python	Ludic	
3	23.2	1437755	1466724	Java	RManolescu	
3	23.13	399039	1466569	Java	psign	
3	23.12	1438320	1470825	C#	Gwarr	
3	22.99	870143	1466762	Java	seyf	
3	22.99	154367	1466632	Java	lapsus63	
3	22.98	1743393	1466678	C#	Yudzhin	
3	22.94	954398	1466679	C++	Otarie	
3	22.94	941151	1466684	Java	bzdsdd	
3	22.86	335335	1466630	C#	Eldritch	
3	22.81	1067087	1470876	Java	Testoubidou	
3	22.8	1229284	1466725	C#	Prajyoth	
3	22.69	940609	1466759	Java	pokerdassi	
3	22.69	2073179	1466572	C#	Biwere	
3	22.66	3226448	2579995	Python3	tobk	
3	22.63	2438011	1648367	C	Findo	
3	22.58	365796	1466779	Javascript	CvxFous	
3	22.57	155920	2151459	Perl	t2_cyborg	
3	22.51	238747	1471976	PHP	defkrie	
3	22.51	871232	1466742	Java	giulagreca	
3	22.46	175533	1467083	Javascript	zarsky	
3	22.42	1105849	1470824	PHP	Savagge	
3	22.41	1519989	1466552	Python	a5kin	
3	22.4	783688	1468998	Python	axx	
3	22.37	1880319	1576161	C++	WildSmilodon	
3	22.21	3235897	2475960	Java	Zylo	
3	22.15	1205360	1466763	C++	g4m3c0d3r	
3	22.14	1304434	1466745	Java	MP-63	
3	22.14	843126	1466592	C#	ItsBuddha	
3	22.08	858850	1466557	C#	doliver	
3	22.04	1427438	1470265	C#	Sjkghsi	
3	22.04	1480384	1756213	C++	RockyMullet	
3	22.03	1759020	1470266	Java	Drakni	
3	21.98	1588918	1466668	C#	Svenskaren	
3	21.98	1520245	1470878	C#	kintdev	
3	21.96	1369177	1470875	C#	PernicN	
3	21.96	2990918	2846500	TypeScript	Dingodino	
3	21.96	1334479	1580832	Lua	apintor	
3	21.89	1521532	2248198	PHP	VictorG.Inox	
3	21.82	1661563	1470823	C#	Eurospiders	
3	21.8	1290541	1471622	Python3	JorAlias	
3	21.79	2159169	2074411	Java	Disto	
3	21.79	973040	2674483	C	papyjo	
3	21.71	1529055	1466706	Java	PacMann	
3	21.7	2031932	1470870	C#	JBorders3010	
3	21.69	1470031	1466594	C#	gandalf	
3	21.68	1377805	1466551	Java	MHavlovick	
3	21.68	153062	1470874	Java	Guian	
3	21.67	1175343	1470985	C#	Hankerspace	
3	21.65	1865475	1617919	C++	Tichy	
3	21.63	833031	1466696	Groovy	Cookie	
3	21.62	154996	2765497	Ruby	shashwat986	
3	21.59	154292	1485455	C#	Decay	
3	21.58	2069141	1476614	C#	tomeko	
3	21.58	527749	1481949	Go	Pds	
3	21.57	173928	1466559	Ruby	lacrosse	
3	21.55	230015	1470871	Java	Kolo9	
3	21.53	1225196	1466688	Python	Pepetroo	
3	21.52	1000479	1466738	Lua	Beni	
3	21.5	184051	1470672	Python3	Jl1	
3	21.49	872252	1470880	Java	ilya_m	
3	21.49	1449433	2463252	C++	Rolf	
3	21.49	873626	1470822	Python	yomax	
3	21.46	915676	1470912	Python3	iida_oratta	
3	21.44	1142942	1466743	C#	Aquamoth	
3	21.4	155762	2324927	Javascript	BabelO	
3	21.4	812893	1749698	C++	BlackHorse	
3	21.39	3755755	3065554	D	AAhmed9	
3	21.39	233627	1471293	Javascript	SlipOne	
3	21.29	162982	1466595	C#	Dami-e	
3	21.29	378484	1471288	Perl	Claquette	
3	21.21	1866525	1467082	C#	charMlessMan	
3	21.2	341178	1467059	Java	ayratn[kazanteam]	
3	21.18	1629222	2214668	C#	nattesharan	
3	21.14	1491995	1476151	C#	Tyir	
3	21.13	155929	1593705	Python3	[CG]jupoulton	
3	21.13	370259	1466676	VB.NET	Queloune	
3	21.11	1209562	1956397	Python3	JohnnyYuge	
3	21.1	372488	1470881	Java	tomthecondor	
3	21.09	222665	1478477	PHP	borrel	
3	21.07	221911	1467058	Python	fafl	
3	21.07	398735	1466581	C#	mogikanin	
3	21.06	1327028	1469117	C#	FredericBautista	
3	21.05	194094	1471295	C++	Veei	
3	21.03	1747292	1470879	C++	CodeReaper	
3	21.03	1059313	1507141	Java	_SERGE_	
3	21.03	1305374	1584185	PHP	Frankich	
3	21.01	574656	1467080	Python	dmpage	
3	20.99	368837	1488243	C	N.Hans.er	
3	20.98	214694	1471289	Python3	Pac	
3	20.98	1063491	2467432	Python	bug_sniper	
3	20.98	1759335	2694565	C#	metahom	
3	20.97	387692	1478476	Java	Felwin	
3	20.96	372276	1600745	Java	astamur	
3	20.92	154388	1470915	Java	PonyPonyCodeCode	
3	20.92	259057	1474976	Java	GuillaumeLAURIE	
3	20.91	155539	1646320	Javascript	hamza_lh	
3	20.91	1440111	1466723	Java	nicZ	
3	20.82	389770	2467636	PHP	omg	
3	20.8	1590284	1470989	Java	tbenoist	
3	20.79	2167235	1481095	Python3	Willian	
3	20.77	378781	1504681	Java	kekev	
3	20.75	847675	1579109	Haskell	RobinHood	
3	20.59	1410608	1466667	C	HugoLaKer	
3	20.58	1219395	1749700	Python3	mihaj	
3	20.56	3427526	2985831	Python3	remi2257	
3	20.54	226551	1471296	Python	dzemeuksis	
3	20.45	540198	1473597	C#	SLavaLL	
3	20.43	1346401	2641231	Java	Yeti78	
3	20.31	1987512	1660486	C#	FreexXx	
3	20.25	3749793	2985834	C#	WINWINWIN	
3	20.25	1343111	2148621	Javascript	Thal	
3	20.23	1458393	1470911	Java	IJKL	
3	20.19	379483	2315478	Java	Mattedob	
3	20.19	174959	1467086	Java	panstanislav	
3	20.14	372695	1475342	Java	coldbrains	
3	20.14	1015754	3102943	C++	Sinek	
3	20.12	2165068	1473338	Java	caerbannog	
3	20.03	1933252	1471298	Python3	Killou	
3	19.96	1255849	1618132	C	Hammadi	
3	19.88	867642	2324926	Java	LazyBerserker	
3	19.87	942208	1471297	C++	Dex08	
3	19.86	1981732	1853316	F#	MJS	
3	19.85	1851160	1483334	C#	Fabienvs	
3	19.85	153045	1478506	Python	nib	
3	19.75	377293	2841767	C	fiascototal	
3	19.72	1098426	2645486	C#	TheGering	
3	19.71	1542460	1748514	Java	[CPC]totoleharicotvert	
3	19.66	232815	1749697	Haskell	kmate	
3	19.57	1623906	2326075	Java	vonsuu	
3	19.57	155942	1611767	Java	nlinside	
3	19.51	3427298	2464819	PHP	adrien.prz	
3	19.35	2005570	2326076	Java	botaki	
3	19.25	1773862	2326077	Go	Valeriy.Nikitin	
3	19.25	1913525	3062006	C#	Drus_O	
3	19.24	381914	1471294	Javascript	MaWasHiii	
3	19.21	277250	1504682	Java	Asterix	
3	19.17	2002449	3050881	C++	hunggar	
3	19.15	545956	3050883	Pascal	Hykke	
3	19.05	268979	2645529	Java	Nickysama	
3	18.93	375167	2464820	C	maxla	
3	18.91	307631	1470987	C#	Nahman	
3	18.88	2450542	2471918	C++	MindController	
3	18.84	490905	3050882	Python	lechium06_	
3	18.41	1635371	2323913	C#	fernan_s	
3	18.33	1464932	2645528	Java	Tiramon	
3	18.1	153941	3050879	C++	webNeat	
3	17.94	1488054	1471287	Java	vsakraf	
3	17.91	594635	3062007	Javascript	Solid	
3	17.53	1113574	3139269	Java	Mus_niro	
3	17.5	191762	1473551	Java	ayoub.root	
3	16.85	1838289	1514403	C++	Dagal	
3	16.4	155777	1466740	Java	Fab	
3	16.31	383241	3062008	Perl	eren	
3	16.28	404560	1582261	Ruby	Uquu	
3	14.21	680872	1466720	Ruby	sneaky_weasel	
3	14.18	1354295	3001181	Javascript	AbdullahKhawer	
3	7.68	1879134	1513268	Python	Mennimoor	
3	7.19	847745	1467084	Scala	Orminot	
3	6.73	401965	1466719	C++	joleharicot	
3	6.73	405955	1470986	C++	ArthurSonzogni	
3	6.73	329200	1466612	C++	BlitzProg	
3	6.72	1130993	1466554	C++	Azaria	
3	6.71	154290	1466744	Perl	Scorfly	
3	6.71	226115	1466556	C++	Nergal	
3	6.71	792261	1466728	C++	IKKYU	
3	6.71	970195	1466550	C++	Elbanono	
3	6.7	360942	1470873	C	Amev	
3	6.7	1526464	1466587	C++	MehmetTheConqueror	
3	6.7	1444835	1466607	C++	Belgi	
3	6.69	659970	1466735	PHP	BONBAHLA	
3	6.69	1200604	1470267	C++	Alos	
3	6.69	825338	1482778	C++		
3	6.68	1082325	1466560	Javascript	icechair	
3	6.67	153656	1466694	C++	Chris	
3	6.66	155848	1470913	C++	Razoun	
2	23.01	155083	1459781	C#	LOustad	
2	22.91	1838549	1458146	C#	izik1	
2	22.73	1437833	1459268	C	HackEAreala	
2	22.72	913870	1457560	C#	Roamer85	
2	22.67	373294	1457867	Java	Besoul	
2	22.64	686600	1457754	PHP	j.watanabe_ORATTA	
2	22.6	965660	1457750	Java	Kipras	
2	22.47	295680	1461389	Java	groucho	
2	22.47	379604	1469360	Java	FreshApple	
2	22.3	1588583	2982254	Python3	dANNs	
2	22.3	389690	1457883	Python3	EWP	
2	22.18	302070	2122052	C#	azukun	
2	22.17	155947	1461983	Java	iku	
2	22.13	2373953	2551229	TypeScript	Dridriun	
2	22.1	1215168	1459806	C++	DamienFayet	
2	22.03	828213	1459282	Go	anst	
2	22.01	377468	1459292	Python	Vani	
2	21.99	1226684	1470698	Python	TurboTommy	
2	21.99	159880	1459614	Haskell	Aries	
2	21.95	1234577	1886439	Java	pythondz	
2	21.83	374929	1748440	Java	Mrpink84	
2	21.8	1132495	1459603	Java	Yaayoun	
2	21.74	1422951	1614103	Python	azza	
2	21.74	155843	1665458	Java	Ced	
2	21.71	2255187	2070767	PHP	rom_02	
2	21.7	1320847	1457853	Java	Gsqr	
2	21.7	3761799	2784036	PHP	Simon_T	
2	21.68	2618868	2105420	Python3	Koppew	
2	21.59	233834	1458793	Python3	Herumor	
2	21.59	387938	2151134	PHP	fonxtal	
2	21.56	378277	1468894	Python3	Ken	
2	21.54	1372278	1460233	Javascript	botOne	
2	21.53	153213	1469072	Java	Phantom	
2	21.44	880353	1459267	C++	zasmu	
2	21.44	1427078	1468542	Java	ToshiTuringMachine	
2	21.44	337327	1457737	Python3	Mathurin	
2	21.43	368665	1749557	C++	Gouflette	
2	21.42	1192390	1464498	PHP	MoonCoder	
2	21.41	278492	1483752	PHP	Daero	
2	21.37	239246	1457872	Java	BigDams[SFEIR]	
2	21.36	703081	1459611	PHP	mori_ORATTA	
2	21.34	402711	1460230	Java	WhippyCleric	
2	21.34	550603	1459820	Javascript	EnderNantes	
2	21.32	302433	2852120	Java	StAnger91	
2	21.31	1470184	1544832	C++	Sebastiti	
2	21.31	1000199	1459774	C	Zlatko	
2	21.3	200367	1457752	Java	ecc	
2	21.3	994321	1459279	Groovy	Jebediah	
2	21.27	836415	1457844	Java	tallo	
2	21.25	1189380	1459607	C++	RWT	
2	21.25	648751	1477365	Haskell	dabino	
2	21.24	2097910	1510272	Java	nikiforosFreespirit	
2	21.23	376146	1770754	Java	nygles	
2	21.23	700997	1458789	Javascript	LucasDiasFerreira	
2	21.2	2002555	1459790	Python3	MAXN	
2	21.19	2327967	1625706	Ruby	Karocyt	
2	21.18	409126	1457886	Python3	EpicSound	
2	21.18	891351	1459763	C#	AhmedMaher	
2	21.17	351385	1469485	PHP	fabmarcant	
2	21.16	857521	1459780	C#	MrAnderson	
2	21.15	1341520	1472696	Java	egaetan	
2	21.14	293147	1459294	Javascript	znap	
2	21.14	1306541	1459996	Python3	Steuh	
2	21.14	956638	2343263	Python3	Pi-Geometry	
2	21.13	212111	2135557	C#	plopi	
2	21.11	1243876	1461985	PHP	Hi-Low_World	
2	21.1	3756434	3066728	PHP	etui	
2	21.1	1056074	2130685	Python3	Glenn	
2	21.08	1868272	1853378	Python3	kvimbi	
2	21.06	1704823	1459608	Javascript	Hlkz	
2	21.05	1271096	1477052	F#	Trolg	
2	21.05	376445	1457884	PHP	bloub	
2	21.04	964169	2072629	Perl	ivanoff.org.ua	
2	20.93	898785	3066298	C	gdbro	
2	20.89	564290	1460100	Ruby	mainge2036	
2	20.86	232528	1483049	C++	cegprakash	
2	20.84	1441602	1457871	Java	LastVar	
2	20.83	854952	1580017	Java	dolmen1234	
2	20.82	1170712	1974909	Python3	Djo0012	
2	20.81	271178	2135558	Java	Jicay	
2	20.78	186405	1459777	C#	d-mark	
2	20.71	2067176	1473316	Javascript	0bug	
2	20.71	153068	1749575	Python	thomaswajs	
2	20.65	374960	1459795	Java	randomteam	
2	20.64	653174	1463128	C	Smelk	
2	20.64	978182	1458057	C++	Capricornus	
2	20.54	420912	1749619	C#	safon007	
2	20.53	1783604	1460056	C	Vry	
2	20.42	879113	1463130	Python3	Brunao	
2	20.25	1548272	1488973	C++	ThatHg	
2	20.23	1512970	1459300	C#	Blackmog	
2	20.2	597560	1459811	C#	DarkWaw	
2	19.98	2233179	1580766	Python3	Samsa	
2	19.98	223576	1617068	C#	laveugle	
2	19.96	914920	1749569	PHP	tgoi_ORATTA	
2	19.89	1486792	1457876	C#	Verathez	
2	19.88	932811	1463769	Javascript	Elgo	
2	19.82	935759	3068881	F#	Jason_Down	
2	19.74	1494384	1465149	C#	Wolfboss	
2	19.74	376092	1462438	Java	Farcias	
2	19.74	2512601	3143806	Python3	Sibwara	
2	19.73	292846	2048981	Java	Ninja	
2	19.69	220025	1469487	Java	vLab	
