League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2348,time=2020-04-24 00:47:01
5	32.09	1327028	2102329	C++	FredericBautista	
5	31.26	1413236	511966	Go	Medici	
5	31.02	1500515	2061718	C++	eulerscheZahl	
5	30.03	739151	503318	C++	Romka	
5	28.72	1629259	2627836	C++	Marchete	
5	28.16	494104	758945	C++	Recar	
5	28.02	736075	1844663	C++	Xyze	
5	27.5	832306	577136	C++	pb4	
5	26.97	524638	1607068	C++	miklla	
5	26.92	1064903	2578276	C++	Ghirtor	
5	26.89	3669985	2695446	C++	Gafagarion	
5	26.43	572695	900217	Go	ewgraf	
5	26.28	1944142	2624011	C++	yakalir	
5	26.07	1109979	2667421	C++	Gloopy	
5	25.62	811004	788472	C++	tarte7	
5	25.54	1314316	2079881	C++	jolindien	
5	25.48	926124	2100944	C++	Beerus	
5	25.42	1415495	505445	C	fenrir	
5	25.38	1336464	1646487	C++	magaiti	
5	24.91	972894	1602281	C++	resty-daze	
5	24.53	528262	498879	C	Niii	
5	24.48	805067	508542	C++	Magus	
5	24.14	1783604	2063331	C	Vry	
5	24.1	1169499	2260434	C++	naab	
5	23.98	1082806	570581	C++	LowSkill	
5	23.89	2007852	2358612	Go	Zorg1	
5	23.53	1293010	500186	C++	aLee	
5	23.42	154984	2495686	C++	_Royale	
5	23.35	1188212	498891	ObjectiveC	superredlark	
5	23.34	2923506	2680395	C++	darkhorse64	
5	23.14	1061061	498877	C#	Bandersnatch	
5	23.05	2906497	2681754	C++	daaskare	
5	23.04	431967	1926704	C++	takazawa	
5	22.96	351062	1839511	C++	Neumann	
5	22.6	837350	1677039	Go	BorisZ	
5	22.56	1100752	904346	C++	ValNykol	
5	22.51	1400179	651485	C++	reCurse	
5	22.28	3622757	2744414	C++	anid	
5	22.27	193315	512531	Dart	hau	
5	22.26	1399852	2069784	C++	Thaell	
5	22.23	1323814	511651	C	SatineChatounette	
5	22.17	1333869	572159	Python3	kiwijam	
5	21.98	2043908	2234778	Java	AntiSquid	
5	21.87	1238934	1660059	C++	accorp	
5	21.81	2924895	2679187	C	trictrac	
5	21.68	1684486	2285696	C++	Whopper	
5	21.66	153678	498887	C	dknn	
5	21.66	371603	1127811	C++	martin	
5	21.65	1404934	2692597	Rust	tarriel	
5	21.61	1194069	2071071	Java	Redstrike	
5	21.55	335954	885293	Java	nmahoude	
5	21.45	1399382	1577475	C++	Regulus136	
5	21.41	788361	1851904	C++	Bob	
5	21.38	1241062	575726	Java	jbs	
5	21.37	1164798	764371	C	ndriscoll	
5	21.29	2590149	2470116	C++	GoofyGas	
5	21.29	1206537	1657892	C++	MadKnight	
5	21.23	525827	538043	C++	Pavel	
5	21.19	1489865	1846525	C++	EricSMSO	
5	21.11	1106450	782855	C	RiSuS	
5	21.09	1378781	509445	Java	D4ce	
5	21.06	1479930	1502187	C++	LeRenard	
5	21.05	1297312	498876	Java	Sephrenya	
5	21.01	838037	2383717	C++	sas4eka	
5	20.99	638784	502724	C++	Yqnn	
5	20.98	1457162	1508831	C++	JFB	
5	20.94	1540478	2136641	C++	struct	
5	20.88	1759839	2622623	C++	matleg	
5	20.86	153937	794213	C++	oook	
5	20.79	1378958	2687743	C#	Illedan	
5	20.77	1363313	657422	Java	zeeton_red	
5	20.75	1538959	793082	C	openmind	
5	20.75	2731777	1970393	C++		
5	20.74	871207	899900	C++	rottenroot	
5	20.69	1203167	2078798	C++	r3versi	
5	20.69	840102	1659924	C#	KooKiz	
5	20.68	1227862	505595	C++	AdamF	
5	20.67	1407720	605382	C	bananaMixer	
5	20.66	3190099	2258566	C++		
5	20.65	735910	1535100	C++	Agade	
5	20.65	1071140	499206	C#	BeberLeNewbie	
5	20.64	3217628	2508366	C++		
5	20.59	155939	499204	C	xylo	
5	20.59	862336	761681	C	Zaphus	
5	20.58	935802	499213	C#	Jerhyn	
5	20.53	3502795	2577277	C++		
5	20.52	886483	1733574	ObjectiveC	R4N4R4M4	
5	20.51	154312	2682461	C++	ThomasNicoullaud	
5	20.39	624308	499212	C++	nosnosnos	
5	20.38	3213465	2312606	C++	Gegene	
5	20.37	1386345	1392115	Go	vmnet4	
5	20.34	1854246	2078870	C++	Counterbalance	
5	20.25	1373427	2061701	Java	VinceKanabo	
5	20.12	1965323	1503474	C++	FrostMane	
5	20.06	1306541	2676137	C++	Steuh	
5	20.05	554263	782380	C++	assy	
5	19.97	1167615	899115	C++	TylerDurden	
5	19.95	1858764	2676098	C++	vdevid	
5	19.64	1337609	2676008	C++	FlyingRaccoon	
5	19.59	828213	1328589	Go	anst	
5	19.28	1931039	2676068	C#	MooMooN	
5	19.1	1734105	2312607	C++	Bibou	
5	19.04	859803	949939	C#	stauik	
5	18.81	1113432	498875	Java	ThierryC	
5	15.66	1673971	1526501	C++	Lanken	
5	15.3	1391314	1656405	C++	Tar	
5	14.75	1176700	595092	C++	HL	
5	14.75	854952	2054154	Java	dolmen1234	
5	14.67	196606	500547	Java	EasyCoder	
5	14.14	1066860	579432	C#	suikkee	
5	12.23	1304841	498890	Java	NitMpez	
5	9.92	512097	1503315	C++	Stilgart	
5	9.57	1288865	781981	C	codyboto	
5	9.32	1173502	498886	Java	wolfpack	
5	9.31	1245647	1507477	C++	[CPC]Herbert	
5	9.3	545951	1509103	C++	AntonT	
5	9.28	196808	788576	Groovy	bonam	
5	9.27	1122412	505060	Java	TheNinja	
5	9.27	1314796	1789654	C++	JBence	
5	9.26	1352030	950816	C	Viva	
5	9.09	622773	503139	C++	eldidou	
5	8.93	965676	514155	C++	Rafbill	
5	8.93	1407621	584141	C++	Taohbi	
5	8.77	1540394	987625	C++	LVdA	
5	8.7	1428921	499214	C++	jBigman	
5	8.66	588426	503751	C++	Jeff06	
5	8.65	511125	511304	C++	Arrekin	
5	7.95	966939	508064	C++	Bleuj	
5	7.88	596947	792844	C++	LBandy	
4	25.99	773811	2818814	Java	szoti	
4	25.28	934381	2441028	Rust	PolyB	
4	24.53	633271	509776	Go	Pomyk	
4	24.17	335818	571160	Java	TyraEl	
4	24.1	2571540	2817391	C++	Nagatwin	
4	23.71	1399619	507171	C++	yurp	
4	23.24	416762	642018	Javascript	Khao	
4	23.07	1050421	492421	C++	geppoz	
4	23.02	950512	570514	C++	salim.aboubacar	
4	22.89	226528	688584	Java	Manwe	
4	22.44	925695	2411305	OCaml	Boulet	
4	22.3	414278	501784	Java	oobException	
4	22.24	329200	492416	C++	BlitzProg	
4	22.04	1131528	511071	C	Owl	
4	21.65	1504079	1096886	C#	Hamp	
4	21.58	855492	1322936	Go	Erk	
4	21.43	1644437	800864	C++	SurfDog	
